osmid,highway,oneway,reversed,length,geometry,name,maxspeed,junction,tunnel
30141029,tertiary,False,False,46.203,"LINESTRING (15.0950091 37.5781426, 15.0949734 37.5780945, 15.0948218 37.5778905, 15.0947221 37.5777963)",,,,
"[759670376, 28884356]",tertiary,True,False,38.526,"LINESTRING (15.0950091 37.5781426, 15.0950826 37.5782432, 15.09524 37.5784367)",Via Roma,,,
123742433,tertiary,False,False,16.086,"LINESTRING (15.0917966 37.5740526, 15.0916245 37.5741008)",Via Piave,,,
124349375,residential,False,False,38.202,"LINESTRING (15.0917966 37.5740526, 15.0919334 37.5743786)",Via Soldato Salvatore Messina,,,
123742433,tertiary,False,True,87.54199999999999,"LINESTRING (15.0917966 37.5740526, 15.092127 37.5739499, 15.0924695 37.573833, 15.0927134 37.5737498)",Via Piave,,,
231212795,tertiary,False,True,14.537,"LINESTRING (15.0903888 37.5746494, 15.0903152 37.5745324)",Via Roma,,,
123742433,tertiary,False,True,125.163,"LINESTRING (15.0903888 37.5746494, 15.0904211 37.5746334, 15.0911275 37.5742851, 15.0913583 37.5741831, 15.0914725 37.5741433, 15.0916245 37.5741008)",Via Piave,,,
123742435,tertiary,True,False,60.980999999999995,"LINESTRING (15.0903888 37.5746494, 15.0906571 37.5750926, 15.090688 37.5751439)",Via Roma,,,
25997636,tertiary,False,True,27.753999999999998,"LINESTRING (15.0944946 37.5776237, 15.0946536 37.5777443, 15.0947221 37.5777963)",Via Roma,,,
94345221,tertiary,True,False,46.452000000000005,"LINESTRING (15.0944946 37.5776237, 15.0945042 37.5775165, 15.0945265 37.5772686, 15.0945298 37.5772315, 15.094532 37.577207)",Via Umberto,,,
94345221,tertiary,True,False,215.92200000000003,"LINESTRING (15.0943481 37.576235, 15.0943522 37.5760836, 15.0943769 37.5759725, 15.0945956 37.5754875, 15.0947975 37.5751108, 15.0952311 37.5744405)",Via Umberto,,,
224112543,residential,False,False,215.229,"LINESTRING (15.0943481 37.576235, 15.0939293 37.5762964, 15.0938121 37.5763695, 15.0937306 37.5767164, 15.0937258 37.5770215, 15.0938696 37.5770228, 15.0938939 37.5769892, 15.0938991 37.5769083, 15.0940186 37.5768553, 15.0940817 37.5768131, 15.0941017 37.5767766, 15.0941096 37.5766958, 15.0941404 37.576663, 15.0944504 37.5766048)",Largo Carlo Goldoni,,,
123742435,tertiary,True,False,61.952999999999996,"LINESTRING (15.090688 37.5751439, 15.090839 37.5753777, 15.0908997 37.5754565, 15.090963 37.5755166, 15.0910629 37.5756119)",Via Roma,,,
"[231212795, 28884310]",tertiary,False,False,34.177,"LINESTRING (15.0897992 37.5736631, 15.0899159 37.5738803, 15.0899511 37.5739459)",Via Roma,,,
32818001,tertiary,False,False,69.366,"LINESTRING (15.0960613 37.5794472, 15.0960721 37.5795548, 15.0960454 37.5796834, 15.0959763 37.5799838, 15.0959581 37.5800627)",Via Roma,,,
"[32818001, 759670363]",tertiary,False,True,50.062000000000005,"LINESTRING (15.0960613 37.5794472, 15.0959768 37.5792896, 15.0958894 37.5791756, 15.095857 37.5791401, 15.0957786 37.5790595)",Via Roma,,,
224092756,tertiary,False,True,16.54,"LINESTRING (15.0980981 37.5787367, 15.0982846 37.57872)",,,,
224092760,tertiary,False,False,7.446,"LINESTRING (15.0980981 37.5787367, 15.0980141 37.5787439)",,,,
