osmid,highway,oneway,reversed,length,name,geometry,bridge,maxspeed,access,tunnel,junction
1180644348,tertiary,False,False,25.967,,"LINESTRING (14.2801721 37.5676542, 14.2798794 37.5676808)",,,,,
"[331539025, 331244623]",tertiary,False,True,24.424,Viale Paolo e Caterina Savoca,"LINESTRING (14.2801721 37.5676542, 14.2802298 37.5676524, 14.280449 37.5676454)",,,,,
232866310,tertiary,False,False,26.679,,"LINESTRING (14.2798794 37.5676808, 14.2798196 37.5674456)",,,,,
1180644348,tertiary,False,True,25.967,,"LINESTRING (14.2798794 37.5676808, 14.2801721 37.5676542)",,,,,
331246338,tertiary,True,False,12.952,,"LINESTRING (14.2795044 37.5674975, 14.2794565 37.5674796, 14.2794072 37.567449, 14.2793874 37.5674297)",,,,,
331538936,residential,True,False,50.391,,"LINESTRING (14.2795044 37.5674975, 14.2795984 37.5677131, 14.2798794 37.5676808)",,,,,
331246704,tertiary,True,False,11.436,Via Marchese Mario Grimaldi,"LINESTRING (14.278232 37.5677834, 14.2782835 37.5678778)",,,,,
166506834,residential,False,False,27.291,,"LINESTRING (14.278232 37.5677834, 14.2782173 37.5677575, 14.2781049 37.5675596)",,,,,
1180346654,residential,True,False,11.397,,"LINESTRING (14.2808052 37.5668268, 14.2808165 37.5667247)",,,,,
331446572,tertiary,True,False,27.963,Via Roma,"LINESTRING (14.2808052 37.5668268, 14.2809761 37.56684, 14.2811158 37.5668724)",,,,,
331376951,residential,False,True,53.407,Via Bagni,"LINESTRING (14.2817295 37.5670361, 14.2819575 37.5665911)",,,,,
331446572,tertiary,True,False,9.297,Via Roma,"LINESTRING (14.2817295 37.5670361, 14.2818281 37.5670658)",,,,,
785184471,residential,False,True,13.38,Via Porta Palermo,"LINESTRING (14.2818281 37.5670658, 14.2817704 37.5671771)",,,,,
331446572,tertiary,True,False,59.986,Via Roma,"LINESTRING (14.2818281 37.5670658, 14.2819385 37.5670671, 14.2820753 37.5670386, 14.282219 37.566999, 14.28223 37.566997, 14.2822999 37.566972, 14.2824048 37.5669314, 14.2824634 37.5668984)",,,,,
166490309,residential,False,True,56.612,Via Maggiore Pietro Rindone,"LINESTRING (14.2845471 37.566527, 14.2845813 37.5670354)",,,,,
"[1178590465, 331446572]",tertiary,True,False,88.659,Via Roma,"LINESTRING (14.2845471 37.566527, 14.2849565 37.5665566, 14.2851261 37.5665914, 14.2852813 37.5666278, 14.2853206 37.5666365, 14.2854548 37.5666673, 14.2855125 37.5666806, 14.2855294 37.566683)",,,,,
27559450,secondary,False,False,23.763,,"LINESTRING (14.2758012 37.5687613, 14.2757181 37.568558)",,,,,
27559442,tertiary,True,False,49.208,Via Roma,"LINESTRING (14.2757181 37.568558, 14.2762386 37.5683979)",,,,,
27559450,secondary,False,True,23.763,,"LINESTRING (14.2757181 37.568558, 14.2758012 37.5687613)",,,,,
"[1180346666, 166506827]",residential,False,False,265.08900000000006,Viale Belvedere Guglielmo Marconi,"LINESTRING (14.2813722 37.5676308, 14.2813205 37.5676891, 14.2805023 37.5681074, 14.2802593 37.5681497, 14.2800434 37.5682165, 14.2799312 37.5682301, 14.2796573 37.5682227, 14.2794197 37.5682356, 14.2791796 37.5681892, 14.2791362 37.5681585, 14.2791222 37.568103, 14.278673 37.5681858)",,,,,
732284051,residential,False,True,83.839,Via Alessandro Volta,"LINESTRING (14.2813722 37.5676308, 14.2806262 37.56771, 14.2805399 37.5676947, 14.280449 37.5676454)",,,,,
"[331539025, 331244623]",tertiary,False,False,24.424,Viale Paolo e Caterina Savoca,"LINESTRING (14.280449 37.5676454, 14.2802298 37.5676524, 14.2801721 37.5676542)",,,,,
732284051,residential,False,False,83.839,Via Alessandro Volta,"LINESTRING (14.280449 37.5676454, 14.2805399 37.5676947, 14.2806262 37.56771, 14.2813722 37.5676308)",,,,,
75272454,tertiary,False,False,183.291,Via della Rinascita,"LINESTRING (14.2860019 37.5657505, 14.2859991 37.5656996, 14.2859753 37.5656575, 14.2856799 37.5653949, 14.2856062 37.5652883, 14.285572 37.5652275, 14.2854356 37.5649856, 14.2853059 37.5647881, 14.2851362 37.5646065, 14.285047 37.5645219, 14.2848567 37.5644106)",,,,,
331242258,residential,False,False,33.795,Via Portosalvo,"LINESTRING (14.2860019 37.5657505, 14.2858549 37.565735, 14.2856266 37.5656904)",,,,,
331243588,tertiary,False,True,146.458,Via San Leone,"LINESTRING (14.2795175 37.5639287, 14.2793995 37.5638882, 14.2792916 37.5638591, 14.2791628 37.563857, 14.2781959 37.5639526, 14.2780946 37.5639764, 14.2780168 37.5640189, 14.2779378 37.5640859)",,,,,
331488290,tertiary,True,False,281.714,Via San Leone,"LINESTRING (14.2795175 37.5639287, 14.2806429 37.5644788, 14.2806904 37.5645016, 14.2809284 37.5646132, 14.2810454 37.564651, 14.2818198 37.5648049, 14.2820157 37.5648387, 14.282138 37.5648598, 14.2823372 37.5648444, 14.2824284 37.5648497)",,,,,
331486896,tertiary,False,False,15.716000000000001,Via Valverde,"LINESTRING (14.2824284 37.5648497, 14.2824713 37.5648348, 14.2824948 37.5648197, 14.2825311 37.5647448)",,,,,
1178308141,residential,False,True,45.702999999999996,Via Valverde,"LINESTRING (14.2824284 37.5648497, 14.2821408 37.5649374, 14.2820361 37.5649762, 14.2819932 37.564998, 14.28196 37.5650207)",,,,,
160097180,residential,False,True,6.77,Via Fontanagrande,"LINESTRING (14.2779098 37.5653685, 14.2778414 37.5653408)",,,,,
160097180,residential,False,False,129.461,Via Fontanagrande,"LINESTRING (14.2779098 37.5653685, 14.2784473 37.5655869, 14.2785721 37.5656528, 14.2786478 37.5657021, 14.2788673 37.5658877, 14.2790108 37.56596, 14.2791222 37.5660065)",,,,,
326205579,secondary,False,True,44.724,Via Pergusa,"LINESTRING (14.2768638 37.5645335, 14.2767643 37.5649279)",,,,,
"[207984296, 207984297]",secondary,False,False,271.124,Via Pergusa,"LINESTRING (14.2768638 37.5645335, 14.2770748 37.5636396, 14.2771083 37.5635468, 14.2771732 37.5634247, 14.2773302 37.5632726, 14.2774786 37.563163, 14.27776 37.5629766, 14.2782567 37.5626285, 14.2783193 37.5625963, 14.2783904 37.5625598)",viaduct,30,,,
509205167,residential,False,False,52.913,Via Portosillo,"LINESTRING (14.2768638 37.5645335, 14.2767756 37.5644738, 14.2767876 37.5644227, 14.2764283 37.5642522)",,,,,
1149254225,tertiary,False,True,17.542,,"LINESTRING (14.2773389 37.5634482, 14.2771626 37.5635214)",,,,,
178844326,tertiary,False,False,135.925,Via Ottavio Catalano,"LINESTRING (14.2773389 37.5634482, 14.2774863 37.5633162, 14.2777067 37.5631397, 14.2779988 37.5629345, 14.2783708 37.562688, 14.2784072 37.5626519, 14.2784527 37.5626067)",,,,,
