osmid,oneway,highway,reversed,length,name,geometry,lanes,ref,tunnel,junction
215069041,True,residential,False,53.037,,"LINESTRING (8.1767034 44.0105712, 8.1771226 44.0102016)",,,,
223046793,True,residential,False,51.605999999999995,Viale Guglielmo Marconi,"LINESTRING (8.1767034 44.0105712, 8.1766828 44.0105534, 8.1764394 44.0103451, 8.1762889 44.0102155)",,,,
223047947,True,residential,False,10.592,Corso Dante Alighieri,"LINESTRING (8.1690856 44.0037258, 8.1690112 44.003647)",,,,
223048041,True,residential,False,91.584,Via Giuseppe Verdi,"LINESTRING (8.1690856 44.0037258, 8.169053 44.003802, 8.1690486 44.0038121, 8.168868 44.0041851, 8.1687197 44.0045062)",,,,
232619101,False,residential,False,16.017000000000003,Via Milano,"LINESTRING (8.1776481 44.0106607, 8.1776003 44.0106834, 8.1775874 44.0106895, 8.1774811 44.0107402)",,,,
"[223046602, 232619101]",False,residential,True,43.882,Via Milano,"LINESTRING (8.1776481 44.0106607, 8.1780307 44.0104788, 8.1780463 44.0104713, 8.1780993 44.010437)",,,,
214394794,False,residential,False,95.178,Via Giuseppe Garibaldi,"LINESTRING (8.1779458 44.0113787, 8.1781294 44.0116277, 8.1786601 44.0120025, 8.1786754 44.0120401)",,,,
"[223046589, 223046590, 223046591]",False,residential,False,80.136,Via Giuseppe Garibaldi,"LINESTRING (8.1779458 44.0113787, 8.1779192 44.0113427, 8.177845 44.0112427, 8.1775249 44.0108008, 8.1774811 44.0107402)",,,,
"[223046936, 223047355, 223047101]",False,residential,False,64.286,,"LINESTRING (8.1779458 44.0113787, 8.1779295 44.0113877, 8.177911 44.0113979, 8.1773782 44.011715, 8.1773255 44.0117464)",,,,
"[223047266, 223047138, 223046283, 223046284, 223046287, 223046970]",False,residential,True,130.219,Passeggiata Cadorna,"LINESTRING (8.1779458 44.0113787, 8.1779938 44.0113522, 8.1783218 44.0111709, 8.1783652 44.0111469, 8.1783685 44.0111501, 8.1784041 44.011187, 8.1785326 44.0113195, 8.1786994 44.0114683, 8.1788761 44.0116278, 8.178989 44.0117099, 8.1790023 44.0117195, 8.1790572 44.0117594)",,,,
214392159,True,living_street,False,66.261,Via Antonio Gramsci,"LINESTRING (8.1771226 44.0102016, 8.1773973 44.0104119, 8.1774592 44.0104771, 8.1776481 44.0106607)",,,,
223047947,True,residential,False,2.648,Corso Dante Alighieri,"LINESTRING (8.1690112 44.003647, 8.1689924 44.0036274)",,,,
223046600,False,primary,True,65.256,Via Leonardo da Vinci,"LINESTRING (8.1676507 44.0036581, 8.1677003 44.0037381, 8.1678516 44.0039819, 8.1679922 44.004191)",2,SS1,,
223047824,False,residential,False,22.007,Via Privata Francesco Bogliolo,"LINESTRING (8.1676507 44.0036581, 8.1675776 44.0036931, 8.1674216 44.0037677)",,,,
1201877979,False,residential,False,37.43,Via Nino Bixio,"LINESTRING (8.1668762 44.0040464, 8.1671417 44.0043236)",,,,
223047824,False,residential,True,53.534,Via Privata Francesco Bogliolo,"LINESTRING (8.1668762 44.0040464, 8.1671452 44.0038999, 8.1674216 44.0037677)",,,,
223046600,False,primary,True,7.035,Via Leonardo da Vinci,"LINESTRING (8.1679922 44.004191, 8.1680427 44.0042428)",2,SS1,,
223046600,False,primary,False,65.256,Via Leonardo da Vinci,"LINESTRING (8.1679922 44.004191, 8.1678516 44.0039819, 8.1677003 44.0037381, 8.1676507 44.0036581)",2,SS1,,
"[1201877984, 1201877985]",False,residential,True,58.288999999999994,"['Piazzetta Commendatore Dottore Francesco Torre', 'Vico al Tienna']","LINESTRING (8.1679922 44.004191, 8.1679179 44.0042398, 8.1677262 44.0043273, 8.1676371 44.0042904, 8.1675534 44.004243, 8.1674849 44.0042028, 8.167408 44.0041531)",,,,
223046600,False,primary,False,7.035,Via Leonardo da Vinci,"LINESTRING (8.1680427 44.0042428, 8.1679922 44.004191)",2,SS1,,
223046600,False,primary,True,39.392,Via Leonardo da Vinci,"LINESTRING (8.1680427 44.0042428, 8.1682077 44.0043773, 8.1683525 44.004487, 8.1683744 44.0045046)",2,SS1,,
223046865,True,residential,False,102.70299999999999,Via Amilcare Ponchielli,"LINESTRING (8.1680427 44.0042428, 8.1680964 44.0042073, 8.1681349 44.0041859, 8.1685087 44.0039851, 8.1687542 44.0038307, 8.1689266 44.0036871, 8.1689524 44.0036668, 8.1689924 44.0036274)",,,,
223047694,False,residential,False,81.604,Via Torino,"LINESTRING (8.1709932 44.0044418, 8.1708999 44.0044997, 8.170621 44.0046769, 8.1703043 44.0048962, 8.1702358 44.0049328)",,,,
223046600,False,primary,False,39.392,Via Leonardo da Vinci,"LINESTRING (8.1683744 44.0045046, 8.1683525 44.004487, 8.1682077 44.0043773, 8.1680427 44.0042428)",2,SS1,,
223046600,False,primary,True,27.302,Via Leonardo da Vinci,"LINESTRING (8.1683744 44.0045046, 8.1683879 44.0045145, 8.1685127 44.0046112, 8.1685496 44.0046398, 8.1686053 44.0046854)",2,SS1,,
223048041,True,residential,False,28.246000000000002,Via Giuseppe Verdi,"LINESTRING (8.1687197 44.0045062, 8.1686809 44.0046133, 8.1686735 44.0046338, 8.1686785 44.0046683, 8.1686912 44.0047553)",,,,
223046604,False,primary,True,10.374,Via San Giovanni Bosco,"LINESTRING (8.1686053 44.0046854, 8.1686912 44.0047553)",2,SS1,,
223046600,False,primary,False,27.302,Via Leonardo da Vinci,"LINESTRING (8.1686053 44.0046854, 8.1685496 44.0046398, 8.1685127 44.0046112, 8.1683879 44.0045145, 8.1683744 44.0045046)",2,SS1,,
"[435307656, 223047042]",True,residential,False,132.275,Vico della Chiusetta,"LINESTRING (8.1686053 44.0046854, 8.1685551 44.0047395, 8.1681899 44.0051597, 8.1679022 44.005475, 8.1678914 44.0054871, 8.1678469 44.0055367, 8.1678033 44.0055855, 8.1677672 44.0057031)",,,,
223046604,False,primary,False,10.374,Via San Giovanni Bosco,"LINESTRING (8.1686912 44.0047553, 8.1686053 44.0046854)",2,SS1,,
223046604,False,primary,True,95.55699999999999,Via San Giovanni Bosco,"LINESTRING (8.1686912 44.0047553, 8.1687036 44.0047655, 8.1687087 44.0047698, 8.168867 44.004899, 8.1690812 44.005076, 8.1693814 44.0053288, 8.1694299 44.0053691, 8.1694397 44.0053772, 8.1694414 44.0053786, 8.1694732 44.005405)",2,SS1,,
"[223047051, 223047668]",False,residential,False,22.322,,"LINESTRING (8.1702358 44.0049328, 8.1702008 44.0049593, 8.170015 44.0050547)",,,,
223047694,False,residential,True,81.604,Via Torino,"LINESTRING (8.1702358 44.0049328, 8.1703043 44.0048962, 8.170621 44.0046769, 8.1708999 44.0044997, 8.1709932 44.0044418)",,,,
223047947,True,residential,False,121.03299999999999,Corso Dante Alighieri,"LINESTRING (8.1702358 44.0049328, 8.1702212 44.0049138, 8.1702054 44.0048968, 8.1701869 44.0048766, 8.1701321 44.0048169, 8.1699796 44.004651, 8.1698135 44.0044915, 8.1696766 44.0043601, 8.1694597 44.0041251, 8.1693776 44.0040369)",,,,
223047947,True,residential,False,60.991,Corso Dante Alighieri,"LINESTRING (8.1706835 44.0053767, 8.1704425 44.0051416, 8.1702625 44.0049563, 8.1702358 44.0049328)",,,,
223046604,False,primary,False,95.55700000000002,Via San Giovanni Bosco,"LINESTRING (8.1694732 44.005405, 8.1694414 44.0053786, 8.1694397 44.0053772, 8.1694299 44.0053691, 8.1693814 44.0053288, 8.1690812 44.005076, 8.168867 44.004899, 8.1687087 44.0047698, 8.1687036 44.0047655, 8.1686912 44.0047553)",2,SS1,,
223046604,False,primary,True,103.49000000000001,Via San Giovanni Bosco,"LINESTRING (8.1694732 44.005405, 8.169514 44.0054388, 8.1695176 44.0054417, 8.1696536 44.0055545, 8.1697143 44.0056028, 8.1697516 44.0056324, 8.1697812 44.005656, 8.1699418 44.0057836, 8.1701505 44.0059636, 8.1702464 44.0060464, 8.1703209 44.006108)",2,SS1,,
"[223047416, 223047668]",False,residential,True,58.29,,"LINESTRING (8.1694732 44.005405, 8.1695292 44.005373, 8.1695683 44.0053508, 8.1695707 44.0053495, 8.1699211 44.0051165, 8.170015 44.0050547)",,,,
223047219,False,residential,True,2.503,,"LINESTRING (8.1709653 44.0056787, 8.1709839 44.0056968)",,,,
223047947,True,residential,False,40.457,Corso Dante Alighieri,"LINESTRING (8.1709653 44.0056787, 8.1709254 44.0056417, 8.1706835 44.0053767)",,,,
223047219,False,residential,False,2.503,,"LINESTRING (8.1709839 44.0056968, 8.1709653 44.0056787)",,,,
223047403,False,residential,True,4.332,,"LINESTRING (8.1709839 44.0056968, 8.1709936 44.005706, 8.1710167 44.0057278)",,,,
223047403,False,residential,False,4.332,,"LINESTRING (8.1710167 44.0057278, 8.1709936 44.005706, 8.1709839 44.0056968)",,,,
223046604,False,primary,True,6.035,Via San Giovanni Bosco,"LINESTRING (8.1703209 44.006108, 8.1703705 44.0061489)",2,SS1,,
223046604,False,primary,False,103.49000000000001,Via San Giovanni Bosco,"LINESTRING (8.1703209 44.006108, 8.1702464 44.0060464, 8.1701505 44.0059636, 8.1699418 44.0057836, 8.1697812 44.005656, 8.1697516 44.0056324, 8.1697143 44.0056028, 8.1696536 44.0055545, 8.1695176 44.0054417, 8.169514 44.0054388, 8.1694732 44.005405)",2,SS1,,
"[383600888, 223047676, 983909999]",False,residential,"[False, True]",254.47700000000003,Via Goffredo Mameli,"LINESTRING (8.1703209 44.006108, 8.1702936 44.0061287, 8.1701012 44.0062745, 8.1700155 44.0062988, 8.169887 44.0063284, 8.1697243 44.0063659, 8.1694571 44.0064379, 8.1691642 44.0064876, 8.1690667 44.006482, 8.1689824 44.0064664, 8.168906 44.0064454, 8.1688672 44.0064347, 8.1687905 44.0064108, 8.1686352 44.006375, 8.1679114 44.0059794, 8.1678865 44.0059399, 8.1678422 44.0058123, 8.1678172 44.0057543, 8.1677672 44.0057031)",,,,
223046604,False,primary,False,6.035,Via San Giovanni Bosco,"LINESTRING (8.1703705 44.0061489, 8.1703209 44.006108)",2,SS1,,
223046603,True,residential,False,70.39200000000001,Via Milite Ignoto,"LINESTRING (8.1703705 44.0061489, 8.1704177 44.0061101, 8.1704245 44.0061045, 8.1704525 44.0060815, 8.1705354 44.0060135, 8.1708508 44.005778, 8.1708895 44.0057474, 8.1709242 44.0057281, 8.1709839 44.0056968)",,,,
805410234,False,primary,True,159.721,Via Giuseppe Mazzini,"LINESTRING (8.1703705 44.0061489, 8.1704005 44.0061737, 8.1704504 44.0062138, 8.1706814 44.0063995, 8.1706957 44.006411, 8.1716908 44.0072109, 8.1717013 44.0072199)",2,SS1,,
223047239,True,residential,False,235.32100000000003,Via Michelangelo,"LINESTRING (8.1685413 44.0065466, 8.1685775 44.0065656, 8.1686175 44.0065878, 8.1688061 44.0066776, 8.1688493 44.0066991, 8.1690666 44.0068094, 8.1693304 44.0069465, 8.1695286 44.0070382, 8.1697644 44.0071433, 8.1699961 44.0072596, 8.1702367 44.0073838, 8.1705276 44.0075472, 8.170717 44.0076662, 8.1707412 44.0076814, 8.1708286 44.0077621, 8.1708542 44.0077811, 8.1708913 44.0078087)",,,,
"[223047673, 223047547]",True,residential,False,208.396,,"LINESTRING (8.1726713 44.0071748, 8.172551 44.0070802, 8.1724064 44.0069557, 8.1722106 44.006787, 8.1713906 44.0060835, 8.1712487 44.0059474, 8.1712071 44.0059075, 8.1710167 44.0057278)",,,,
223047559,False,residential,True,9.322,,"LINESTRING (8.1726713 44.0071748, 8.1727106 44.0072057, 8.1727508 44.0072361)",,,,
223046368,False,secondary,False,339.353,Via Adelasia,"LINESTRING (8.1690336 44.0071756, 8.1691018 44.0071761, 8.1691721 44.0071904, 8.1692089 44.0071979, 8.1692873 44.0072229, 8.1693896 44.0072665, 8.1694567 44.0073035, 8.1695865 44.0073858, 8.1697617 44.0075127, 8.1698217 44.0075714, 8.1698968 44.0076548, 8.1700121 44.0078063, 8.1701335 44.0079763, 8.1701917 44.008047, 8.1702761 44.0081403, 8.1705098 44.0083314, 8.1706776 44.0084524, 8.1708521 44.0085585, 8.1710539 44.0086769, 8.1711864 44.0087487, 8.1713532 44.0088237, 8.1714789 44.0088664, 8.1717761 44.0089512, 8.1721164 44.0090227, 8.1721907 44.009048)",,SP18,,
"[223047148, 223047301, 223047342]",False,residential,True,300.4630000000001,Via Virgilio,"LINESTRING (8.1690336 44.0071756, 8.169135 44.0072128, 8.1691685 44.0072251, 8.1692638 44.0072672, 8.1694165 44.0073582, 8.1695008 44.0074182, 8.1695133 44.0074792, 8.1695552 44.007636, 8.169665 44.0079132, 8.1697033 44.0080181, 8.1697804 44.0081203, 8.1699073 44.0082974, 8.1699811 44.0084004, 8.1700509 44.0084681, 8.1701361 44.0085281, 8.1702468 44.008595, 8.1703807 44.0086736, 8.1704372 44.0087259, 8.170523 44.0088285, 8.1706186 44.008918, 8.1706689 44.0089716, 8.1706885 44.0090289, 8.1706796 44.0091251, 8.1706528 44.0092282, 8.1705603 44.0093284, 8.1704721 44.0093964)",,,,
223047559,False,residential,False,9.322,,"LINESTRING (8.1727508 44.0072361, 8.1727106 44.0072057, 8.1726713 44.0071748)",,,,
805410243,True,secondary,False,5.039,Via Enrico Robutti,"LINESTRING (8.1716614 44.0073179, 8.1717119 44.0072908)",,SP18,,
