osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,junction,access,tunnel,bridge
426477531,True,2,SP95a,Via Fontana delle Fosse,secondary,False,18.459,,"LINESTRING (12.7715831 41.6836649, 12.7713799 41.6837322)",,,,
239763995,False,2,SP95a,Via Fontana delle Fosse,secondary,True,58.382,50,"LINESTRING (12.7715831 41.6836649, 12.7718386 41.683666, 12.7719032 41.6836663, 12.7719608 41.6836672, 12.772024 41.6836686, 12.772087 41.6836703, 12.7721502 41.6836723, 12.7722132 41.6836744, 12.7722858 41.6836776)",,,,
556015163,False,2,,Via di Ponente,secondary,True,344.39700000000005,70,"LINESTRING (12.7745176 41.6837933, 12.7742102 41.6839684, 12.774045 41.6840804, 12.7739896 41.6841211, 12.7738638 41.6842179, 12.7737883 41.6842971, 12.773746 41.684335, 12.773511 41.6845457, 12.7734873 41.6845681, 12.7734673 41.6845894, 12.7734492 41.6846105, 12.7734329 41.684634, 12.7734186 41.6846572, 12.7734097 41.6846736, 12.7733962 41.6847001, 12.7733757 41.6847322, 12.773351 41.6847664, 12.7733244 41.6848013, 12.7733007 41.6848288, 12.7732751 41.684857, 12.773025 41.6850831, 12.7729839 41.6851229, 12.7729281 41.6851839, 12.7728702 41.6852495, 12.7728393 41.6852875, 12.7728064 41.6853321, 12.7727777 41.6853762, 12.7727471 41.6854269, 12.7727261 41.6854657, 12.7727089 41.6855008, 12.7726917 41.6855395, 12.7726799 41.6855722, 12.7726682 41.6856087, 12.7726565 41.6856506, 12.7726455 41.6856995, 12.7726376 41.6857431, 12.772631 41.6857899, 12.7726274 41.6858314, 12.7726283 41.6858726, 12.7726302 41.6859175, 12.7726363 41.6859595, 12.7726435 41.6860052, 12.7727 41.6862626, 12.7727063 41.6862983, 12.7727123 41.6863469, 12.7727154 41.6863835)",,,,
1124665790,True,,,Via Fontana delle Fosse,secondary,False,23.814999999999998,,"LINESTRING (12.7745176 41.6837933, 12.7745448 41.6837337, 12.7745341 41.6837067, 12.7744992 41.6836899, 12.7743797 41.6836674)",,,,
239760965,False,2,,Via delle Mura,tertiary,True,61.197,,"LINESTRING (12.7776965 41.6825823, 12.7780671 41.683058)",,,,
32651916,True,2,,Via delle Mura,secondary,False,109.872,,"LINESTRING (12.7776965 41.6825823, 12.7775546 41.6825554, 12.777515 41.6825483, 12.777451 41.6825383, 12.7773905 41.6825296, 12.7773324 41.6825231, 12.7772796 41.6825175, 12.7772366 41.6825142, 12.7771692 41.6825101, 12.777105 41.6825081, 12.7770485 41.682507, 12.7770029 41.6825071, 12.7763838 41.6825256)",,,,
33697445,True,,SS7,Largo Peppino Impastato,primary,False,11.835,,"LINESTRING (12.7816311 41.6844508, 12.7816665 41.6845539)",roundabout,,,
58724325,True,2,,,primary,False,45.89500000000001,,"LINESTRING (12.7812325 41.6845035, 12.7811909 41.6844461, 12.7811707 41.68442, 12.7811478 41.6843939, 12.7811239 41.6843703, 12.7810974 41.6843467, 12.7810776 41.6843306, 12.781058 41.6843142, 12.7810362 41.6842953, 12.7810171 41.6842775, 12.7809918 41.6842502, 12.7809692 41.6842239, 12.7809497 41.6842002, 12.780922 41.6841638)",,,,
180216933,True,,SS7,Largo Peppino Impastato,primary,False,24.779,,"LINESTRING (12.7812325 41.6845035, 12.7812228 41.6844583, 12.7812212 41.6844402, 12.7812237 41.6844079, 12.7812329 41.6843771, 12.7812478 41.6843491, 12.7812694 41.6843226, 12.7812839 41.6843082, 12.7813018 41.6842997)",roundabout,,,
32651916,True,2,,Via delle Mura,secondary,False,29.641000000000002,,"LINESTRING (12.7763838 41.6825256, 12.7762697 41.6825073, 12.7762073 41.6824893, 12.776161 41.6824531, 12.7761269 41.6823779)",,,,
200689612,True,2,,Via delle Mura,secondary,False,39.977000000000004,,"LINESTRING (12.7763838 41.6825256, 12.776208 41.682534, 12.7761765 41.6825338, 12.7761396 41.682533, 12.7761027 41.6825303, 12.7760714 41.6825308, 12.7759854 41.6825395, 12.7759076 41.682558)",,,,
831117622,False,2,SP95a,Via Fontana delle Fosse,secondary,True,19.861,,"LINESTRING (12.7757245 41.6826729, 12.7759076 41.682558)",,,,
239760954,False,2,SP95a,Via Fontana delle Fosse,secondary,False,23.444999999999997,,"LINESTRING (12.7757245 41.6826729, 12.7755983 41.682756, 12.7755568 41.6827857, 12.7755179 41.6828164)",,,,
239760965,False,2,,Via delle Mura,tertiary,False,61.197,,"LINESTRING (12.7780671 41.683058, 12.7776965 41.6825823)",,,,
35927699,True,2,,Viale Guglielmo Marconi,tertiary,False,28.93,,"LINESTRING (12.7780671 41.683058, 12.7781051 41.6830937, 12.7781469 41.6831277, 12.7781886 41.6831558, 12.7782368 41.6831836, 12.7782851 41.6832053, 12.7783316 41.6832228)",,,,
52897751,False,2,,Via delle Mura,tertiary,True,21.511,,"LINESTRING (12.7780671 41.683058, 12.7780793 41.6831541, 12.7780873 41.6832021, 12.778097 41.6832501)",,,,
35927663,True,2,,Piazza Venti Settembre,tertiary,False,23.770999999999997,,"LINESTRING (12.7782828 41.6836674, 12.7782288 41.6836815, 12.7781716 41.6836844, 12.7781155 41.6836761, 12.7780642 41.6836571, 12.7780214 41.6836287)",roundabout,,,
53371287,True,2,,Viale Regina Margherita,tertiary,False,77.87,,"LINESTRING (12.779174 41.6861188, 12.7791537 41.6860522, 12.7791347 41.6859866, 12.7791236 41.6859466, 12.7790812 41.6857765, 12.7790688 41.6857309, 12.7790564 41.6856873, 12.7790368 41.6856285, 12.7790172 41.6855717, 12.7789676 41.685436)",,,,
232655494,False,,,Via San Girolamo Miani,residential,False,67.475,,"LINESTRING (12.779174 41.6861188, 12.7788375 41.6861356, 12.7787852 41.6861395, 12.7787329 41.6861434, 12.7786847 41.6861484, 12.7786364 41.6861535, 12.7785881 41.68616, 12.7785385 41.6861675, 12.778497 41.6861746, 12.7784541 41.6861827, 12.778371 41.6861999)",,,,
53371583,True,2,,Largo Guido Nati,tertiary,False,35.491,,"LINESTRING (12.7794918 41.6870072, 12.7793951 41.6866963)",,,,
