osmid,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,lanes,tunnel
105699481,Josef-von-Perlath-Straße - Via Josef von Perlath,residential,False,True,126.164,"LINESTRING (11.5710185 46.6420522, 11.5710022 46.6420724, 11.5709657 46.6421118, 11.5709293 46.6421563, 11.5709036 46.642203, 11.5708859 46.6422543, 11.5708797 46.6423011, 11.570889 46.6423398, 11.57091 46.6423834, 11.5709402 46.6424222, 11.5709842 46.6424647, 11.571631 46.6429835)",,,,
240049215,Bahnhofstraße - Via Stazione,residential,False,False,66.425,"LINESTRING (11.5710185 46.6420522, 11.5708227 46.6419399, 11.5707386 46.6418476, 11.570682 46.6417125, 11.570693 46.6416194, 11.5706806 46.6415405)",,,,
240049215,Bahnhofstraße - Via Stazione,residential,False,True,140.143,"LINESTRING (11.5710185 46.6420522, 11.5710684 46.6420784, 11.5717044 46.6424116, 11.5720805 46.6426007, 11.572292 46.6427043, 11.5723171 46.6427166, 11.5724947 46.6428011)",,,,
"[374137293, 37545336, 37545020, 683951357, 683951358]","['St. Andreasplatz - Piazza S. Andrea', 'Bahnhofstraße - Via Stazione']",residential,False,"[False, True]",421.087,"LINESTRING (11.5678501 46.6391436, 11.5677892 46.6392012, 11.5676144 46.6392856, 11.5674206 46.6393223, 11.5673893 46.6393282, 11.5673283 46.6393662, 11.567322 46.6394304, 11.5673264 46.6395561, 11.5677086 46.6398656, 11.5680595 46.6401481, 11.5683749 46.6404273, 11.5686849 46.6407347, 11.5688315 46.6408571, 11.56898 46.6409035, 11.5691299 46.6409235, 11.5694198 46.6409805, 11.5695885 46.6410073, 11.5697195 46.6410436, 11.5697568 46.6410511, 11.569848 46.6410693, 11.5700566 46.641111, 11.5702217 46.6411678, 11.570347 46.6412378, 11.5705781 46.6414233, 11.5706309 46.6414837, 11.5706806 46.6415405)",yes,,,
258932992,Seebegg,residential,False,False,77.904,"LINESTRING (11.5686606 46.6388538, 11.567992 46.6384301, 11.5678954 46.6383932)",,,,
258932994,Seebegg,residential,False,False,44.102000000000004,"LINESTRING (11.5686606 46.6388538, 11.5687276 46.6385627, 11.5687205 46.6385249, 11.5686497 46.6384836)",,,,
283918780,Seebegg,residential,False,True,35.416000000000004,"LINESTRING (11.5686606 46.6388538, 11.5688603 46.6388603, 11.5690206 46.6388745, 11.5690645 46.6388989, 11.5690846 46.6389272)",,50,,
683924555,Seebegg,residential,False,False,35.233,"LINESTRING (11.5686606 46.6388538, 11.5684563 46.6388882, 11.5682333 46.6389675)",,50,,
258932992,Seebegg,residential,False,True,77.904,"LINESTRING (11.5678954 46.6383932, 11.567992 46.6384301, 11.5686606 46.6388538)",,,,
"[436110610, 347948631]",Griesbruck - Gries,unclassified,False,False,117.84,"LINESTRING (11.572557 46.6413067, 11.5723865 46.6412843, 11.5722736 46.6412754, 11.5721555 46.6412742, 11.5720501 46.6412829, 11.5719022 46.6413226, 11.5717126 46.6413605, 11.571425 46.6413776, 11.5713253 46.6413787, 11.5711526 46.6413717, 11.5710844 46.641367, 11.5710405 46.6413579)",,,2,
