osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,width,access,junction,bridge
27419510,2,SS13,Piazza Duca d'Aosta,primary,False,False,88.86000000000001,"LINESTRING (12.2350394 45.5613902, 12.2350367 45.5613094, 12.2350308 45.5612496, 12.2350144 45.5611081, 12.2350004 45.5609987, 12.2349378 45.5605945)",,,,,
316680836,2,SS13,Via Guglielmo Marconi,primary,False,True,190.14600000000002,"LINESTRING (12.2350394 45.5613902, 12.2350421 45.5615295, 12.2350413 45.5617363, 12.2350419 45.5618047, 12.2350416 45.5624347, 12.2350458 45.5625309, 12.2350705 45.5630999)",50,,,,
7931254,1,,Via Prà dei roveri,secondary,True,False,27.498,"LINESTRING (12.2346847 45.5589842, 12.2344176 45.5588224)",,,,,
888864815,2,SS13,Via Terraglio,primary,False,False,25.485,"LINESTRING (12.2346847 45.5589842, 12.2346514 45.5587562)",50,,,,
888864815,2,SS13,Via Terraglio,primary,False,True,8.651,"LINESTRING (12.2346847 45.5589842, 12.234696 45.5590616)",50,,,,
93053069,2,SS13,Via Terraglio,primary,False,True,57.574,"LINESTRING (12.2344164 45.5569102, 12.2344809 45.557426)",50,,,,
27184310,,,Via Ugo Foscolo,residential,False,False,96.342,"LINESTRING (12.2344164 45.5569102, 12.234499 45.5569038, 12.2356464 45.5568156)",,,,,
7931254,1,,Via Prà dei roveri,secondary,True,False,15.01,"LINESTRING (12.2344176 45.5588224, 12.2342406 45.5587689)",,,,,
27184303,,,Via Ciro Menotti,residential,True,False,275.58,"LINESTRING (12.2344176 45.5588224, 12.2342922 45.5588496, 12.2342172 45.5588658, 12.2330846 45.5589289, 12.2330379 45.5589315, 12.232956 45.5589163, 12.2329396 45.557815, 12.2334222 45.5577594)",,,,,
25378133,,,Via Augusto Vanzo,unclassified,False,False,20.514,"LINESTRING (12.2406621 45.5642271, 12.2409255 45.5642219)",40,,,,
27396151,,,Via Augusto Vanzo,unclassified,True,False,11.76,"LINESTRING (12.2406621 45.5642271, 12.2405191 45.5642612)",,,,,
27419498,,,Via Gaetano Tavoni,tertiary,False,True,94.23499999999999,"LINESTRING (12.2351297 45.5644568, 12.2352474 45.564454, 12.2363398 45.5644354)",,,,,
316680836,2,SS13,Via Guglielmo Marconi,primary,False,False,42.099000000000004,"LINESTRING (12.2351297 45.5644568, 12.2351239 45.564341, 12.2351173 45.5640783)",50,,,,
316680836,2,SS13,Via Guglielmo Marconi,primary,False,True,138.314,"LINESTRING (12.2351297 45.5644568, 12.2351746 45.565246, 12.2351819 45.5653741, 12.2351924 45.5655587, 12.2352004 45.5656997)",50,,,,
25378133,,,Via Augusto Vanzo,unclassified,False,False,41.356,"LINESTRING (12.2434651 45.5640984, 12.2439945 45.5640675)",40,,,,
24561072,2,,Via Cavalleggeri,unclassified,False,False,88.892,"LINESTRING (12.2434651 45.5640984, 12.2434672 45.564124, 12.2435308 45.5648965)",,,,,
25378133,,,Via Augusto Vanzo,unclassified,False,True,160.582,"LINESTRING (12.2434651 45.5640984, 12.2421307 45.5641903, 12.241742 45.5642067, 12.2414096 45.5642122)",40,,,,
24561072,2,,Via Cavalleggeri,unclassified,False,True,94.453,"LINESTRING (12.2434286 45.5657384, 12.2435409 45.5653289, 12.2435308 45.5648965)",,,,,
24689001,2,,Via Giuseppe Verdi,tertiary,False,False,34.501000000000005,"LINESTRING (12.2409936 45.5580727, 12.2410018 45.5581199, 12.2410037 45.5581306, 12.2410292 45.5583077, 12.2410379 45.5583814)",50,7,,,
24689001,2,,Via Giuseppe Verdi,tertiary,False,True,123.898,"LINESTRING (12.2409936 45.5580727, 12.2409796 45.5580176, 12.2408051 45.5569664)",50,7,,,
41876463,,,Via Francesco Barbiero,tertiary,False,True,133.844,"LINESTRING (12.2409936 45.5580727, 12.241323 45.5580451, 12.242704 45.5579523)",,,,,
888712854,,,Via Francesco Barbiero,unclassified,True,False,72.595,"LINESTRING (12.2409936 45.5580727, 12.2409307 45.5580798, 12.2408485 45.5580871, 12.2400678 45.55815)",40,,,,
888864815,2,SS13,Via Terraglio,primary,False,True,21.517,"LINESTRING (12.2346232 45.5585637, 12.2346514 45.5587562)",50,,,,
"[24689011, 888712855]",,,Via Francesco Barbiero,unclassified,True,False,97.765,"LINESTRING (12.2346232 45.5585637, 12.2347002 45.558558, 12.2347377 45.5585566, 12.2351042 45.5585283, 12.235872 45.5584719)",,,,,
93040304,2,SS13,Via Terraglio,primary,False,False,22.02,"LINESTRING (12.2346232 45.5585637, 12.2346083 45.5584493, 12.234596 45.5583666)",50,,,,
25428264,,,Via Giacomo Matteotti,unclassified,False,True,70.069,"LINESTRING (12.2344489 45.5612319, 12.2338037 45.5611895, 12.2336903 45.5611821, 12.2335547 45.5611638)",,,,,
25642996,,,Via Pia,unclassified,True,False,103.368,"LINESTRING (12.2335547 45.5611638, 12.2335747 45.5602343)",,,,,
