osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,lanes,tunnel
147775076,SP4,Via Santa Lucia,tertiary,False,True,135.94299999999998,"LINESTRING (13.2968559 37.8153632, 13.2968308 37.8153833, 13.2965961 37.8155681, 13.2965016 37.8156729, 13.2964435 37.8157797, 13.2962743 37.8164542)",,,
183712227,,Via Luigi Natoli,residential,False,True,21.53,"LINESTRING (13.2968559 37.8153632, 13.296812 37.8153336, 13.2966683 37.8152386)",,,
1101660142,SP4,Via Francesco Bentivegna,tertiary,False,False,105.459,"LINESTRING (13.2968559 37.8153632, 13.2970146 37.8152471, 13.2972348 37.8150861, 13.2975216 37.8148763, 13.2977239 37.8147085)",,,
"[1097294656, 810527801, 320516917]",,Via Sant'Agata,"['unclassified', 'residential']",False,False,169.374,"LINESTRING (13.2957839 37.8118098, 13.2958421 37.8118396, 13.295893 37.8118553, 13.2959497 37.8118601, 13.2960053 37.8118547, 13.2965719 37.8117792, 13.2966755 37.8117651, 13.2970102 37.8117169, 13.2970794 37.8117123, 13.2971687 37.8117203, 13.2972597 37.8117377, 13.2973431 37.8117609, 13.2976358 37.8118808)",yes,,
"[1180534720, 94216080, 1180534719]",SP80,Via Giordano Orsini,tertiary,False,False,338.16299999999995,"LINESTRING (13.3008558 37.8084895, 13.3009044 37.8085164, 13.3009765 37.8085332, 13.3011064 37.8085247, 13.3012023 37.8085061, 13.3013118 37.8084728, 13.3015032 37.8084325, 13.3016692 37.808417, 13.3021563 37.8083878, 13.3024897 37.8084248, 13.3026059 37.80846, 13.3026606 37.8084892, 13.3027072 37.8085311, 13.3028246 37.8087323, 13.3031894 37.8094528, 13.3032332 37.8095102, 13.3032679 37.8095329, 13.3035208 37.8096128, 13.3035564 37.8096384, 13.303577 37.8096793, 13.3036008 37.8097948)",,,
489149157,,Via Umberto Primo,residential,True,False,9.875,"LINESTRING (13.3011291 37.8144625, 13.3010878 37.8145451)",,,
1096899566,,Via Ligotino,residential,False,True,28.441,"LINESTRING (13.3011291 37.8144625, 13.3014524 37.8144763)",,,
1100613111,,Via Guardia,residential,False,True,36.894,"LINESTRING (13.2976358 37.8118808, 13.2974027 37.8121568)",,,
"[1097294656, 810527801, 320516917]",,Via Sant'Agata,"['residential', 'unclassified']",False,True,169.374,"LINESTRING (13.2976358 37.8118808, 13.2973431 37.8117609, 13.2972597 37.8117377, 13.2971687 37.8117203, 13.2970794 37.8117123, 13.2970102 37.8117169, 13.2966755 37.8117651, 13.2965719 37.8117792, 13.2960053 37.8118547, 13.2959497 37.8118601, 13.295893 37.8118553, 13.2958421 37.8118396, 13.2957839 37.8118098)",yes,,
1100613112,,Via San Martino,residential,False,False,55.025999999999996,"LINESTRING (13.2976358 37.8118808, 13.2977154 37.8118306, 13.2982208 37.8117197)",,,
1100613113,,Via Madonna delle Grazie,residential,False,False,60.986999999999995,"LINESTRING (13.2976358 37.8118808, 13.2978278 37.8119632, 13.2980822 37.8120884, 13.2982258 37.8121688)",,,
489149157,,Via Umberto Primo,residential,True,False,28.433999999999997,"LINESTRING (13.3008327 37.8149401, 13.3007408 37.8150149, 13.3005641 37.8150737)",,,
"[1096899562, 1096899558]",,"['Via Santideo', 'Vicolo Primo Santideo']",residential,False,True,85.668,"LINESTRING (13.3008327 37.8149401, 13.3013131 37.8151623, 13.3014375 37.8150149, 13.301547 37.8148881)",,,
1100613111,,Via Guardia,residential,False,True,46.658,"LINESTRING (13.2970482 37.8129704, 13.2966775 37.8132709)",,,
1268726312,,,residential,False,True,26.447,"LINESTRING (13.2970482 37.8129704, 13.2972638 37.8131364)",,,
1100613111,,Via Guardia,residential,False,False,57.772000000000006,"LINESTRING (13.2970482 37.8129704, 13.2971384 37.8128841, 13.2971706 37.8128133, 13.2972144 37.8124827)",,,
640245237,,Discesa Santa Maria,residential,True,False,97.46099999999998,"LINESTRING (13.2997738 37.8146088, 13.3004277 37.8148366, 13.3004464 37.814848, 13.3004625 37.8148617, 13.3004723 37.8148794, 13.3004766 37.8149012, 13.3004588 37.8150462, 13.3004823 37.8151317)",,,
489149131,,Vicolo Vincenzo Verdagamo,residential,False,True,20.451,"LINESTRING (13.2966775 37.8132709, 13.2968314 37.8134089)",,,
1100613111,,Via Guardia,residential,False,False,46.658,"LINESTRING (13.2966775 37.8132709, 13.2970482 37.8129704)",,,
1100613111,,Via Guardia,residential,False,True,27.871,"LINESTRING (13.2966775 37.8132709, 13.2964367 37.8134341)",,,
183712207,,Via Don Giovanni Colletto,residential,True,False,30.501,"LINESTRING (13.2992406 37.8148203, 13.2991437 37.8150837)",,,
1099997480,,Via Francesca Morvillo,residential,True,False,84.50299999999999,"LINESTRING (13.2992406 37.8148203, 13.2990567 37.8147874, 13.2983017 37.8146549)",,,
640245237,,Discesa Santa Maria,residential,True,False,18.728,"LINESTRING (13.2993347 37.8145124, 13.2995479 37.8145119)",,,
