osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,name,bridge,width,access
536153252,1,tertiary,30,roundabout,True,False,5.116,"LINESTRING (12.3682791 45.4169763, 12.3683117 45.4169784, 12.368343 45.4169853)",,,,
157264156,,tertiary,30,,False,False,76.768,"LINESTRING (12.3745556 45.4151892, 12.3738697 45.4153939, 12.3736514 45.4154608)",Gran Viale Santa Maria Elisabetta,,,
157264156,,tertiary,30,,False,True,95.165,"LINESTRING (12.3745556 45.4151892, 12.3755623 45.414884, 12.3756731 45.4148471)",Gran Viale Santa Maria Elisabetta,,,
485970693,,residential,,,False,False,110.967,"LINESTRING (12.3745556 45.4151892, 12.3745798 45.4152246, 12.374618 45.4152787, 12.3751839 45.4160844)",Via Famagosta,,,
8410579,,tertiary,30,,True,False,19.714,"LINESTRING (12.3681279 45.4168346, 12.3681768 45.4168744, 12.3682126 45.4169136, 12.3682486 45.4169475, 12.3682791 45.4169763)",Via Sandro Gallo,,,
"[78758544, 112633242]",2,tertiary,30,,False,True,56.837999999999994,"LINESTRING (12.3681279 45.4168346, 12.3680875 45.4167515, 12.3680527 45.4166367, 12.3680084 45.4165378, 12.3679398 45.4164364, 12.367871 45.4163604)",Via Sandro Gallo,,,
157264156,,tertiary,30,,False,False,20.158,"LINESTRING (12.3706313 45.4163717, 12.3703944 45.4164439)",Gran Viale Santa Maria Elisabetta,,,
157264156,,tertiary,30,,False,True,24.954,"LINESTRING (12.3706313 45.4163717, 12.3707559 45.4163338, 12.3707734 45.4163284, 12.3709243 45.4162819)",Gran Viale Santa Maria Elisabetta,,,
202481101,,residential,,,True,False,209.54,"LINESTRING (12.3706313 45.4163717, 12.3706977 45.4164827, 12.3716382 45.4180503, 12.3717105 45.4180878)",Via Perasto,,,
157264156,,tertiary,30,,False,True,20.158,"LINESTRING (12.3703944 45.4164439, 12.3706313 45.4163717)",Gran Viale Santa Maria Elisabetta,,,
"[157264156, 1246013420]",,tertiary,30,,False,False,147.68200000000002,"LINESTRING (12.3703944 45.4164439, 12.3702532 45.4164862, 12.3693176 45.4167637, 12.3692447 45.4167851, 12.3689595 45.4168714, 12.3688676 45.4169002, 12.3686552 45.4169668)",Gran Viale Santa Maria Elisabetta,,,
