osmid,name,highway,oneway,reversed,length,geometry,ref,tunnel,access,lanes
93629382,Via Cairoli,residential,False,False,92.393,"LINESTRING (14.0814502 37.2853218, 14.0811964 37.2845158)",,,,
239090967,Via Felice Cavallotti,residential,False,False,162.582,"LINESTRING (14.0814502 37.2853218, 14.0813045 37.2853547, 14.0807505 37.2853982, 14.0803673 37.285463, 14.0796938 37.2857027)",,,,
239090967,Via Felice Cavallotti,residential,False,True,30.344,"LINESTRING (14.0814502 37.2853218, 14.0816493 37.2852549, 14.0817662 37.2852157)",,,,
93629208,Via Vespri Siciliani,residential,True,False,7.774,"LINESTRING (14.0810914 37.2803659, 14.0810845 37.2802962)",,,,
995850275,Viale Don Bosco,residential,False,True,24.698,"LINESTRING (14.0810914 37.2803659, 14.0813614 37.2803095)",,,,
995850277,Via Vespri Siciliani,residential,False,True,14.16,"LINESTRING (14.0810914 37.2803659, 14.0811032 37.2804929)",,,,
93629322,Via Giosué Carducci,residential,False,True,63.331,"LINESTRING (14.0867763 37.2857674, 14.0862415 37.2853888)",,,,
397092684,Via Flora,residential,False,False,121.699,"LINESTRING (14.0867763 37.2857674, 14.0863445 37.2857951, 14.085961 37.2858442, 14.0856713 37.2859082, 14.0854487 37.2860044)",SP14,,,
"[515401282, 515401283, 397092684]",Via Flora,residential,False,True,61.641999999999996,"LINESTRING (14.0867763 37.2857674, 14.0868881 37.2857887, 14.0870219 37.2858355, 14.0870953 37.2858832, 14.0872039 37.2859515, 14.087265 37.2859904, 14.0873584 37.2860555)",SP14,yes,,
268626912,Via Vittorio Veneto,residential,False,True,13.952,"LINESTRING (14.0809505 37.2826147, 14.0809187 37.2824918)",,,,
480876228,Via Soldato Zuffanti,residential,False,True,25.596,"LINESTRING (14.0809505 37.2826147, 14.0806644 37.2826489)",,,,
268626912,Via Vittorio Veneto,residential,False,False,28.544,"LINESTRING (14.0809505 37.2826147, 14.0809566 37.2826355, 14.0809761 37.2827013, 14.0810243 37.2828646)",,,,
109920113,Via Giuseppe Giusti,residential,False,False,115.718,"LINESTRING (14.0781428 37.2806433, 14.0785984 37.2816188)",,,,
480876238,Via Dogali,residential,False,True,29.975,"LINESTRING (14.0781428 37.2806433, 14.0778385 37.2805248)",,,,
480876238,Via Dogali,residential,False,False,25.174,"LINESTRING (14.0781428 37.2806433, 14.0782741 37.2806799, 14.0784165 37.2807033)",,,,
93629389,Viale Don Bosco,residential,False,False,28.153,"LINESTRING (14.0852804 37.2796829, 14.0855938 37.2797267)",,,,
93629389,Viale Don Bosco,residential,False,True,27.331,"LINESTRING (14.0852804 37.2796829, 14.0849737 37.2797122)",,,,
109919885,Via Cagliari,residential,False,True,71.612,"LINESTRING (14.0852804 37.2796829, 14.0851421 37.2795019, 14.0851145 37.2794835, 14.0850768 37.2794759, 14.0850302 37.2794822, 14.0846177 37.2795492)",,,,
93629296,Corso Vittorio Emanuele,residential,True,False,51.996,"LINESTRING (14.0850813 37.2838538, 14.0845024 37.2839345)",,,,
93629380,Via Ruggero Settimo,residential,False,False,20.88,"LINESTRING (14.0850813 37.2838538, 14.0850318 37.2836702)",,,,
93629380,Via Ruggero Settimo,residential,False,True,26.849,"LINESTRING (14.0850813 37.2838538, 14.0851483 37.2840893)",,,,
520939065,Salita San Giuseppe,residential,False,True,47.07,"LINESTRING (14.0850813 37.2838538, 14.0856036 37.2837732)",,,,
239090967,Via Felice Cavallotti,residential,False,False,31.523999999999997,"LINESTRING (14.0820673 37.2850641, 14.0818753 37.2851608, 14.0817928 37.2852023, 14.0817662 37.2852157)",,,,
268626912,Via Vittorio Veneto,residential,False,True,100.67900000000002,"LINESTRING (14.0820673 37.2850641, 14.0815364 37.2844397, 14.0814578 37.2843234, 14.0814483 37.2843054)",,,,
995850273,Via Giovanni Amendola,residential,False,False,30.811,"LINESTRING (14.0820673 37.2850641, 14.0822278 37.2852441, 14.0822688 37.2852901)",,,,
480622190,Via Soldato Lo Giudice,residential,False,False,89.558,"LINESTRING (14.0825834 37.2841555, 14.0815837 37.2842821)",,,,
94665736,Via Roma,residential,True,False,56.968999999999994,"LINESTRING (14.0825834 37.2841555, 14.0824917 37.2838045, 14.0824523 37.2836539)",,,,
480622182,Via Fratelli Bandiera,residential,False,False,24.287,"LINESTRING (14.0855157 37.2848764, 14.0852582 37.2848007)",,,,
93629322,Via Giosué Carducci,residential,False,False,68.985,"LINESTRING (14.0855157 37.2848764, 14.0855618 37.2849617, 14.0857812 37.2850994, 14.0860991 37.2852702)",,,,
480622182,Via Fratelli Bandiera,residential,False,True,60.783,"LINESTRING (14.0855157 37.2848764, 14.0857383 37.2849116, 14.0861894 37.2849836)",,,,
93629245,Via Primo Maggio,residential,False,False,17.096,"LINESTRING (14.0809141 37.2808886, 14.0807339 37.2809441)",,,,
268626902,,residential,True,False,8.507,"LINESTRING (14.0809141 37.2808886, 14.0809584 37.2808207)",,,,
268626912,Via Vittorio Veneto,residential,False,False,34.774,"LINESTRING (14.0809141 37.2808886, 14.0807673 37.2811787)",,,,
"[515401282, 515401283, 397092684]",Via Flora,residential,False,False,61.641999999999996,"LINESTRING (14.0873584 37.2860555, 14.087265 37.2859904, 14.0872039 37.2859515, 14.0870953 37.2858832, 14.0870219 37.2858355, 14.0868881 37.2857887, 14.0867763 37.2857674)",SP14,yes,,
93629245,Via Primo Maggio,residential,False,True,17.096,"LINESTRING (14.0807339 37.2809441, 14.0809141 37.2808886)",,,,
93629245,Via Primo Maggio,residential,False,False,49.344,"LINESTRING (14.0807339 37.2809441, 14.0806283 37.280997, 14.0802222 37.2811164)",,,,
480876238,Via Dogali,residential,False,True,52.874,"LINESTRING (14.0807339 37.2809441, 14.0806347 37.2809461, 14.0804599 37.2809837, 14.0804252 37.2809901, 14.0801454 37.281016)",,,,
268626912,Via Vittorio Veneto,residential,False,False,8.19,"LINESTRING (14.0806695 37.2814675, 14.0806494 37.2815394)",,,,
268626912,Via Vittorio Veneto,residential,False,True,33.258,"LINESTRING (14.0806695 37.2814675, 14.0807673 37.2811787)",,,,
109920200,Via Carlo Pisacane,residential,False,True,130.655,"LINESTRING (14.0806695 37.2814675, 14.0809958 37.2814875, 14.0811795 37.2814987, 14.0813787 37.2815109, 14.081552 37.2815216, 14.081656 37.2815279, 14.081819 37.2815379, 14.0819726 37.2815473, 14.0821419 37.2815577)",,,,
480622190,Via Soldato Lo Giudice,residential,False,True,89.558,"LINESTRING (14.0815837 37.2842821, 14.0825834 37.2841555)",,,,
93629325,Via Napoli,residential,False,True,29.414,"LINESTRING (14.0868212 37.2821331, 14.0870115 37.2819162)",,,,
480622174,Via Mirisola,residential,False,True,38.479,"LINESTRING (14.0868212 37.2821331, 14.0865908 37.2824266)",,,,
480622175,Via Mirisola,residential,False,False,83.9,"LINESTRING (14.0868212 37.2821331, 14.0869267 37.2821757, 14.0869592 37.2822146, 14.0869551 37.2823084, 14.0868007 37.2825316, 14.0867478 37.2826513, 14.0867966 37.2827839)",,,,
93629382,Via Cairoli,residential,False,False,111.071,"LINESTRING (14.0806644 37.2826489, 14.0803904 37.2816741)",,,,
93629382,Via Cairoli,residential,False,True,71.523,"LINESTRING (14.0806644 37.2826489, 14.0808448 37.2832759)",,,,
480876228,Via Soldato Zuffanti,residential,False,False,25.596,"LINESTRING (14.0806644 37.2826489, 14.0809505 37.2826147)",,,,
480876228,Via Soldato Zuffanti,residential,False,True,19.361,"LINESTRING (14.0806644 37.2826489, 14.080448 37.2826748)",,,,
109920152,Via Ugo La Malfa,residential,False,False,20.837,"LINESTRING (14.0796938 37.2857027, 14.0795969 37.2855319)",,,,
480622145,Via Alessandria,residential,False,False,21.681,"LINESTRING (14.0796938 37.2857027, 14.0797974 37.2858794)",,,,
239090967,Via Felice Cavallotti,residential,False,False,87.089,"LINESTRING (14.0796938 37.2857027, 14.0794083 37.2858506, 14.0788985 37.2861633)",,,,
239090967,Via Felice Cavallotti,residential,False,True,162.582,"LINESTRING (14.0796938 37.2857027, 14.0803673 37.285463, 14.0807505 37.2853982, 14.0813045 37.2853547, 14.0814502 37.2853218)",,,,
93629380,Via Ruggero Settimo,residential,False,False,14.705,"LINESTRING (14.0849421 37.2860705, 14.0849557 37.2859387)",,,,
93629380,Via Ruggero Settimo,residential,False,False,42.751,"LINESTRING (14.0851111 37.2847817, 14.085172 37.2844003)",,,,
93629380,Via Ruggero Settimo,residential,False,True,59.094,"LINESTRING (14.0851111 37.2847817, 14.0850211 37.2853083)",,,,
480622182,Via Fratelli Bandiera,residential,False,True,13.184,"LINESTRING (14.0851111 37.2847817, 14.0852582 37.2848007)",,,,
93629208,Via Vespri Siciliani,residential,True,False,16.294,"LINESTRING (14.0810307 37.2797733, 14.0810123 37.2796275)",,,,
109919961,Via Soldato Addamo,residential,False,False,40.281,"LINESTRING (14.0810307 37.2797733, 14.0805759 37.2797899)",,,,
93629389,Viale Don Bosco,residential,False,True,79.72,"LINESTRING (14.0872273 37.2800561, 14.086354 37.2798796)",,,,
109919778,Via Gugliermo Marconi,residential,False,True,24.829,"LINESTRING (14.0872273 37.2800561, 14.086972 37.2801488)",,,,
109920073,Via Lombardia,residential,False,False,52.052,"LINESTRING (14.0872273 37.2800561, 14.0874056 37.2805022)",,,,
271822420,Via Einaudi,residential,False,True,22.677,"LINESTRING (14.0872273 37.2800561, 14.0874761 37.2800071)",,,,
93629210,Via Europa,residential,False,False,50.84,"LINESTRING (14.0872273 37.2800561, 14.0872241 37.2799605, 14.0870191 37.2796378)",,,,
93629245,Via Primo Maggio,residential,False,True,125.51499999999999,"LINESTRING (14.0768247 37.281172, 14.0770801 37.2819072, 14.0771715 37.281967, 14.0773698 37.2819841, 14.0775025 37.2819434)",,,,
