osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,tunnel,access
969480886,2,SS16,Corso Umberto Primo,primary,50,False,False,12.75,"LINESTRING (14.152115 42.5147115, 14.1521653 42.5146696, 14.1522179 42.5146255)",,,
969480886,2,SS16,Corso Umberto Primo,primary,50,False,True,39.052,"LINESTRING (14.152115 42.5147115, 14.1519096 42.5148816, 14.1517997 42.5149748)",,,
815676602,2,SS16 bis Adriatica,Via Vestina,primary,50,False,False,19.17,"LINESTRING (14.1480234 42.5146952, 14.1481714 42.5148287)",,,
815676602,2,SS16 bis Adriatica,Via Vestina,primary,50,False,True,85.535,"LINESTRING (14.1480234 42.5146952, 14.1479731 42.5146488, 14.147418 42.5141364, 14.1473712 42.5140947)",,,
1100957824,,,Via Gabriele D'Annunzio,residential,,False,True,5.963,"LINESTRING (14.1527998 42.5111077, 14.1528478 42.5110674)",,,
24722200,1,,Via Gabriele D'Annunzio,residential,,True,False,42.472,"LINESTRING (14.1527998 42.5111077, 14.1527436 42.5111554, 14.1524559 42.5113934)",,,
9979757,1,,Via Silvio Spaventa,residential,,True,False,226.047,"LINESTRING (14.1548122 42.5124977, 14.1547496 42.5124544, 14.1528462 42.5111398, 14.1527998 42.5111077)",,,
49480969,2,SS16,Corso Umberto Primo,primary,50,False,False,40.717999999999996,"LINESTRING (14.1548122 42.5124977, 14.1549402 42.5123925, 14.1551439 42.5122251)",,,
"[969480886, 969480887]","['2', '3']",SS16,Corso Umberto Primo,primary,50,False,True,59.854,"LINESTRING (14.1548122 42.5124977, 14.1547161 42.5125769, 14.1546581 42.5126245, 14.154608 42.5126655, 14.1544054 42.5128329, 14.1543255 42.512899)",,,
"[969534328, 23017360]","['2', '3']",,Via Europa,tertiary,50,False,False,91.729,"LINESTRING (14.1548122 42.5124977, 14.1549213 42.5125735, 14.1549671 42.5126053, 14.1552301 42.5127881, 14.1555695 42.5130239, 14.1556266 42.5130635)",,,
"[49480969, 969552222]","['2', '3']",SS16,Corso Umberto Primo,primary,50,False,True,69.227,"LINESTRING (14.1575753 42.5102062, 14.1575215 42.5102504, 14.1573523 42.5103895, 14.1572036 42.5105118, 14.1570116 42.5106698)",,,
1100957816,1,,,unclassified,50,True,False,7.9079999999999995,"LINESTRING (14.1531146 42.5174662, 14.1531061 42.5174762, 14.1530948 42.5174847, 14.1530814 42.5174913, 14.1530664 42.5174956, 14.1530506 42.5174975, 14.1530345 42.5174969)",roundabout,,
842679413,2,,Via Ugo Foscolo,residential,30,False,False,125.853,"LINESTRING (14.153649 42.5170099, 14.1546165 42.516131)",,,
842679413,2,,Via Ugo Foscolo,residential,30,False,True,43.698,"LINESTRING (14.153649 42.5170099, 14.1532647 42.5172823)",,,
9644289,2,,Via Finlandia,residential,,False,False,161.33100000000002,"LINESTRING (14.153649 42.5170099, 14.1536888 42.5170292, 14.1537899 42.5170782, 14.1540154 42.5171876, 14.1540454 42.5171924, 14.1540799 42.5171927, 14.1541137 42.5171913, 14.154146 42.5171865, 14.1542999 42.5171291, 14.1545291 42.5170635, 14.1547811 42.517028, 14.1550364 42.5170377, 14.1552427 42.5170674, 14.1554861 42.5171283)",,,
9644289,2,,Via Finlandia,residential,,False,True,161.33100000000002,"LINESTRING (14.1554861 42.5171283, 14.1552427 42.5170674, 14.1550364 42.5170377, 14.1547811 42.517028, 14.1545291 42.5170635, 14.1542999 42.5171291, 14.154146 42.5171865, 14.1541137 42.5171913, 14.1540799 42.5171927, 14.1540454 42.5171924, 14.1540154 42.5171876, 14.1537899 42.5170782, 14.1536888 42.5170292, 14.153649 42.5170099)",,,
12905918,2,,Via Vittorio Alfieri,residential,,False,True,154.448,"LINESTRING (14.1554861 42.5171283, 14.1559382 42.5165231, 14.1563951 42.5159116)",,,
1100957839,2,,Via Giovanni Chiarini,secondary,50,False,True,17.3,"LINESTRING (14.1496661 42.5095897, 14.1498719 42.5096242)",,,
1100957839,2,,Via Giovanni Chiarini,secondary,50,False,False,44.524,"LINESTRING (14.1496661 42.5095897, 14.1492609 42.5095161, 14.1491395 42.5094916)",,,
9979752,,,Via Giuseppe Verrotti,residential,,True,False,34.799,"LINESTRING (14.1530695 42.5107806, 14.1530476 42.5105114, 14.1530441 42.5104682)",,,
33238266,,,Via Gabriele D'Annunzio,residential,,False,False,36.979,"LINESTRING (14.1530695 42.5107806, 14.1530533 42.5108184, 14.1530278 42.5108615, 14.1529892 42.5109197, 14.1529573 42.5109606, 14.152918 42.5110021, 14.1528478 42.5110674)",,,
49480969,2,SS16,Corso Umberto Primo,primary,50,False,False,18.674,"LINESTRING (14.1559806 42.5115331, 14.1561332 42.5114084)",,,
9979755,,,Via Roberto Ruffilli,tertiary,50,False,False,75.67699999999999,"LINESTRING (14.1559806 42.5115331, 14.1559029 42.5115198, 14.1550814 42.5113787)",,,
49480969,2,SS16,Corso Umberto Primo,primary,50,False,True,103.08200000000001,"LINESTRING (14.1559806 42.5115331, 14.1558426 42.5116519, 14.1557291 42.5117495, 14.1553265 42.5120786, 14.1551971 42.5121825, 14.1551439 42.5122251)",,,
9979755,,,Via Roberto Ruffilli,tertiary,50,False,False,172.907,"LINESTRING (14.1550814 42.5113787, 14.1541285 42.510821, 14.1538483 42.5106573, 14.1535704 42.5104949, 14.1534559 42.5104279, 14.153429 42.5104121)",,,
9979755,,,Via Roberto Ruffilli,tertiary,50,False,True,75.67699999999999,"LINESTRING (14.1550814 42.5113787, 14.1559029 42.5115198, 14.1559806 42.5115331)",,,
9979761,1,,,tertiary,50,True,False,15.004999999999999,"LINESTRING (14.1492146 42.5114394, 14.1491823 42.5114521, 14.1491466 42.5114581, 14.14911 42.5114569, 14.1490751 42.5114488, 14.1490444 42.5114341)",roundabout,,
9979761,1,,,tertiary,50,True,False,10.415,"LINESTRING (14.149068 42.5112673, 14.1491079 42.5112568, 14.1491502 42.5112556, 14.149191 42.511264)",roundabout,,
10581659,1,,Via Luciani,residential,,True,False,193.04,"LINESTRING (14.149068 42.5112673, 14.1491246 42.5111745, 14.1496661 42.5095897)",,,
11181579,1,,Via Martiri d'Ungheria,residential,,False,True,90.51,"LINESTRING (14.1487389 42.515357, 14.1495761 42.5148262)",,,
815676602,2,SS16 bis Adriatica,Via Vestina,primary,50,False,False,28.687,"LINESTRING (14.1487389 42.515357, 14.1489561 42.5155593)",,,
815676602,2,SS16 bis Adriatica,Via Vestina,primary,50,False,True,74.93,"LINESTRING (14.1487389 42.515357, 14.148423 42.5150637, 14.1483281 42.5149741, 14.1481714 42.5148287)",,,
1100957823,2,,Via Europa,tertiary,50,False,False,27.216,"LINESTRING (14.1556266 42.5130635, 14.1558706 42.5132295)",,,
9979772,,,Via Giovanni Boccaccio,residential,,False,False,33.013,"LINESTRING (14.1556266 42.5130635, 14.1555798 42.5131388, 14.1554989 42.513269, 14.1554588 42.5133334)",,,
"[23017360, 969534328]","['2', '3']",,Via Europa,tertiary,50,False,True,91.729,"LINESTRING (14.1556266 42.5130635, 14.1555695 42.5130239, 14.1552301 42.5127881, 14.1549671 42.5126053, 14.1549213 42.5125735, 14.1548122 42.5124977)",,,
