osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,tunnel,access,width,junction
276110371,2,Via Umberto I,secondary,50,False,False,28.769,"LINESTRING (7.679755 44.7702203, 7.6794104 44.7701361)",,,,,
276110372,,Via San Domenico,residential,50,False,False,145.373,"LINESTRING (7.679755 44.7702203, 7.6807974 44.7703229, 7.6809061 44.7703766, 7.6812606 44.770552, 7.6813842 44.7705946, 7.6814627 44.7706216)",,,,,
855590982,2,Via Umberto I,secondary,50,False,True,80.20700000000001,"LINESTRING (7.679755 44.7702203, 7.6797897 44.7703888, 7.6798034 44.7708367, 7.6798128 44.7709395)",,,,,
305412450,1,Piazza Carlo Alberto,secondary,30,True,False,10.112,"LINESTRING (7.675621 44.7681578, 7.6755882 44.7681384, 7.675566 44.7681125, 7.6755568 44.7680829)",,,,,
488992990,1,Piazza Carlo Alberto,secondary,30,True,False,16.003,"LINESTRING (7.675621 44.7681578, 7.6755065 44.7681854, 7.6754369 44.7682159)",,,,,
74464219,2,Via Regina Margherita,secondary,,False,False,13.223,"LINESTRING (7.6741285 44.7682758, 7.6742938 44.768295)",SP30,,,,
74464219,2,Via Regina Margherita,secondary,,False,True,107.74700000000001,"LINESTRING (7.6741285 44.7682758, 7.6738417 44.768256, 7.673734 44.768253, 7.6736192 44.7682563, 7.6733932 44.7682707, 7.6732152 44.7682859, 7.6731405 44.7682979, 7.6730658 44.7683074, 7.6730092 44.7683107, 7.672771 44.7683013)",SP30,,,,
276086783,,Via Marcellino Roda,residential,50,False,False,153.909,"LINESTRING (7.6741285 44.7682758, 7.6740099 44.7681112, 7.6739419 44.767836, 7.6739114 44.7675571, 7.6738305 44.7673597, 7.6736951 44.7671922, 7.6735954 44.767109, 7.6735192 44.7670733, 7.6734278 44.7670553)",,,,,
74464219,2,Via Regina Margherita,secondary,,False,True,8.228,"LINESTRING (7.6750917 44.7683716, 7.6749875 44.7683733)",SP30,,,,
188315013,,Via Venti Settembre,unclassified,,True,False,237.822,"LINESTRING (7.6750917 44.7683716, 7.6745321 44.7696491, 7.6744959 44.7697318, 7.6742129 44.7692824, 7.6741901 44.7692576, 7.6741418 44.7692224, 7.6739514 44.7691748)",,,,,
305412452,2,Piazza Carlo Alberto,secondary,,False,False,32.544,"LINESTRING (7.6750917 44.7683716, 7.6751509 44.7683584, 7.6752029 44.76834, 7.6754369 44.7682159)",,,,,
666415104,2,Viale Regina Elena,secondary,50,False,False,129.721,"LINESTRING (7.6798128 44.7709395, 7.6798649 44.7709616, 7.6799016 44.7709745, 7.6799845 44.7710037, 7.6802635 44.7710646, 7.6809592 44.7711407, 7.6813976 44.7712225)",,,,,
855590982,2,Via Umberto I,secondary,50,False,False,80.207,"LINESTRING (7.6798128 44.7709395, 7.6798034 44.7708367, 7.6797897 44.7703888, 7.679755 44.7702203)",,,,,
855590982,2,Via Umberto I,secondary,50,False,True,105.573,"LINESTRING (7.6798128 44.7709395, 7.6798225 44.7710967, 7.6798722 44.771888)",,,,,
188362303,,Via Santa Maria,unclassified,,False,True,5.247,"LINESTRING (7.6799063 44.7668317, 7.6799718 44.7668237)",,,,,
276125362,,Via Cesare Biglia,unclassified,,False,True,180.653,"LINESTRING (7.6799063 44.7668317, 7.6798806 44.766889, 7.6799223 44.7672132, 7.6799557 44.7679828, 7.6799558 44.768202, 7.6798818 44.7682968, 7.6798149 44.76843)",,,,,
