osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,junction,width,maxspeed,tunnel
222873318,True,2,Via Nazario Sauro,secondary,False,33.215,"LINESTRING (12.6996903 42.9517499, 12.7000137 42.9515677)",,,,,
222873318,True,2,Via Nazario Sauro,secondary,False,74.614,"LINESTRING (12.6989716 42.9521663, 12.6993243 42.9519537, 12.6996903 42.9517499)",,,,,
222873320,True,,Via Nazario Sauro,secondary,False,56.409,"LINESTRING (12.6989716 42.9521663, 12.6988552 42.9522717, 12.6987409 42.9523749, 12.6986018 42.9524962, 12.6985708 42.9525735)",,,,,
"[553081937, 79433822]",True,2,"['Viale Cesare Battisti', 'Via Nazario Sauro']",secondary,False,164.64399999999998,"LINESTRING (12.7050993 42.9521891, 12.7057796 42.9525593, 12.7063382 42.9528925, 12.7065495 42.9530237, 12.7066082 42.9530633, 12.7067 42.9530879)",,,,,
79358852,True,,Viale Cesare Battisti,secondary,False,20.844,"LINESTRING (12.7084618 42.9550955, 12.708551 42.9550356, 12.7085704 42.9550135, 12.7085822 42.9549878, 12.7085876 42.9549425)",,,,,
79434344,True,,Viale Cesare Battisti,secondary,False,31.211,"LINESTRING (12.7084618 42.9550955, 12.7085163 42.9550974, 12.7085776 42.9551023, 12.7086243 42.9551122, 12.7086604 42.9551295, 12.7087269 42.9551784, 12.708784 42.9552207)",,,,,
509444553,True,,Viale Cesare Battisti,secondary,False,119.358,"LINESTRING (12.7085876 42.9549425, 12.7082145 42.9545772, 12.7077166 42.9540789)",,,,,
159745394,True,2,Viale Mezzetti,secondary,False,17.415,"LINESTRING (12.7067 42.9530879, 12.706804 42.9530521, 12.7068962 42.9530256)",,,,,
451322243,True,2,Viale Cesare Battisti,secondary,False,59.892,"LINESTRING (12.7067 42.9530879, 12.7069029 42.9527872, 12.7070439 42.9526121)",,,,,
"[70905616, 1102849149]",True,2,Viale Cesare Battisti,secondary,False,54.708999999999996,"LINESTRING (12.7070948 42.9534776, 12.7069826 42.9533994, 12.7068691 42.9533016, 12.7068091 42.9532499, 12.7067493 42.9531852, 12.7067363 42.9531607, 12.7067231 42.9531358, 12.706711 42.9531005, 12.7067 42.9530879)",,,,,
79433821,True,1,Viale Cesare Battisti,tertiary,False,55.202000000000005,"LINESTRING (12.7070948 42.9534776, 12.7069684 42.9533056, 12.7069004 42.9532327, 12.7068772 42.9531843, 12.7068733 42.9531664, 12.7068679 42.9531416, 12.7068733 42.9530886, 12.7068962 42.9530256)",,,,,
79434343,True,1,Viale Cesare Battisti,secondary,False,24.671999999999997,"LINESTRING (12.7088654 42.955019, 12.7087423 42.9550057, 12.7087139 42.954999, 12.7086905 42.9549934, 12.7086345 42.9549676, 12.7085876 42.9549425)",,,,,
