osmid,name,highway,oneway,reversed,length,geometry,junction,lanes,ref,maxspeed,tunnel,bridge,width
39370661,Via Alzaia sul Sile,unclassified,False,False,65.603,"LINESTRING (12.2935679 45.650628, 12.2941393 45.6501938)",,,,,,,
133377380,Via del Porto,unclassified,False,True,318.351,"LINESTRING (12.2935679 45.650628, 12.2920037 45.6519545, 12.2918541 45.6521203, 12.2916854 45.652294, 12.2914307 45.6526775, 12.2912985 45.6529788)",,,,,,,
675639948,Via Sile,tertiary,False,False,191.547,"LINESTRING (12.2935679 45.650628, 12.2944372 45.6514477, 12.2950238 45.6520178)",,,,,,,
1222312964,Via Alzaia sul Sile,unclassified,False,True,207.797,"LINESTRING (12.2935679 45.650628, 12.2927947 45.6499126, 12.2919563 45.649137)",,,,,,,
1222312964,Via Alzaia sul Sile,unclassified,False,False,207.797,"LINESTRING (12.2919563 45.649137, 12.2927947 45.6499126, 12.2935679 45.650628)",,,,,,,
19372814,Via Sile,tertiary,False,True,47.732,"LINESTRING (12.2953892 45.6523628, 12.2950238 45.6520178)",,,,,,,
19372814,Via Sile,tertiary,False,False,97.007,"LINESTRING (12.2953892 45.6523628, 12.2959837 45.6529112, 12.2960602 45.6529934, 12.2960853 45.6530353, 12.296093 45.6530758)",,,,,,,
1222312963,Via Treviso,tertiary,True,False,4.188,"LINESTRING (12.2960996 45.6532674, 12.2961338 45.6532965)",roundabout,,,,,,
34760950,Via Lanzaghe,tertiary,True,False,20.366,"LINESTRING (12.2960536 45.6534791, 12.2959777 45.6536544)",,,,,,,
1251731222,Via Treviso,tertiary,True,False,9.26,"LINESTRING (12.2960536 45.6534791, 12.2959909 45.6534894, 12.2959362 45.653488)",roundabout,,,,,,
34760952,Via Treviso,tertiary,True,False,22.576,"LINESTRING (12.2955623 45.6532941, 12.2958505 45.6532688)",,,,,,,
1234890192,Via Treviso,tertiary,False,False,205.244,"LINESTRING (12.2955623 45.6532941, 12.2942808 45.6532067, 12.2937531 45.6531925, 12.2934919 45.6531914, 12.2931076 45.653202, 12.2929303 45.65322)",,,,,,,
133290309,,primary,False,False,63.653,"LINESTRING (12.297701 45.6513296, 12.2984819 45.6511572)",,2,SR89,70,,,
"[133290305, 73469860, 73469870, 131611662, 27755774]",Treviso Mare,primary,False,True,414.04200000000003,"LINESTRING (12.297701 45.6513296, 12.2963626 45.6517549, 12.2952566 45.6521063, 12.2950854 45.6521583, 12.2941818 45.6524554, 12.2928667 45.6528931)",,2,SR89,70,yes,,
133290309,,primary,False,True,63.653,"LINESTRING (12.2984819 45.6511572, 12.297701 45.6513296)",,2,SR89,70,,,
73469862,,tertiary_link,True,False,276.267,"LINESTRING (12.2984819 45.6511572, 12.2978673 45.6514941, 12.2977768 45.6515373, 12.2953892 45.6523628)",,1,,,,,
34760958,Via Roma,tertiary,True,False,17.998,"LINESTRING (12.2963578 45.6533215, 12.2961532 45.6533973)",,,,,,,
692532146,Via Roma,tertiary,False,True,62.108,"LINESTRING (12.2963578 45.6533215, 12.2971529 45.6532659)",,,,,,,
34760957,Via Roma,tertiary,True,False,17.631,"LINESTRING (12.2961338 45.6532965, 12.2963578 45.6533215)",,,,,,,
1251731222,Via Treviso,tertiary,True,False,11.544,"LINESTRING (12.2961338 45.6532965, 12.2961593 45.6533514, 12.2961532 45.6533973)",roundabout,,,,,,
19372838,Via Treviso,tertiary,True,False,24.124,"LINESTRING (12.2958129 45.6534217, 12.295756 45.6533874, 12.2955623 45.6532941)",,,,,,,
19373315,Via Treviso,tertiary,True,False,18.376,"LINESTRING (12.2958129 45.6534217, 12.2957927 45.6533706, 12.2958079 45.6533107, 12.2958505 45.6532688)",roundabout,,,,,,
19373315,Via Treviso,tertiary,True,False,11.279,"LINESTRING (12.2958505 45.6532688, 12.2959185 45.6532406, 12.2959839 45.6532342)",roundabout,,,,,,
19373315,Via Treviso,tertiary,True,False,9.939,"LINESTRING (12.2959839 45.6532342, 12.2960526 45.6532439, 12.2960996 45.6532674)",roundabout,,,,,,
34760951,Via Sile,tertiary,True,False,19.674999999999997,"LINESTRING (12.2959839 45.6532342, 12.2960454 45.6531679, 12.296093 45.6530758)",,,,,,,
1251731222,Via Treviso,tertiary,True,False,12.224,"LINESTRING (12.2961532 45.6533973, 12.2961204 45.6534422, 12.2960536 45.6534791)",roundabout,,,,,,
34760949,Via Lanzaghe,tertiary,True,False,18.782,"LINESTRING (12.2959777 45.6536544, 12.2959362 45.653488)",,,,,,,
34760956,Via Lanzaghe,tertiary,False,False,66.75,"LINESTRING (12.2959777 45.6536544, 12.2959422 45.6537514, 12.2958384 45.6539471, 12.2956935 45.6542204)",,,,,,,
19373315,Via Treviso,tertiary,True,False,12.386,"LINESTRING (12.2959362 45.653488, 12.2958601 45.6534623, 12.2958129 45.6534217)",roundabout,,,,,,
19372814,Via Sile,tertiary,False,True,97.007,"LINESTRING (12.296093 45.6530758, 12.2960853 45.6530353, 12.2960602 45.6529934, 12.2959837 45.6529112, 12.2953892 45.6523628)",,,,,,,
