osmid,oneway,name,highway,reversed,length,geometry,junction,tunnel,width
256044453,True,Via Umberto Secondo,secondary,False,123.756,"LINESTRING (13.9421694 37.1041334, 13.9419256 37.1044285, 13.9414198 37.1050721)",,,
88855512,True,Corso Umberto,secondary,False,39.469,"LINESTRING (13.9411568 37.103592, 13.9414815 37.1037704, 13.9415221 37.1037947)",,,
88855512,True,Corso Umberto,secondary,False,41.21,"LINESTRING (13.940776 37.1033796, 13.9411568 37.103592)",,,
564130433,False,,secondary,True,19.618,"LINESTRING (13.940776 37.1033796, 13.9406531 37.1035263)",,,
231514709,False,Via Generale Carlo Alberto Dalla Chiesa,tertiary,False,124.13199999999999,"LINESTRING (13.940776 37.1033796, 13.9410402 37.1030758, 13.9410907 37.1030099, 13.9411896 37.1028811, 13.9412931 37.1027092, 13.9413562 37.1025682, 13.941441 37.1024036)",,,
27855449,True,Via Vecchia stazione,residential,False,255.005,"LINESTRING (13.9404264 37.1031868, 13.9400619 37.1035701, 13.9400531 37.1035788, 13.9390313 37.1045202, 13.9385566 37.1049273)",,,
564130417,True,Corso Umberto,secondary,False,37.698,"LINESTRING (13.9404264 37.1031868, 13.9404704 37.1032091, 13.940776 37.1033796)",,,
200212270,False,Via Buccari,residential,False,32.717,"LINESTRING (13.9385566 37.1049273, 13.9384616 37.1048488, 13.9383559 37.1047613, 13.9383005 37.1047155)",,,
"[200216280, 200212270]",False,"['Via Buccari', 'Via Stretta']",residential,True,38.564,"LINESTRING (13.9385566 37.1049273, 13.938758 37.105094, 13.9386665 37.1051833)",,,
27855451,True,Corso Serrovira,secondary,False,18.875,"LINESTRING (13.9383005 37.1047155, 13.9381419 37.1048287)",,,
564130419,False,,residential,True,6.013,"LINESTRING (13.9383005 37.1047155, 13.9382546 37.1046757)",,,
200212270,False,Via Buccari,residential,True,32.717,"LINESTRING (13.9383005 37.1047155, 13.9383559 37.1047613, 13.9384616 37.1048488, 13.9385566 37.1049273)",,,
200216274,True,Corso Filippo Re Capriata,secondary,False,29.431,"LINESTRING (13.9349426 37.1053005, 13.9350156 37.1051906, 13.9351256 37.1050811)",,,
655697339,True,,secondary,False,4.006,"LINESTRING (13.9400233 37.1029599, 13.9400316 37.1029536, 13.9400417 37.1029497, 13.9400529 37.1029487, 13.9400639 37.1029505)",roundabout,,
27855451,True,Corso Serrovira,secondary,False,25.913,"LINESTRING (13.9398336 37.1032867, 13.9396618 37.1034752)",,,
564130421,False,,residential,True,7.121,"LINESTRING (13.9398336 37.1032867, 13.9397535 37.1032822)",,,
27855451,True,Corso Serrovira,secondary,False,14.416,"LINESTRING (13.9379641 37.104924, 13.937829 37.1049961)",,,
109919896,False,Via Russo,residential,False,66.825,"LINESTRING (13.9379641 37.104924, 13.9385331 37.105318)",,,
564130428,False,,residential,False,6.344,"LINESTRING (13.9379641 37.104924, 13.9379104 37.1048863)",,,
564130429,False,Corso Serrovira,secondary,False,16.746,"LINESTRING (13.9371662 37.1053094, 13.9369994 37.10538)",,,
564130429,False,Corso Serrovira,secondary,True,16.153,"LINESTRING (13.9371662 37.1053094, 13.9373205 37.1052322)",,,
"[1132215769, 109919726]",True,Via Stazione,residential,False,85.59299999999999,"LINESTRING (13.9371662 37.1053094, 13.9377184 37.1058036, 13.9378083 37.1058841)",,,
109919827,True,Via Gaetano De Pasquali,secondary,False,49.895,"LINESTRING (13.9367156 37.1054531, 13.9365004 37.1058677)",,,
564130429,False,Corso Serrovira,secondary,True,7.236,"LINESTRING (13.9367156 37.1054531, 13.9367955 37.1054399)",,,
109919827,True,Via Gaetano De Pasquali,secondary,False,21.852,"LINESTRING (13.9365004 37.1058677, 13.9363936 37.1060448)",,,
109919986,False,Via della Gancia,residential,True,64.68,"LINESTRING (13.9365004 37.1058677, 13.9371536 37.1061265)",,,
