osmid,name,highway,oneway,reversed,length,geometry,bridge,ref,maxspeed,width
95201927,Piazza Accursio da Bagnolo,tertiary,False,True,86.659,"LINESTRING (11.257479 43.6846649, 11.2566173 43.6849368, 11.2564918 43.6849775)",,,,
46949305,Via Monsignor Giuseppe Binazzi,unclassified,False,False,10.465,"LINESTRING (11.2522581 43.685591, 11.252221 43.6855865, 11.2521808 43.6855749, 11.2521383 43.6855569)",,,,
95201939,Viale della Libertà,tertiary,False,False,91.08200000000001,"LINESTRING (11.2522581 43.685591, 11.2522314 43.6855174, 11.2522314 43.6854334, 11.2522796 43.6852887, 11.2523212 43.68521, 11.2524049 43.6851247, 11.2524508 43.6850897, 11.2525661 43.6850392, 11.25266 43.6850063, 11.2527048 43.6849928, 11.2527923 43.6849776)",,,,
95201939,Viale della Libertà,tertiary,False,True,268.2660000000001,"LINESTRING (11.2522581 43.685591, 11.2524607 43.6860339, 11.2528466 43.6868737, 11.2528662 43.6869353, 11.2528839 43.6870091, 11.2528938 43.6870765, 11.2528925 43.6871493, 11.2528827 43.6872151, 11.2528578 43.687285, 11.2528192 43.6873608, 11.2527524 43.6874433, 11.2526583 43.6875378, 11.2525976 43.6875902, 11.2525449 43.6876285, 11.2525294 43.6876398, 11.2524996 43.6876575, 11.2524698 43.6876752, 11.2523971 43.687712, 11.2522856 43.6877583)",,,,
4621806,Via di Cappello,tertiary,False,False,18.738999999999997,"LINESTRING (11.2514515 43.6821194, 11.2513886 43.6820792, 11.2513572 43.6820558, 11.2513304 43.6820257, 11.2513109 43.6819889)",,,,
4621806,Via di Cappello,tertiary,False,True,71.518,"LINESTRING (11.2514515 43.6821194, 11.251578 43.6821984, 11.2516852 43.6822766, 11.2518693 43.6824161, 11.2519796 43.682496, 11.2520138 43.6825202, 11.252046 43.6825375, 11.2520705 43.6825445, 11.2520887 43.6825465, 11.2521032 43.6825464)",,,,
1093173699,Via Giorgio La Pira,unclassified,True,False,33.096000000000004,"LINESTRING (11.2514515 43.6821194, 11.2512955 43.6821085, 11.2511609 43.6820939, 11.2510448 43.6820759)",,,,
4621806,Via di Cappello,tertiary,False,True,18.738999999999997,"LINESTRING (11.2513109 43.6819889, 11.2513304 43.6820257, 11.2513572 43.6820558, 11.2513886 43.6820792, 11.2514515 43.6821194)",,,,
4621808,Via Ho Chi Min,unclassified,False,True,59.353,"LINESTRING (11.2509482 43.6840468, 11.2509644 43.6840155, 11.2510954 43.6838728, 11.2511274 43.6838338, 11.2511566 43.6837723, 11.2511691 43.6837175, 11.2511682 43.6836692, 11.2511572 43.6836219, 11.2511261 43.6835589)",,,,
"[46929976, 46929977]","['Via Papa Giovanni XXIII', 'Via Croce']",residential,True,False,187.706,"LINESTRING (11.2509482 43.6840468, 11.2511286 43.6841411, 11.2513041 43.6842178, 11.2514445 43.684267, 11.2519005 43.6843895, 11.2522985 43.6844787, 11.2523536 43.6844927, 11.2529453 43.6846261, 11.2530483 43.6846571, 11.2531039 43.6846685)",,,,
46949305,Via Monsignor Giuseppe Binazzi,unclassified,False,True,197.444,"LINESTRING (11.2509482 43.6840468, 11.2509446 43.6840938, 11.2509534 43.684164, 11.2509905 43.6842823, 11.2510305 43.6843955, 11.2510517 43.6844324, 11.2510817 43.6844713, 11.2519462 43.6854434, 11.2520592 43.6855167, 11.2521383 43.6855569)",,,,
4621808,Via Ho Chi Min,unclassified,False,False,59.35300000000001,"LINESTRING (11.2511261 43.6835589, 11.2511572 43.6836219, 11.2511682 43.6836692, 11.2511691 43.6837175, 11.2511566 43.6837723, 11.2511274 43.6838338, 11.2510954 43.6838728, 11.2509644 43.6840155, 11.2509482 43.6840468)",,,,
4621808,Via Ho Chi Min,unclassified,False,True,45.111,"LINESTRING (11.2511261 43.6835589, 11.2510837 43.6835083, 11.2509151 43.683397, 11.2508482 43.6833528, 11.2507289 43.6832754)",,,,
