osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,tunnel,junction
379874837,2,Via Venti Settembre,secondary,50,False,False,22.695,"LINESTRING (11.0916244 45.4225539, 11.0917707 45.4225843, 11.0919032 45.4226119)",,,,
569043590,,Piazzetta Napoleone,residential,,False,False,11.719000000000001,"LINESTRING (11.0916244 45.4225539, 11.0916521 45.4225296, 11.0917182 45.4224716)",,,,
108448308,,Via Piave,secondary,,True,False,41.789,"LINESTRING (11.1021574 45.4232578, 11.1026679 45.4233712)",SP37,,,
108448308,,Via Piave,secondary,,True,False,15.588999999999999,"LINESTRING (11.0993937 45.423053, 11.09956 45.4230588, 11.0995932 45.4230599)",SP37,,,
108448314,,Via A. Diaz,residential,,True,False,66.128,"LINESTRING (11.0993937 45.423053, 11.0993936 45.4230753, 11.0993912 45.4236477)",,,,
"[472650193, 30954770]",,Via Pasubio,tertiary,50,False,False,83.832,"LINESTRING (11.0973611 45.4231298, 11.0973975 45.4231631, 11.0978068 45.4236186, 11.0979226 45.4237718)",SP37,,,
30954771,,Via Pasubio,secondary,,False,False,52.281,"LINESTRING (11.0973611 45.4231298, 11.0970167 45.4228344, 11.0969378 45.4227654)",SP37,,,
108448308,,Via Piave,secondary,,True,False,160.264,"LINESTRING (11.0973611 45.4231298, 11.0974158 45.4231008, 11.0975178 45.4230782, 11.0976774 45.423065, 11.0978812 45.4230509, 11.0993937 45.423053)",SP37,,,
30954771,,Via Pasubio,secondary,,False,True,52.281,"LINESTRING (11.0969378 45.4227654, 11.0970167 45.4228344, 11.0973611 45.4231298)",SP37,,,
"[312961328, 312961329, 379874837]",2,Via Venti Settembre,secondary,50,False,True,324.765,"LINESTRING (11.0969378 45.4227654, 11.0956052 45.4230013, 11.0950062 45.4231209, 11.0949325 45.4231353, 11.0946752 45.4231782, 11.0945024 45.42318, 11.0943603 45.4231762, 11.0941012 45.423161, 11.0938422 45.423111, 11.0936609 45.4230625, 11.0933519 45.4229504, 11.0932273 45.4229143, 11.0929492 45.42283)",,yes,,
472650195,2,Via Venti Settembre,secondary,,False,False,41.794,"LINESTRING (11.0969378 45.4227654, 11.0970472 45.4227425, 11.0971462 45.4227217, 11.0974544 45.4226667)",,,,
472650195,2,Via Venti Settembre,secondary,,False,True,263.264,"LINESTRING (11.1029356 45.4218547, 11.102776 45.4218688, 11.1026657 45.4218774, 11.1020333 45.4219266, 11.1018383 45.4219455, 11.1011661 45.4220105, 11.1006316 45.4220754, 11.0996766 45.4222283, 11.0996119 45.4222424)",,,,
"[28653880, 184598378]",,"['Via Disciplina', 'Via Fenil Novo']",unclassified,,False,True,42.393,"LINESTRING (11.0907816 45.4199673, 11.0908391 45.4198415, 11.0909357 45.4196405, 11.0909357 45.4196035)",,,,
"[28654329, 108313797, 28654345]",2,"['Via Guglielmo Marconi', 'Via Giuseppe Mazzini']","['unclassified', 'residential']",,False,False,263.255,"LINESTRING (11.0907816 45.4199673, 11.0918136 45.4205914, 11.0918393 45.4206069, 11.0918729 45.4206299, 11.0922428 45.4208835, 11.0923885 45.4210345, 11.0925095 45.4211705, 11.0926071 45.4212859, 11.0930112 45.4217155)",,,yes,
28654345,,Via Giuseppe Mazzini,residential,,False,True,12.399,"LINESTRING (11.0934432 45.4221868, 11.0933771 45.4220854)",,,,
30266194,,Piazza del Popolo,residential,,False,False,30.445,"LINESTRING (11.0934432 45.4221868, 11.0932156 45.4223026, 11.0931792 45.4223747)",,,,
66709399,,Via Radisi,residential,,True,False,136.749,"LINESTRING (11.0934432 45.4221868, 11.0934824 45.4222193, 11.0935987 45.4222062, 11.093789 45.4221734, 11.0939859 45.4221387, 11.0942578 45.4220908, 11.0944028 45.4220653, 11.0948026 45.4219708, 11.0950856 45.4218614)",,,,
379874837,2,Via Venti Settembre,secondary,50,False,True,24.589,"LINESTRING (11.0929492 45.42283, 11.0926474 45.4227665)",,,,
30266194,,Piazza del Popolo,residential,,False,True,53.718,"LINESTRING (11.0929492 45.42283, 11.0930191 45.4226984, 11.0931412 45.4224514, 11.0931792 45.4223747)",,,,
"[312961328, 312961329, 379874837]",2,Via Venti Settembre,secondary,50,False,False,324.76500000000004,"LINESTRING (11.0929492 45.42283, 11.0932273 45.4229143, 11.0933519 45.4229504, 11.0936609 45.4230625, 11.0938422 45.423111, 11.0941012 45.423161, 11.0943603 45.4231762, 11.0945024 45.42318, 11.0946752 45.4231782, 11.0949325 45.4231353, 11.0950062 45.4231209, 11.0956052 45.4230013, 11.0969378 45.4227654)",,yes,,
30954762,,Via Vittorio Veneto,residential,,False,False,33.101,"LINESTRING (11.0988315 45.4250901, 11.0992167 45.4249655)",,,,
472650193,,Via Pasubio,tertiary,50,False,False,120.82900000000001,"LINESTRING (11.0988315 45.4250901, 11.099137 45.4255951, 11.099479 45.4260766)",SP37,,,
472650193,,Via Pasubio,tertiary,50,False,True,162.868,"LINESTRING (11.0988315 45.4250901, 11.0981705 45.4241086, 11.0980994 45.4240127, 11.0979226 45.4237718)",SP37,,,
30954762,,Via Vittorio Veneto,residential,,False,False,7.559,"LINESTRING (11.0999936 45.424733, 11.1000887 45.4247201)",,,,
30954762,,Via Vittorio Veneto,residential,,False,True,65.912,"LINESTRING (11.0999936 45.424733, 11.0992167 45.4249655)",,,,
175252213,,Via Isonzo,residential,,False,False,59.753,"LINESTRING (11.0999936 45.424733, 11.1002889 45.4252288)",,,,
"[44092864, 204704906, 34872712]",2,Viale del Lavoro,tertiary,,False,True,661.62,"LINESTRING (11.1032105 45.4212714, 11.101956 45.4208482, 11.1007564 45.420417, 11.0994689 45.4199745, 11.0984738 45.4196394, 11.0983182 45.4195735, 11.0980607 45.4194474, 11.0978649 45.4192911, 11.0977764 45.4191989, 11.0965628 45.4178694)",,yes,,
24034794,2,Viale dell'Industria,unclassified,,False,False,476.91599999999994,"LINESTRING (11.0909357 45.4196035, 11.0913498 45.4195415, 11.0916573 45.4195059, 11.0929148 45.4189276, 11.0929592 45.4189072, 11.0933186 45.4188035, 11.0936237 45.4187527, 11.0939314 45.418745, 11.0941501 45.4187207, 11.0945234 45.4185749, 11.0964135 45.4178407)",,,,
"[28653880, 184598378]",,"['Via Disciplina', 'Via Fenil Novo']",unclassified,,False,False,42.393,"LINESTRING (11.0909357 45.4196035, 11.0909357 45.4196405, 11.0908391 45.4198415, 11.0907816 45.4199673)",,,,
