osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,tunnel
108946254,True,Corso Umberto Primo,tertiary,False,50.802,"LINESTRING (14.3916083 37.6386447, 14.3913047 37.6382562)",,,
1135130158,True,Via Noto,residential,False,49.554,"LINESTRING (14.3916083 37.6386447, 14.3914102 37.6387471, 14.3911411 37.6388931)",,,
108946254,True,Corso Umberto Primo,tertiary,False,40.448,"LINESTRING (14.3892933 37.6357648, 14.3890638 37.6354497)",,,
552090719,False,Via Nicoletti,residential,False,21.693,"LINESTRING (14.3892933 37.6357648, 14.3890811 37.6358639)",,,
108946254,True,Corso Umberto Primo,tertiary,False,51.6,"LINESTRING (14.390992 37.6378712, 14.3906671 37.637485)",,,
108946254,True,Corso Umberto Primo,tertiary,False,82.154,"LINESTRING (14.3980015 37.642031, 14.3972134 37.6416355)",,,
108946304,True,Via Campo Sportivo,residential,False,49.524,"LINESTRING (14.3980015 37.642031, 14.3977301 37.6424211)",,,
108946253,True,Via Cipolla,residential,False,39.386,"LINESTRING (14.3919732 37.6390784, 14.3922034 37.6387747)",,,
108946254,True,Corso Umberto Primo,tertiary,False,57.949,"LINESTRING (14.3919732 37.6390784, 14.3916083 37.6386447)",,,
108946245,True,Via Felice Cavallotti,residential,False,24.669,"LINESTRING (14.3919732 37.6390784, 14.3918332 37.6392328, 14.3918183 37.6392623)",,,
108946254,True,Corso Umberto Primo,tertiary,False,45.908,"LINESTRING (14.3965103 37.6412906, 14.3960632 37.6410782)",,,
1134833186,False,Via Mazza,residential,False,23.459,"LINESTRING (14.3965103 37.6412906, 14.3963657 37.6414678)",,,
108946254,True,Corso Umberto Primo,tertiary,False,76.56700000000001,"LINESTRING (14.390093 37.6367778, 14.3899997 37.6366604, 14.3896291 37.6361954)",,,
"[481683593, 1154336441]",False,Via Vincenzo Bellini,residential,False,35.78,"LINESTRING (14.390093 37.6367778, 14.390278 37.6366795, 14.3902941 37.63667, 14.3904302 37.6365983)",,,
108946267,True,,residential,False,24.517,"LINESTRING (14.3915454 37.6375655, 14.391317 37.6376916)",,,
108946289,True,Via Francesco Crispi,tertiary,False,52.734,"LINESTRING (14.3915454 37.6375655, 14.3918757 37.6379611)",,,
