osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,maxspeed,bridge,tunnel
24031974,Via Corradini,residential,False,False,186.833,"LINESTRING (11.4828802 45.7038983, 11.4829663 45.7038793, 11.483432 45.703625, 11.4835214 45.7035763, 11.4838385 45.7033748, 11.4841072 45.7031764, 11.4844561 45.7029371, 11.4845544 45.7028786, 11.4845908 45.7028661, 11.4847189 45.7028422)",,,,,
1243835958,Via Rasa,residential,True,False,27.372,"LINESTRING (11.4828802 45.7038983, 11.4827935 45.7038319, 11.4826427 45.7037164)",,,,,
23817955,Via Zanella,residential,True,False,85.686,"LINESTRING (11.481532 45.7042219, 11.4816507 45.7042825, 11.4818182 45.7042902, 11.4821254 45.7042271, 11.4825305 45.704063)",,,,,
23817955,Via Zanella,residential,True,False,141.793,"LINESTRING (11.4800388 45.704954, 11.4805069 45.7046949, 11.4808466 45.7045365, 11.481532 45.7042219)",,,,,
54873953,Corso Giuseppe Garibaldi,residential,False,False,58.58,"LINESTRING (11.4800388 45.704954, 11.4797613 45.7046584, 11.4796187 45.7045165)",,,,,
"[54873953, 64475697]","['Corso Giuseppe Garibaldi', 'Via Trento']",residential,False,True,134.119,"LINESTRING (11.4800388 45.704954, 11.4800672 45.7049933, 11.4802287 45.705217, 11.4803052 45.7054888, 11.4802368 45.7056711, 11.480221 45.7057132, 11.480313 45.7057763, 11.4805605 45.705946, 11.4806324 45.7059953)",,,,,
54873953,Corso Giuseppe Garibaldi,residential,False,True,14.876,"LINESTRING (11.4792368 45.7039686, 11.4793151 45.7040907)",,,,,
"[23842955, 23842956]",Corso Giuseppe Garibaldi,residential,False,False,60.637,"LINESTRING (11.4792368 45.7039686, 11.4792129 45.7039346, 11.4790737 45.703737, 11.478961 45.7035173, 11.478935 45.7034666)",,,,,
76475124,Piazza Pietro Scalcerle,residential,True,False,65.14999999999999,"LINESTRING (11.4792368 45.7039686, 11.4793265 45.7039335, 11.4793525 45.7039244, 11.4796145 45.7038335, 11.4799182 45.7037121, 11.4799816 45.7037035)",,,,,
"[23842954, 1240814373, 1240814374]",Via Munari,residential,False,"[False, True]",143.88500000000002,"LINESTRING (11.4768163 45.70445, 11.4765383 45.7046903, 11.4765243 45.7047024, 11.4763547 45.7048649, 11.4761407 45.7051378, 11.4759883 45.7053681, 11.4759632 45.7054321, 11.4759449 45.70547, 11.4759224 45.7055172, 11.4759192 45.7055237, 11.4759085 45.7055348, 11.475881 45.7055541)",,,,,
