osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction,tunnel
"[198817889, 181802301]",SP81a,Via Calcarelli,"['secondary', 'tertiary']",False,True,18.738,"LINESTRING (12.9120462 41.7406419, 12.9120687 41.7406089, 12.9120871 41.740578, 12.9120993 41.7405518, 12.9121074 41.7405277, 12.9121187 41.7404834)",,,,
198817887,SP81a,Via Calcarelli,secondary,False,False,135.178,"LINESTRING (12.9120462 41.7406419, 12.9119417 41.7406404, 12.9116832 41.7406334, 12.9116082 41.7406323, 12.9114929 41.7406307, 12.9114527 41.7406312, 12.9113998 41.740633, 12.9113442 41.7406357, 12.9112959 41.7406381, 12.9112484 41.7406421, 12.9111931 41.740648, 12.9111404 41.740655, 12.911088 41.7406639, 12.9110383 41.7406738, 12.9110115 41.7406797, 12.9106515 41.7407674, 12.910599 41.7407809, 12.9105282 41.7408, 12.9104548 41.740821)",2,70,,
"[182177369, 198817899]",,Viale Alessandro Fleming,unclassified,False,True,44.027,"LINESTRING (12.9120462 41.7406419, 12.9120602 41.7408856, 12.9120604 41.7409063, 12.9120633 41.7410376)",,,,
182177368,SP600,Viale Alessandro Fleming,secondary,False,False,117.85799999999998,"LINESTRING (12.9085445 41.7440802, 12.908596 41.7440753, 12.9086517 41.7440713, 12.9087064 41.7440689, 12.9089768 41.7440613, 12.9090592 41.7440578, 12.9091394 41.7440535, 12.9091957 41.7440494, 12.9092498 41.7440445, 12.9093192 41.7440369, 12.9093723 41.7440298, 12.909433 41.7440206, 12.9094893 41.7440106, 12.909548 41.7439988, 12.9096024 41.7439862, 12.909655 41.7439726, 12.909706 41.743957, 12.9097491 41.7439417, 12.9098123 41.7439173, 12.9098649 41.7438951, 12.9098907 41.7438828, 12.9099164 41.74387)",2,70,,
182180971,,Via Pantanello,residential,False,False,219.259,"LINESTRING (12.9085445 41.7440802, 12.9080206 41.7439278, 12.9076573 41.7438296, 12.9076365 41.743821, 12.907619 41.7438084, 12.9076063 41.7437882, 12.9076019 41.7437638, 12.907605 41.7437339, 12.9076111 41.7437084, 12.9077011 41.7435024, 12.9077771 41.7433075, 12.9077981 41.7432526, 12.9078162 41.7431942, 12.9078338 41.7431333, 12.9078523 41.7430738, 12.9078726 41.7430084, 12.9079253 41.7428483, 12.9079314 41.7428283, 12.907936 41.7428116, 12.9079399 41.742792, 12.9079423 41.7427757, 12.9079471 41.7427605, 12.9079534 41.7427461, 12.9079613 41.7427317, 12.9079708 41.7427181, 12.9080456 41.7426378)",,,,
230046344,SP600,Strada Statale 600 Ariana,secondary,False,True,131.87699999999998,"LINESTRING (12.9085445 41.7440802, 12.9084722 41.7440895, 12.9084041 41.7440997, 12.9083654 41.7441065, 12.9083183 41.7441168, 12.90828 41.7441265, 12.9082417 41.7441372, 12.908204 41.744148, 12.9081632 41.7441608, 12.908123 41.7441736, 12.9080852 41.7441868, 12.908032 41.7442073, 12.9079251 41.7442527, 12.9078639 41.7442818, 12.9078027 41.7443128, 12.9077372 41.7443487, 12.9072585 41.7446212, 12.9071844 41.7446639)",,70,,
182183541,,Via Umbria,unclassified,False,False,37.395,"LINESTRING (12.9099164 41.74387, 12.9097607 41.7441856)",,,,
182177368,SP600,Viale Alessandro Fleming,secondary,False,False,56.922,"LINESTRING (12.9099164 41.74387, 12.9099449 41.743854, 12.9099734 41.7438374, 12.9100293 41.743802, 12.9100825 41.7437641, 12.9101272 41.7437295, 12.9101755 41.7436904, 12.9102624 41.7436119, 12.9103225 41.7435539, 12.9103805 41.7434959)",2,70,,
182177368,SP600,Viale Alessandro Fleming,secondary,False,True,117.85800000000002,"LINESTRING (12.9099164 41.74387, 12.9098907 41.7438828, 12.9098649 41.7438951, 12.9098123 41.7439173, 12.9097491 41.7439417, 12.909706 41.743957, 12.909655 41.7439726, 12.9096024 41.7439862, 12.909548 41.7439988, 12.9094893 41.7440106, 12.909433 41.7440206, 12.9093723 41.7440298, 12.9093192 41.7440369, 12.9092498 41.7440445, 12.9091957 41.7440494, 12.9091394 41.7440535, 12.9090592 41.7440578, 12.9089768 41.7440613, 12.9087064 41.7440689, 12.9086517 41.7440713, 12.908596 41.7440753, 12.9085445 41.7440802)",2,70,,
"[182183537, 182183540]",,"['Via Toscana', 'Via Abruzzo']",unclassified,False,False,114.76700000000001,"LINESTRING (12.9099164 41.74387, 12.9104299 41.7444857, 12.9104369 41.7445016, 12.9104392 41.7445236, 12.9104356 41.7445402, 12.9104251 41.7445544, 12.9104116 41.7445665, 12.9103939 41.7445776, 12.9101631 41.7446834)",,,,
