osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,access,junction
245509572,Viale dell'Agricoltura,residential,False,False,229.372,"LINESTRING (12.9538807 42.3856839, 12.9535615 42.3848231, 12.9534384 42.3844396, 12.9539807 42.3837748)",,,,
979800654,Viale degli Abruzzi,tertiary,False,True,76.00299999999999,"LINESTRING (12.9538807 42.3856839, 12.9538115 42.3857805, 12.9537576 42.3859169, 12.9537768 42.386076, 12.9538017 42.3861967, 12.9538798 42.3863355)",SP12,,,
245076760,Viale dei Tigli,residential,True,False,108.531,"LINESTRING (12.9540825 42.38798, 12.954152 42.3878808, 12.9543294 42.3878032, 12.9543177 42.3877067, 12.9541543 42.3876118, 12.9539768 42.3874807, 12.953776 42.3875049, 12.9536056 42.3874997)",,,,
684465227,Viale degli Abruzzi,tertiary,False,True,125.90299999999999,"LINESTRING (12.9540825 42.38798, 12.953664 42.3880909, 12.9526284 42.3883382)",SP12,,,
81271131,Via Abati,residential,True,False,32.376,"LINESTRING (12.95174 42.3875083, 12.9515402 42.3877593)",,,,
24768634,Via Giacomo Matteotti,residential,False,False,56.899,"LINESTRING (12.95174 42.3875083, 12.95194 42.3876617, 12.9521028 42.3879047, 12.9521213 42.3879287)",,,,
24768634,Via Giacomo Matteotti,residential,False,True,95.68700000000001,"LINESTRING (12.95174 42.3875083, 12.9515758 42.3874009, 12.9507784 42.3870253)",,,,
24768634,Via Giacomo Matteotti,residential,False,True,87.475,"LINESTRING (12.9507784 42.3870253, 12.949881 42.3866016)",,,,
24768634,Via Giacomo Matteotti,residential,False,False,95.68700000000001,"LINESTRING (12.9507784 42.3870253, 12.9515758 42.3874009, 12.95174 42.3875083)",,,,
79725044,Via Cotilia,residential,True,False,88.535,"LINESTRING (12.9488897 42.3861415, 12.9498114 42.3865544)",,,,
"[79725626, 79725627, 79725412]","['Piazza della Rete', 'Via Francesco Senese', 'Piazza Guglielmo Pepe']",residential,False,"[False, True]",152.314,"LINESTRING (12.9488897 42.3861415, 12.9489377 42.3860761, 12.9490879 42.3858714, 12.9499765 42.3863099, 12.9498114 42.3865544)",,,,
524870657,Via Nazionale,tertiary,False,False,87.706,"LINESTRING (12.9486629 42.3881265, 12.9495692 42.3885437)",SP12,,,
524870657,Via Nazionale,tertiary,False,True,96.276,"LINESTRING (12.9486629 42.3881265, 12.9476669 42.3876699)",SP12,,,
78352975,Via Vittorio Veneto,residential,True,False,40.845,"LINESTRING (12.9476669 42.3876699, 12.94792 42.3873537)",,,,
524870657,Via Nazionale,tertiary,False,False,96.276,"LINESTRING (12.9476669 42.3876699, 12.9486629 42.3881265)",SP12,,,
524876049,Via Nazionale,tertiary,False,True,88.33,"LINESTRING (12.9476669 42.3876699, 12.9467575 42.3872458)",SP12,,,
78354156,Corso Mazzini,residential,True,False,13.321,"LINESTRING (12.9456303 42.3864475, 12.9457027 42.3863403)",,,,
388756718,Via Nazionale,tertiary,False,False,59.077999999999996,"LINESTRING (12.9456303 42.3864475, 12.9456654 42.3864375, 12.9456955 42.3864315, 12.9457298 42.3864314, 12.9457771 42.3864441, 12.9458244 42.3864949, 12.9458459 42.3865648, 12.9458416 42.3866061, 12.9458373 42.3866823, 12.9458373 42.3867522, 12.9458545 42.3868158, 12.9458703 42.3868458)",SP12,,,
