osmid,oneway,name,highway,reversed,length,geometry,ref,tunnel,lanes,junction,width
286377608,True,Via 24 Maggio,residential,False,59.645,"LINESTRING (17.4479007 40.3934283, 17.4471965 40.3934193)",,,,,
1073316267,True,Via Antonio Gramsci,tertiary,False,57.878,"LINESTRING (17.4479007 40.3934283, 17.4479387 40.393948)",,,,,
286377599,True,Via Antonio Gramsci,tertiary,False,57.872,"LINESTRING (17.4479007 40.3934283, 17.4478792 40.3929853, 17.4478755 40.3929082)",,,,,
27340511,False,Via Extra Murale,unclassified,False,152.206,"LINESTRING (17.451167 40.3882625, 17.4529617 40.3883336)",,,,,
286399579,False,Via Regina Margherita,residential,True,35.872,"LINESTRING (17.451167 40.3882625, 17.4511882 40.3885847)",,,,,
27340511,False,Via Extra Murale,unclassified,True,205.29200000000003,"LINESTRING (17.451167 40.3882625, 17.4507942 40.3882605, 17.4499383 40.3882841, 17.4487519 40.3881773)",,,,,
27340511,False,Via Extra Murale,unclassified,True,10.382,"LINESTRING (17.453084 40.3883399, 17.4529617 40.3883336)",,,,,
27340635,False,Via Nazario Sauro,unclassified,False,56.762,"LINESTRING (17.453084 40.3883399, 17.4530472 40.3888496)",,,,,
166122307,True,Via Roma,secondary,False,33.174,"LINESTRING (17.4478578 40.3900944, 17.447467 40.3900742)",SP118,,,,
286399606,True,Corso Vittorio Emanuele,tertiary,False,97.596,"LINESTRING (17.4478578 40.3900944, 17.4479007 40.3895976, 17.447927 40.3892183)",,,,,
166122307,True,Via Roma,secondary,False,128.764,"LINESTRING (17.4510627 40.3902444, 17.4495451 40.3901743)",SP118,,,,
219793832,True,Via Regina Margherita,residential,False,52.323,"LINESTRING (17.4510627 40.3902444, 17.4510277 40.3907142)",,,,,
286399627,False,Via Boggio,unclassified,True,153.877,"LINESTRING (17.4515072 40.3938646, 17.4496919 40.3939246)",,,,,
286555931,False,Via Perlasca,unclassified,False,95.448,"LINESTRING (17.4515072 40.3938646, 17.4516949 40.394711)",,,,,
286555932,False,Via Piave,unclassified,False,56.288,"LINESTRING (17.4515072 40.3938646, 17.4519742 40.3942248)",,,,,
286555934,True,Via Giovanni 23°,unclassified,False,63.502,"LINESTRING (17.4515072 40.3938646, 17.4521479 40.3935679)",,,,,
286555932,False,Via Piave,unclassified,True,16.131,"LINESTRING (17.4526759 40.3947856, 17.4525528 40.3946749)",,,,,
28655855,False,,tertiary,True,69.02799999999999,"LINESTRING (17.4526759 40.3947856, 17.4527063 40.3948833, 17.4527895 40.3953998)",SP116,,,,
131085428,False,,unclassified,True,51.907,"LINESTRING (17.4526759 40.3947856, 17.4528318 40.3948174, 17.4532212 40.3949915)",,,,,
286555930,False,Via Piave,unclassified,False,51.004,"LINESTRING (17.4527895 40.3953998, 17.4521878 40.3954199)",,,,,
28655855,False,,tertiary,False,69.02799999999999,"LINESTRING (17.4527895 40.3953998, 17.4527063 40.3948833, 17.4526759 40.3947856)",SP116,,,,
27340635,False,Via Nazario Sauro,unclassified,True,50.376,"LINESTRING (17.4526986 40.3932911, 17.4527444 40.3928394)",,,,,
286399611,False,Via Giovanni 23°,unclassified,False,55.878,"LINESTRING (17.4526986 40.3932911, 17.4521479 40.3935679)",,,,,
27340635,False,Via Nazario Sauro,unclassified,False,51.828,"LINESTRING (17.4529488 40.3903332, 17.4528936 40.3907974)",,,,,
27340635,False,Via Nazario Sauro,unclassified,True,36.537,"LINESTRING (17.4529488 40.3903332, 17.4529697 40.390005)",,,,,
