osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,junction,access
330100564,2,SP14a,Via della Vittoria,secondary,False,False,23.299,"LINESTRING (12.3812189 42.1376614, 12.3809504 42.1377267)",,
39504926,2,SP14a,Via San Sebastiano,secondary,True,False,43.425,"LINESTRING (12.3812189 42.1376614, 12.3811714 42.1379544, 12.3811493 42.1380484)",,
1113704280,2,SP14a,Via San Sebastiano,secondary,False,True,111.827,"LINESTRING (12.3812189 42.1376614, 12.3812757 42.1375745, 12.3813019 42.1374767, 12.3813998 42.137095, 12.3814617 42.136896, 12.3815386 42.136687)",,
330100561,2,SP13a,Via Roma,secondary,True,False,12.817,"LINESTRING (12.379998 42.1379835, 12.3800733 42.1380013, 12.3801491 42.1380084)",,
657716990,2,SP13a,Via Roma,tertiary,False,True,111.21100000000001,"LINESTRING (12.379998 42.1379835, 12.3797352 42.1377242, 12.3794113 42.1374398, 12.3792746 42.1373172, 12.3791526 42.1372046)",,
1150415863,,,,secondary,True,False,5.249,"LINESTRING (12.3803576 42.1388242, 12.3803635 42.1388519, 12.3803592 42.1388708)",,
1108061564,,,,secondary,True,False,19.583,"LINESTRING (12.3801301 42.1388677, 12.3801294 42.1388383, 12.3801418 42.1388105, 12.380166 42.1387873, 12.3801992 42.1387713, 12.3802377 42.1387644, 12.3802771 42.1387673)",,
"[325880516, 325464166]",,,Via Giosuè Carducci,residential,False,True,249.281,"LINESTRING (12.3800658 42.1390713, 12.3798212 42.1390967, 12.3793145 42.1392298, 12.3789669 42.1393046, 12.3786784 42.1393425, 12.3787614 42.1395553, 12.3788305 42.1395989, 12.379114 42.1396271, 12.3792177 42.1396758, 12.379334 42.1402519)",,
1168292792,2,SP10a,Via del Pavone,secondary,False,False,43.761,"LINESTRING (12.3800658 42.1390713, 12.3800927 42.13928, 12.3801144 42.1394632)",,
1168292792,2,SP10a,Via del Pavone,secondary,False,True,5.744,"LINESTRING (12.3800658 42.1390713, 12.380072 42.1390537, 12.3800833 42.1390213)",,
170170504,,,Via Guglielmo Marconi,residential,False,False,122.717,"LINESTRING (12.3801144 42.1394632, 12.3801771 42.1395239, 12.3803455 42.1396985, 12.3804734 42.1399216, 12.3806203 42.1402523, 12.3807067 42.1404061, 12.3807579 42.1404463)",,
1168292792,2,SP10a,Via del Pavone,secondary,False,False,76.23,"LINESTRING (12.3801144 42.1394632, 12.3801333 42.1397936, 12.3801305 42.1400708, 12.3801269 42.1401484)",,
1168292792,2,SP10a,Via del Pavone,secondary,False,True,43.761,"LINESTRING (12.3801144 42.1394632, 12.3800927 42.13928, 12.3800658 42.1390713)",,
1168292792,2,SP10a,Via del Pavone,secondary,False,True,5.273,"LINESTRING (12.3798839 42.1405633, 12.3799317 42.1405318)",,
1168292792,2,SP10a,Via del Pavone,secondary,False,False,140.61399999999998,"LINESTRING (12.3798839 42.1405633, 12.379783 42.1405984, 12.3795315 42.1406481, 12.3792298 42.140671, 12.3782046 42.1407479)",,
1168292792,2,SP10a,Via del Pavone,secondary,False,False,16.753,"LINESTRING (12.3782046 42.1407479, 12.3780028 42.1407655)",,
170169548,,,Strada Comunale della Madonnella,residential,False,True,41.535000000000004,"LINESTRING (12.3782046 42.1407479, 12.3781753 42.1405796, 12.3781484 42.1405053, 12.3781027 42.140383)",,
1168292792,2,SP10a,Via del Pavone,secondary,False,True,140.61399999999998,"LINESTRING (12.3782046 42.1407479, 12.3792298 42.140671, 12.3795315 42.1406481, 12.379783 42.1405984, 12.3798839 42.1405633)",,
1171509486,,,Via Ugo Foscolo,residential,True,False,108.25699999999999,"LINESTRING (12.3782046 42.1407479, 12.3782388 42.1407971, 12.3782395 42.140847, 12.3781546 42.1409732, 12.3780693 42.1411012, 12.3780568 42.141147, 12.3780547 42.1412086, 12.3780705 42.1413802, 12.3780951 42.1414884, 12.3781342 42.1415651, 12.3782319 42.1416511)",,
1171485837,,,Viale Ungheria,residential,True,False,20.387999999999998,"LINESTRING (12.3799738 42.1407337, 12.3799573 42.1406981, 12.3799186 42.1406142, 12.3798839 42.1405633)",,
39504858,,,Via Bonaventura Lensen,residential,True,False,127.19800000000001,"LINESTRING (12.378743 42.1414233, 12.3790921 42.1412269, 12.3793794 42.1410652, 12.3798995 42.1407725, 12.3799738 42.1407337)",,
39504853,,,Via Giovanni Pascoli,residential,True,False,102.89599999999999,"LINESTRING (12.3794663 42.1421774, 12.3787883 42.1414705, 12.378743 42.1414233)",,
