osmid,oneway,name,highway,reversed,length,maxspeed,geometry,lanes,ref,access,junction
174074351,False,Via Dottor Giacomo Leo,unclassified,False,59.798,,"LINESTRING (17.7006317 40.6598538, 17.7013245 40.6599678)",,,,
276917911,False,Via Mazzini,unclassified,True,8.607,,"LINESTRING (17.7006317 40.6598538, 17.7006871 40.6597888)",,,,
991551439,False,,unclassified,False,29.993,,"LINESTRING (17.7006317 40.6598538, 17.7004269 40.6600743)",,,,
275953301,False,Via Mesagne,tertiary,True,21.824,40,"LINESTRING (17.7076782 40.6563712, 17.7078404 40.6562183)",,,,
377972088,True,Via Carparelli Passante Piazza Giovanni Paolo II,residential,False,37.618,30,"LINESTRING (17.7076782 40.6563712, 17.7072796 40.6562195)",,,,
275953301,False,Via Mesagne,tertiary,False,40.462,40,"LINESTRING (17.7076782 40.6563712, 17.7074663 40.6566383, 17.7074309 40.656683)",,,,
991551439,False,,unclassified,True,29.993,,"LINESTRING (17.7004269 40.6600743, 17.7006317 40.6598538)",,,,
71831075,False,Via don Lorenzo Milani,unclassified,False,40.205000000000005,,"LINESTRING (17.7004269 40.6600743, 17.7001586 40.6602224, 17.7000939 40.6602458, 17.7000208 40.6602478)",2,,,
"[405664211, 263498084]",False,"[""Via Salvo D'Acquisto"", 'Via Don Minzoni']",residential,False,303.06,50,"LINESTRING (17.7004269 40.6600743, 17.7003586 40.6601864, 17.6998115 40.6608517, 17.7002621 40.661104, 17.7013245 40.6599678)",,,,
"[93644171, 1107651639]",False,Via Francavilla,tertiary,"[False, True]",115.07,50,"LINESTRING (17.7004517 40.6519825, 17.7004868 40.6520337, 17.7006961 40.6523394, 17.7011135 40.6528871)",2,,,
93644219,True,Via Torino,residential,False,41.109,,"LINESTRING (17.7021313 40.6537688, 17.7018728 40.6540822)",,,,
1107651640,False,Via Sant'Antonio,tertiary,True,34.071,,"LINESTRING (17.7021313 40.6537688, 17.701813 40.6535802)",2,,,
1158758029,False,Via Sant'Antonio,tertiary,False,7.719,,"LINESTRING (17.7021313 40.6537688, 17.7021767 40.6537889, 17.7022107 40.6538033)",2,,,
93644089,True,Via Marchese di Bugnano,residential,False,185.712,,"LINESTRING (17.7009156 40.6595212, 17.7031145 40.6596044)",1,,,
276917910,True,Via Mazzini,residential,False,6.761,30,"LINESTRING (17.7009156 40.6595212, 17.7009544 40.659468)",,,,
276917911,False,Via Mazzini,unclassified,False,35.453,,"LINESTRING (17.7009156 40.6595212, 17.7006871 40.6597888)",,,,
275925142,True,Via Roma,tertiary_link,False,74.732,40,"LINESTRING (17.7064129 40.6583509, 17.7067845 40.6577408)",1,,,
77815163,False,Via Brindisi,secondary,False,124.572,40,"LINESTRING (17.7064129 40.6583509, 17.7078275 40.6582644, 17.7078849 40.6582609)",2,SP96,,
93644235,True,Via Annunziata,tertiary,False,28.947,,"LINESTRING (17.7064129 40.6583509, 17.7063384 40.6583236, 17.7060781 40.6583173)",1,,,
945820770,False,Via Carovigno,secondary,False,36.661,50,"LINESTRING (17.7064129 40.6583509, 17.7063572 40.6584043, 17.7061433 40.6586095)",2,SP95,,
71831075,False,Via don Lorenzo Milani,unclassified,True,70.425,,"LINESTRING (17.6992113 40.6600994, 17.6996022 40.660148, 17.6998101 40.6601969, 17.7000208 40.6602478)",2,,,
174074377,False,Viale angeli del S.A.R.,unclassified,False,104.409,,"LINESTRING (17.6992113 40.6600994, 17.6992366 40.6599627, 17.69928 40.6597283, 17.6993192 40.6595537, 17.699368 40.6594264, 17.6994152 40.6593368, 17.69953 40.6592049)",2,,,
377976172,True,Via Boemondo Normanno,tertiary_link,False,25.802,40,"LINESTRING (17.7083746 40.6571148, 17.7086205 40.6572528)",,,,
174074306,True,Via Vittorio Emanuele III,residential,False,57.344,50,"LINESTRING (17.702682 40.6573277, 17.7020553 40.6571279)",,,,
93644165,False,Via Generale Vittorio Dabormida,residential,False,37.11,50,"LINESTRING (17.7001008 40.6535902, 17.6997547 40.6533842)",,,,
93644165,False,Via Generale Vittorio Dabormida,residential,True,38.852,50,"LINESTRING (17.7001008 40.6535902, 17.7004559 40.6538127)",,,,
93644010,True,Via Gen. Amilcare Ponchielli,residential,False,116.402,30,"LINESTRING (17.7001008 40.6535902, 17.7003903 40.6533314, 17.7004523 40.653276, 17.7006139 40.653181, 17.7006795 40.6531423, 17.7007418 40.6531057, 17.7008042 40.653069, 17.7008768 40.6530263, 17.7009363 40.6529913, 17.7011135 40.6528871)",,,,
93644311,True,Via Tenente Francesco Filomeno,residential,False,122.547,50,"LINESTRING (17.7054026 40.6593416, 17.7039519 40.6592824)",1,,,
174284941,False,Via Carovigno,secondary,False,48.069,50,"LINESTRING (17.7054026 40.6593416, 17.705052 40.6596824)",2,SP95,,
174284941,False,Via Carovigno,secondary,True,6.003,50,"LINESTRING (17.7054026 40.6593416, 17.7054425 40.6592969)",2,SP95,,
276126073,True,Via San Donato,tertiary,False,11.832,,"LINESTRING (17.7048971 40.6542079, 17.7050214 40.6541586)",,,,
977579247,True,Via 25 Luglio,tertiary,False,55.122,,"LINESTRING (17.7092806 40.6548544, 17.7095151 40.6553171)",,,,
263497547,False,Via Nicoló Paganini,residential,True,48.718,50,"LINESTRING (17.7094495 40.6595261, 17.7088736 40.659493)",,,,
93644293,True,Via Alessandro Volta,residential,False,112.44,30,"LINESTRING (17.7094495 40.6595261, 17.7093959 40.6601105, 17.7093508 40.6605345)",,,,
