osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,tunnel
27234157,Via Guglielmo Marconi,unclassified,50,False,False,181.093,"LINESTRING (9.113604 45.143068, 9.1136052 45.1430934, 9.1147413 45.1437592, 9.1148411 45.1438418, 9.114909 45.1439174, 9.1149481 45.1439886, 9.1150181 45.1442713)",,
241033304,Via Giuseppe Mazzini,tertiary,50,False,False,98.439,"LINESTRING (9.113604 45.143068, 9.1135462 45.1430668, 9.1134739 45.1430405, 9.1126009 45.1425502)",SP193BD,
"[332972080, 241033169, 332972079]",Via Ventisei Aprile,tertiary,50,False,True,182.961,"LINESTRING (9.113604 45.143068, 9.1144019 45.1429674, 9.1147739 45.1429205, 9.1149141 45.1429025, 9.1150739 45.142882, 9.1151509 45.1428718, 9.1158988 45.1427724)",SP193BD,yes
23012057,Via Giuseppe Verdi,residential,,False,True,33.18,"LINESTRING (9.1162576 45.1436264, 9.1166753 45.1435791)",,
23012058,Via Giuseppe Verdi,residential,,False,False,109.03800000000001,"LINESTRING (9.1158988 45.1427724, 9.1159184 45.1428219, 9.1159554 45.1428923, 9.1166753 45.1435791)",,
"[332972080, 241033169, 332972079]",Via Ventisei Aprile,tertiary,50,False,False,182.961,"LINESTRING (9.1158988 45.1427724, 9.1151509 45.1428718, 9.1150739 45.142882, 9.1149141 45.1429025, 9.1147739 45.1429205, 9.1144019 45.1429674, 9.113604 45.143068)",SP193BD,yes
23012057,Via Giuseppe Verdi,residential,,False,False,33.18,"LINESTRING (9.1166753 45.1435791, 9.1162576 45.1436264)",,
23012058,Via Giuseppe Verdi,residential,,False,True,109.03800000000001,"LINESTRING (9.1166753 45.1435791, 9.1159554 45.1428923, 9.1159184 45.1428219, 9.1158988 45.1427724)",,
218780997,Via Giuseppe Garibaldi,tertiary,50,False,False,35.897,"LINESTRING (9.1060371 45.1410471, 9.1055802 45.1410283)",SP193BD,
218780997,Via Giuseppe Garibaldi,tertiary,50,False,True,183.76,"LINESTRING (9.1060371 45.1410471, 9.1083742 45.1411633)",SP193BD,
218780995,Via Morini,residential,50,False,True,69.707,"LINESTRING (9.1060371 45.1410471, 9.1060193 45.1406936, 9.1060056 45.1404206)",,
27144018,Via Luciano Manara,residential,,True,False,67.481,"LINESTRING (9.1068895 45.1372303, 9.1075039 45.1376551)",,
218780995,Via Morini,residential,50,False,False,74.489,"LINESTRING (9.1068895 45.1372303, 9.1063592 45.1376658, 9.1063049 45.1377536)",,
241037482,Via Giacomo Matteotti,residential,50,False,True,73.486,"LINESTRING (9.1094869 45.14, 9.1088336 45.1395263)",,
"[241035825, 241036167]",Via Luciano Manara,residential,50,False,False,138.313,"LINESTRING (9.1094869 45.14, 9.1096937 45.1401764, 9.1098824 45.1404267, 9.1100542 45.1406021, 9.1101042 45.140677, 9.1101387 45.1407593, 9.1101584 45.1408517, 9.1101737 45.1409493, 9.1101748 45.1409769, 9.1101779 45.1410502, 9.1101826 45.1411072)",,
"[239499360, 218780997, 241033301]","['Via Antonio Gramsci', 'Via Giuseppe Garibaldi']",tertiary,50,False,False,142.88299999999998,"LINESTRING (9.1101877 45.1412802, 9.110034 45.1412616, 9.1095253 45.1412247, 9.1091026 45.1412043, 9.1090088 45.1411991, 9.1083742 45.1411633)",SP193BD,building_passage
241035825,,residential,,False,True,19.242,"LINESTRING (9.1101877 45.1412802, 9.1101874 45.1412337, 9.1101826 45.1411072)",,
