osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,junction,bridge,access
42424711,False,2,Via Roma,residential,50,True,70.47,"LINESTRING (11.750661 45.2399942, 11.7505413 45.2398768, 11.7501192 45.2394882)",,,,
"[46763272, 324259808]",True,,Via Tortorini,residential,,False,93.95100000000001,"LINESTRING (11.750661 45.2399942, 11.7507372 45.2399802, 11.7508306 45.2399614, 11.7517472 45.2398283, 11.7518353 45.2398262)",5,,,
145252598,False,,Piazzale della Vittoria,unclassified,,False,48.632,"LINESTRING (11.7501192 45.2394882, 11.7495485 45.2396608)",,,,
42424711,False,2,Via Roma,residential,50,False,70.47,"LINESTRING (11.7501192 45.2394882, 11.7505413 45.2398768, 11.750661 45.2399942)",,,,
"[404967172, 42424711]",False,2,Via Roma,residential,50,True,48.922,"LINESTRING (11.7501192 45.2394882, 11.7499884 45.2393568, 11.7499476 45.23931, 11.7498994 45.2392414, 11.7498687 45.239181, 11.7498274 45.2391023)",,,,
42424816,False,2,Via Luigi Cadorna,secondary,,False,19.089,"LINESTRING (11.7546145 45.2376394, 11.7548454 45.2375843)",,,,
42424816,False,2,Via Luigi Cadorna,secondary,,True,27.649,"LINESTRING (11.7546145 45.2376394, 11.7542836 45.2377262)",,,,
46768549,True,1,Strada Rovigana,tertiary,,False,33.315,"LINESTRING (11.7546145 45.2376394, 11.7545985 45.2375965, 11.7546207 45.2375232, 11.7546418 45.2374564, 11.7546648 45.2373457)",,,,
130424554,False,2,Via delle Grole,secondary,50,False,38.957,"LINESTRING (11.7497415 45.2390991, 11.7497222 45.2391199, 11.7496952 45.2391339, 11.74956 45.2391871, 11.749325 45.2392861)",,,,
982828069,True,1,Piazza Vittoria,secondary,50,False,20.14,"LINESTRING (11.7497415 45.2390991, 11.7497094 45.2390842, 11.7496864 45.2390645, 11.7496727 45.239041, 11.7496692 45.2390157, 11.7496768 45.2389903, 11.7496947 45.2389677, 11.7497214 45.2389499)",,roundabout,,
128522345,False,2,Via delle Grole,secondary,50,False,17.326,"LINESTRING (11.749325 45.2392861, 11.7491364 45.2393676)",,,,
145515027,True,,Via Cavallotti,unclassified,,False,45.191,"LINESTRING (11.749325 45.2392861, 11.7495485 45.2396608)",,,,
130424554,False,2,Via delle Grole,secondary,50,True,38.957,"LINESTRING (11.749325 45.2392861, 11.74956 45.2391871, 11.7496952 45.2391339, 11.7497222 45.2391199, 11.7497415 45.2390991)",,,,
133654100,False,1,Via Santo Stefano,residential,,True,56.489000000000004,"LINESTRING (11.7561805 45.2391139, 11.7560774 45.2391388, 11.7559943 45.2391458, 11.7558578 45.2391527, 11.7556857 45.2391778, 11.7556125 45.2392029, 11.7555064 45.2392614)",,,,
288514068,False,2,Via Guglielmo Marconi,secondary,,False,13.28,"LINESTRING (11.7550733 45.2375305, 11.7552347 45.2374938)",,,,
288514069,False,2,Via Luigi Cadorna,secondary,,True,18.821,"LINESTRING (11.7550733 45.2375305, 11.7548454 45.2375843)",,,,
129243298,False,2,Via Sottomonte,tertiary,,True,17.809,"LINESTRING (11.7466892 45.2448295, 11.7467984 45.24497)",,,,
375574604,False,,Via San Vio,tertiary,30,True,16.871,"LINESTRING (11.7466892 45.2448295, 11.7464805 45.2448673)",,,,
375574606,False,2,Via Sottomonte,tertiary,,False,28.383,"LINESTRING (11.7466892 45.2448295, 11.7466249 45.2447636, 11.7464831 45.2446195)",,,,
93272757,True,1,Via Sottomonte,tertiary,,False,29.683,"LINESTRING (11.7451529 45.2432769, 11.7449602 45.2431154, 11.7449082 45.243073)",,,,
"[375574606, 117626628, 117626630]",False,2,Via Sottomonte,tertiary,,True,182.034,"LINESTRING (11.7451529 45.2432769, 11.7455073 45.2436432, 11.7457914 45.2439343, 11.7459739 45.2441183, 11.7460801 45.244223, 11.7464831 45.2446195)",,,yes,
1148542939,True,,,unclassified,,False,11.315999999999999,"LINESTRING (11.7519483 45.2449053, 11.7519755 45.2448984, 11.7520044 45.2448977, 11.7520322 45.2449033, 11.7520561 45.2449147, 11.752074 45.2449307)",,roundabout,,
46763260,True,,Via 11 Febbraio,unclassified,,False,93.455,"LINESTRING (11.7499691 45.2436749, 11.7500733 45.2436506, 11.7511506 45.2435665)",,,,
