osmid,oneway,name,highway,reversed,length,geometry,junction,bridge,lanes,ref,maxspeed,access,tunnel
1180976717,True,Via Emanuele Vittorio Parodi,tertiary,False,29.009,"LINESTRING (9.3225089 45.9152849, 9.3224269 45.9153892, 9.322329 45.9155138)",,,,,,,
834378102,True,,secondary,False,17.313,"LINESTRING (9.3152546 45.9189528, 9.3152251 45.9189443, 9.3152008 45.9189298, 9.315184 45.9189109, 9.3151764 45.9188893, 9.3151787 45.9188671, 9.3151907 45.9188465, 9.3152112 45.9188294)",roundabout,,,,,,
"[331307984, 144470820, 144470805]",False,"['Via risorgimento', 'Via Risorgimento', 'Piazza della Repubblica']",residential,True,53.13799999999999,"LINESTRING (9.3202411 45.9178525, 9.3200844 45.9179227, 9.3199612 45.9179779, 9.319805 45.9180473, 9.3196688 45.9181165)",,yes,,,,,
287505260,True,Via Dante Alighieri,residential,False,31.833000000000002,"LINESTRING (9.3202411 45.9178525, 9.3202525 45.91789, 9.3202935 45.9179552, 9.3204188 45.9180787, 9.3204356 45.9181015)",,,,,,,
"[923040736, 37912266, 923041236]",False,Via Emanuele Vittorio Parodi,residential,True,69.72699999999999,"LINESTRING (9.3202411 45.9178525, 9.3202831 45.9178434, 9.3205049 45.9177951, 9.3207453 45.9177427, 9.3209878 45.9176899, 9.3210793 45.91767, 9.3211 45.9176629)",,,,,,,
110249729,False,Via Cosimi Bagnagatti,residential,True,53.385,"LINESTRING (9.3160352 45.9184162, 9.3159972 45.9183898, 9.315956 45.9183607, 9.3159338 45.9183188, 9.3158965 45.9179625)",,,,,,,
"[330298769, 330298770, 752142933]",False,Via Statale,secondary,False,219.567,"LINESTRING (9.3160352 45.9184162, 9.3164594 45.9181088, 9.3166496 45.9179943, 9.3167005 45.9179637, 9.3169466 45.9178155, 9.3179961 45.9172493, 9.3181608 45.9171361, 9.3181752 45.9171246)",,,2,SP72,50,,
752142933,False,Via Statale,secondary,True,70.671,"LINESTRING (9.3160352 45.9184162, 9.3155564 45.9187525, 9.3154125 45.9188231, 9.3153692 45.918849)",,,2,SP72,50,,
1103372368,True,Via al Campo Sportivo,residential,False,11.909,"LINESTRING (9.3153303 45.9148033, 9.3153083 45.9148941, 9.315311 45.914909)",,,,,50,,
"[110249721, 110249739, 110249733]",False,Via ai Mulini,"['unclassified', 'residential']",False,43.112,"LINESTRING (9.317397 45.916175, 9.3174185 45.9161598, 9.3175805 45.916049, 9.3176749 45.9159735, 9.3177342 45.9159356, 9.3177678 45.915914, 9.3177901 45.9159007)",,yes,,,,,
"[576400117, 928785997, 286046247]",False,"['Piazza Indipendenza', 'Via ai Mulini']",residential,True,130.091,"LINESTRING (9.317397 45.916175, 9.3172772 45.9163279, 9.3171803 45.9164517, 9.3171515 45.9164927, 9.3169664 45.9167559, 9.3169559 45.9167709, 9.3168534 45.9169192, 9.3164808 45.9171313)",,,,,,,
"[144470794, 144470802, 144470807]",False,"['Via Nazario Sauro', 'Piazza L. Manara']","['unclassified', 'residential']","[False, True]",121.321,"LINESTRING (9.3216713 45.91961, 9.3212383 45.9198012, 9.3210043 45.919873, 9.3207311 45.9199469, 9.320389 45.9200297, 9.3202489 45.9200541)",,yes,2,,50,,
226747746,True,Via San Zenone,residential,False,123.27,"LINESTRING (9.3216713 45.91961, 9.3218205 45.9195278, 9.3217874 45.9194548, 9.3217402 45.9193857, 9.3216431 45.9191575, 9.321633 45.9190713, 9.3217164 45.9187882, 9.321777 45.9185828)",,,,,,,
"[439643806, 110320375]",False,Via Dante Alighieri,"['residential', 'unclassified']",False,317.6899999999999,"LINESTRING (9.3216713 45.91961, 9.3217491 45.9197095, 9.3217958 45.91977, 9.3218345 45.9198336, 9.3218715 45.919921, 9.3219038 45.9200192, 9.3219651 45.9202776, 9.3219915 45.9204322, 9.3220188 45.9205627, 9.3220596 45.9206564, 9.3220701 45.9206801, 9.3221254 45.9208038, 9.322169 45.9208993, 9.3222032 45.9209943, 9.3222632 45.9211759, 9.3223302 45.9213902, 9.322349 45.9214446, 9.3223739 45.9215164, 9.3223754 45.9215207, 9.3223777 45.9215309, 9.3224 45.9216264, 9.3224187 45.9217067, 9.3224584 45.921904, 9.3224563 45.9219995, 9.3224333 45.9221417, 9.3224185 45.9222306, 9.3224098 45.9222602, 9.322394 45.9222965, 9.3223834 45.9223122, 9.3223712 45.922334, 9.3223378 45.9223781)",,,,,,,
