osmid,highway,junction,oneway,reversed,length,geometry,name,lanes,maxspeed,access,tunnel
531930525,unclassified,roundabout,True,False,14.134,"LINESTRING (9.3972434 44.2757568, 9.3972379 44.2757776, 9.3972236 44.2757962, 9.397202 44.2758106, 9.3971751 44.2758194, 9.3971457 44.2758218, 9.3971167 44.2758175)",,,,,
"[24554385, 33979301]",tertiary,,True,False,86.025,"LINESTRING (9.3930114 44.2705272, 9.3931724 44.2706407, 9.3932622 44.2707275, 9.3935082 44.2708511, 9.3935451 44.2708787, 9.3936253 44.2709498, 9.3937011 44.271017, 9.3937361 44.2710852)",Viale Rimembranza,,,,
193294978,tertiary,,False,True,122.559,"LINESTRING (9.3930114 44.2705272, 9.3927588 44.2703053, 9.3922068 44.2697921, 9.3921297 44.2697319, 9.3920404 44.2696737)",Viale Rimembranza,2,,,
24554011,tertiary,,True,False,88.09599999999999,"LINESTRING (9.3937361 44.2710852, 9.3936345 44.2710083, 9.3934692 44.2709321, 9.393344 44.2708838, 9.3931267 44.2707534, 9.3930975 44.2706961, 9.3930114 44.2705272)",Viale Rimembranza,,,,
"[960999544, 24554383]",tertiary,,False,"[False, True]",180.77900000000005,"LINESTRING (9.3937361 44.2710852, 9.3937952 44.271174, 9.3941365 44.2718557, 9.3942072 44.2719969, 9.394245 44.2721146, 9.3942736 44.2722328, 9.3943114 44.272536, 9.3943228 44.2726438)",Viale Rimembranza,2,,,
"[1209479981, 27925645]",tertiary,,False,False,200.55200000000002,"LINESTRING (9.3943228 44.2726438, 9.3944712 44.2726594, 9.3957214 44.2728484, 9.3966387 44.2729809, 9.3967883 44.273011)",Via Venti Settembre,,,,
"[960999544, 24554383]",tertiary,,False,"[False, True]",180.779,"LINESTRING (9.3943228 44.2726438, 9.3943114 44.272536, 9.3942736 44.2722328, 9.394245 44.2721146, 9.3942072 44.2719969, 9.3941365 44.2718557, 9.3937952 44.271174, 9.3937361 44.2710852)",Viale Rimembranza,2,,,
1012864554,tertiary,,False,True,95.73599999999999,"LINESTRING (9.3943228 44.2726438, 9.3943305 44.2727079, 9.3944477 44.2735001)",Via Vittorio Veneto,2,,,
196697895,residential,,True,False,42.293,"LINESTRING (9.3997095 44.2736778, 9.3999161 44.2733274)",Via Traversaro,,30,,
196697896,residential,,False,True,68.263,"LINESTRING (9.3997095 44.2736778, 9.3995205 44.2742766)",Vico Gromolo,,,,
213501269,tertiary,,True,False,118.656,"LINESTRING (9.3997095 44.2736778, 9.3984533 44.2733137, 9.3983259 44.2732815)",Via Nazionale,,30,,
27925688,residential,,True,False,53.494,"LINESTRING (9.3987903 44.2723728, 9.3989363 44.2723032, 9.3992389 44.2722217, 9.3994076 44.2721937)",Piazza della Repubblica,,,,
669555418,residential,,True,False,22.777,"LINESTRING (9.3987903 44.2723728, 9.3986776 44.2723166, 9.3986039 44.2722241)",Piazza della Repubblica,,,,
24554295,unclassified,,False,True,5.532,"LINESTRING (9.3985046 44.2729385, 9.3984799 44.272985)",Via Eraldo Fico,,,,
"[24554417, 669555419]",unclassified,,True,False,66.98,"LINESTRING (9.3985046 44.2729385, 9.3985266 44.2729046, 9.3987794 44.2724166, 9.3987903 44.2723728)","['Via Eraldo Fico Virgola', 'Piazza della Repubblica']",,,,
188389114,unclassified,,False,False,120.474,"LINESTRING (9.3985046 44.2729385, 9.3986044 44.2729718, 9.3998653 44.2733081, 9.3999161 44.2733274)",Via Unità d'Italia,,30,,
27925630,unclassified,,True,False,15.197,"LINESTRING (9.3975469 44.2756157, 9.3975966 44.27563, 9.3976682 44.2757139)",,,,,
531930521,unclassified,,True,False,28.812,"LINESTRING (9.3975469 44.2756157, 9.3974058 44.2756795, 9.3972827 44.2757381, 9.3972434 44.2757568)",,,,psv,
27925530,residential,,False,False,39.493,"LINESTRING (9.3944884 44.2748738, 9.3949453 44.2750121)",,,,,
