osmid,oneway,name,highway,reversed,length,lanes,maxspeed,geometry,ref,junction,access
33173230,True,Corso Giacomo Matteotti,residential,False,35.625,,,"LINESTRING (12.0416728 44.5080363, 12.0416458 44.5077165)",,,
872005993,False,Via Reale,tertiary,False,9.32,2,50,"LINESTRING (12.0416728 44.5080363, 12.041579 44.5080868)",,,
872005993,False,Via Reale,tertiary,True,27.084000000000003,2,50,"LINESTRING (12.0416728 44.5080363, 12.0418049 44.5079511, 12.0419216 44.5078695)",,,
25340880,False,Via Raspona,tertiary,False,68.212,2,50,"LINESTRING (12.0439027 44.5066198, 12.0439674 44.5067165, 12.0441108 44.5069111, 12.0442885 44.507168)",SP15,,
872006000,True,Via Reale,tertiary,False,14.66,1,50,"LINESTRING (12.0439027 44.5066198, 12.0438407 44.5065817, 12.0438028 44.5065691, 12.0437416 44.5065701)",,,
193455548,False,Via G. Stefani,residential,False,100.715,,,"LINESTRING (12.0449594 44.5056021, 12.0458209 44.5062676)",,,
872005991,False,Via Reale,tertiary,False,39.126,2,50,"LINESTRING (12.0449594 44.5056021, 12.0445803 44.5058273)",,,
31857066,False,Via 25a Brigata Garibaldi,residential,False,45.208999999999996,,,"LINESTRING (12.0449594 44.5056021, 12.0449304 44.5055503, 12.0452915 44.5053121)",,,
872005991,False,Via Reale,tertiary,True,238.611,2,50,"LINESTRING (12.0449594 44.5056021, 12.0455457 44.5052379, 12.0461157 44.5048994, 12.047012 44.5043549, 12.0472455 44.5042071)",,,
27568309,False,Via Giuseppe Mazzini,residential,True,12.526,,,"LINESTRING (12.0429405 44.5056225, 12.043022 44.505719)",,,
28345666,False,Via Attilio Boari,residential,False,178.238,,,"LINESTRING (12.0429405 44.5056225, 12.0448448 44.5047711)",,,
28345668,False,Via Giuseppe Mazzini,residential,True,82.434,,,"LINESTRING (12.0429405 44.5056225, 12.0427066 44.5054054, 12.0425907 44.5052654, 12.0425102 44.5051228, 12.0424706 44.5049742)",,,
1008727437,False,Via Goffredo Mameli,residential,False,28.161,,,"LINESTRING (12.0407485 44.5017331, 12.0408151 44.5017659, 12.0409596 44.501837, 12.0410409 44.5018768)",,,
27176314,False,Via degli Orsini,residential,False,9.042,,,"LINESTRING (12.0367951 44.5042, 12.0368824 44.5041477)",,,
27176314,False,Via degli Orsini,residential,True,62.44,,,"LINESTRING (12.0367951 44.5042, 12.0362093 44.5045752)",,,
100975846,False,Via Mario Pasi,residential,False,65.506,,,"LINESTRING (12.0367951 44.5042, 12.0362574 44.5037528)",,,
27176314,False,Via degli Orsini,residential,True,9.042,,,"LINESTRING (12.0368824 44.5041477, 12.0367951 44.5042)",,,
27176314,False,Via degli Orsini,residential,False,25.285,,,"LINESTRING (12.0368824 44.5041477, 12.0370029 44.5040847, 12.0371506 44.5040255)",,,
206309835,True,Via Giuseppe Verdi,residential,False,40.239000000000004,,,"LINESTRING (12.0368824 44.5041477, 12.0369164 44.5040962, 12.0369485 44.5040341, 12.0370233 44.5038926, 12.0370386 44.5038512, 12.0370506 44.5038073)",,,
27176313,False,Via Giuseppe Verdi,residential,False,24.439,,,"LINESTRING (12.0373562 44.5039878, 12.0374992 44.5039752, 12.0376619 44.5039601)",,,
27176314,False,Via degli Orsini,residential,True,16.84,,,"LINESTRING (12.0373562 44.5039878, 12.0372282 44.5040095, 12.0371506 44.5040255)",,,
27176313,False,Via Giuseppe Verdi,residential,False,18.308,,,"LINESTRING (12.0381936 44.5039158, 12.0384228 44.5038961)",,,
27176313,False,Via Giuseppe Verdi,residential,True,42.453,,,"LINESTRING (12.0381936 44.5039158, 12.0376619 44.5039601)",,,
30409767,False,Via Carlo Margotti,residential,False,24.695,,,"LINESTRING (12.0381936 44.5039158, 12.0379934 44.5037457)",,,
27176313,False,Via Giuseppe Verdi,residential,False,127.323,,,"LINESTRING (12.0384228 44.5038961, 12.04002 44.5037799)",,,
27176313,False,Via Giuseppe Verdi,residential,True,18.308,,,"LINESTRING (12.0384228 44.5038961, 12.0381936 44.5039158)",,,
"[30409768, 30409767]",False,"['Via quattro Novembre', 'Via Carlo Margotti']",residential,True,637.111,,,"LINESTRING (12.0384228 44.5038961, 12.0383398 44.5032954, 12.0363 44.5016181, 12.0357673 44.5019132, 12.0377281 44.5035318, 12.0379934 44.5037457)",,,
