osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,tunnel,access,width,bridge
148319282,False,4,Piazza Giuseppe Garibaldi,primary,50,True,94.71,"LINESTRING (13.7807074 45.6456189, 13.7806429 45.6456873, 13.7806105 45.6457217, 13.7805698 45.645794, 13.7805343 45.6459173, 13.7804581 45.6462949, 13.7804229 45.6464366)",,,,
867863849,False,2,Via del Molino a Vento,secondary,50,True,26.11,"LINESTRING (13.7807074 45.6456189, 13.7806843 45.6455741, 13.7806766 45.6455335, 13.7806835 45.6454889, 13.7807108 45.6454288, 13.7807436 45.6453981)",,,,
7985937,False,2,Piazza Giambattista Vico,tertiary,50,False,19.57,"LINESTRING (13.7747831 45.6451879, 13.7747083 45.6452076, 13.7745475 45.6452499)",,,,
7989095,True,1,Piazza Giambattista Vico,tertiary,50,False,15.972999999999999,"LINESTRING (13.7747831 45.6451879, 13.7748671 45.6452351, 13.7749401 45.6452805)",,,,
8048255,False,,Via San Giusto,unclassified,50,True,63.18,"LINESTRING (13.77286 45.6456839, 13.7728599 45.6457067, 13.7728648 45.6457267, 13.7728767 45.6457453, 13.7728936 45.6457611, 13.7729151 45.6457764, 13.7729396 45.6457895, 13.7729681 45.6458023, 13.7735039 45.6459885)",,,,
51175103,False,2,Via Donato Bramante,tertiary,50,True,139.906,"LINESTRING (13.77286 45.6456839, 13.7728882 45.6456827, 13.7729141 45.6456795, 13.7729419 45.6456731, 13.7730314 45.6456495, 13.7745475 45.6452499)",,,,
139855106,False,2,Via San Giusto,tertiary,50,False,62.63499999999999,"LINESTRING (13.77286 45.6456839, 13.7728386 45.6456805, 13.7728197 45.6456751, 13.7727956 45.6456636, 13.7727713 45.6456489, 13.7727504 45.6456321, 13.7727122 45.6455974, 13.7726117 45.6455062, 13.7724833 45.6453789, 13.7724566 45.6453475, 13.7724309 45.6453132, 13.7724077 45.6452787, 13.7723855 45.6452413)",,,,
867863849,False,2,Via del Molino a Vento,secondary,50,False,26.11,"LINESTRING (13.7807436 45.6453981, 13.7807108 45.6454288, 13.7806835 45.6454889, 13.7806766 45.6455335, 13.7806843 45.6455741, 13.7807074 45.6456189)",,,,
23255171,True,1,Piazza del Sansovino,secondary,50,False,37.150999999999996,"LINESTRING (13.7753186 45.6454719, 13.7753795 45.6455027, 13.7755093 45.6455683, 13.7755642 45.6455961, 13.7757159 45.6456568)",,,,
7989113,False,3,Piazza del Sansovino,secondary,50,False,66.505,"LINESTRING (13.7757159 45.6456568, 13.7759468 45.6455632, 13.7760446 45.6455261, 13.7761352 45.6455091, 13.7762153 45.6455033, 13.7763197 45.6455063, 13.7763781 45.645518, 13.7763896 45.6455218, 13.7764372 45.6455373, 13.776496 45.645567)",,,,
23255173,True,1,Piazza del Sansovino,secondary,50,False,45.03999999999999,"LINESTRING (13.7757159 45.6456568, 13.7756107 45.6456957, 13.775506 45.6457052, 13.7754573 45.6457003, 13.7754112 45.6456858, 13.7752653 45.6456134, 13.7752032 45.6455826)",,,,
1231398601,True,,Via Capitolina,unclassified,,False,57.834,"LINESTRING (13.7757159 45.6456568, 13.775693 45.6457227, 13.7756913 45.6457868, 13.7757213 45.6458434, 13.7757594 45.6458809, 13.775891 45.6459564, 13.7760794 45.6460521)",,,,
