osmid,oneway,lanes,name,highway,reversed,length,junction,geometry,maxspeed,access
30899033,True,1,Via Porta D'Arnolfo,secondary,False,38.243,,"LINESTRING (9.2719411 45.6345656, 9.2722241 45.6342843)",,
207192985,True,2,,secondary,False,9.984,roundabout,"LINESTRING (9.2719411 45.6345656, 9.2719864 45.6345695, 9.2720091 45.6345759, 9.2720535 45.6346023)",,
30898983,True,1,Via Alessandro Volta,tertiary,False,16.17,,"LINESTRING (9.2720745 45.6346319, 9.2722358 45.6347237)",,
207193022,True,2,,secondary,False,10.523,roundabout,"LINESTRING (9.2720745 45.6346319, 9.2720794 45.6346636, 9.2720755 45.6346805, 9.2720441 45.6347205)",,
207193022,True,2,,secondary,False,4.64,roundabout,"LINESTRING (9.2720441 45.6347205, 9.2719944 45.6347436)",,
30898989,True,1,Via Porta D'Arnolfo,secondary,False,43.569,,"LINESTRING (9.2719495 45.6347494, 9.271853 45.6347749, 9.2717341 45.634862, 9.2716819 45.6348954, 9.2716226 45.6349412, 9.2715448 45.6350104)",,
207193037,True,2,,secondary,False,14.003,roundabout,"LINESTRING (9.2719495 45.6347494, 9.2719044 45.6347442, 9.2718718 45.6347323, 9.2718398 45.6347095, 9.2718194 45.6346761)",,
30898943,True,2,,secondary,False,5.141,roundabout,"LINESTRING (9.2718194 45.6346761, 9.2718181 45.6346441, 9.2718245 45.6346306)",,
207068961,True,2,,secondary,False,6.339,roundabout,"LINESTRING (9.2734196 45.6325026, 9.2734161 45.6325336, 9.2734085 45.6325485, 9.2734005 45.6325569)",,
30898943,True,2,,secondary,False,3.989,roundabout,"LINESTRING (9.2718914 45.6345745, 9.2719411 45.6345656)",,
30898953,True,1,Via Alberto da Giussano,residential,False,25.322,,"LINESTRING (9.2715789 45.6345119, 9.2717484 45.6345387, 9.271829 45.6345591, 9.2718914 45.6345745)",,
30898955,False,2,Via Alberto da Giussano,residential,False,68.581,,"LINESTRING (9.2715789 45.6345119, 9.2712072 45.634395, 9.2707779 45.6342537)",,
60583388,False,,Via Nazario Sauro,residential,False,99.301,,"LINESTRING (9.2700367 45.6340182, 9.2705556 45.6332022)",,
30898955,False,2,Via Alberto da Giussano,residential,False,40.942,,"LINESTRING (9.2700367 45.6340182, 9.2699631 45.6339944, 9.2695588 45.6338636)",,
30898955,False,2,Via Alberto da Giussano,residential,True,63.30499999999999,,"LINESTRING (9.2700367 45.6340182, 9.2702117 45.6340763, 9.2703244 45.6341138, 9.2707055 45.6342314, 9.2707779 45.6342537)",,
30898985,True,1,Via Alessandro Volta,tertiary,False,14.908999999999999,,"LINESTRING (9.2722358 45.6347237, 9.2720967 45.6347214, 9.2720441 45.6347205)",,
30898987,False,2,Via Alessandro Volta,tertiary,False,92.277,,"LINESTRING (9.2722358 45.6347237, 9.2729499 45.6350216, 9.2731028 45.6350854, 9.2732566 45.635147)",,
207193022,True,2,,secondary,False,3.55,roundabout,"LINESTRING (9.2719944 45.6347436, 9.2719495 45.6347494)",,
207068971,True,1,Via Libertà,tertiary,False,41.016999999999996,,"LINESTRING (9.2719944 45.6347436, 9.2719532 45.634795, 9.2719352 45.6348515, 9.2719003 45.6349772, 9.271855 45.6350971)",,
30898987,False,2,Via Alessandro Volta,tertiary,True,92.277,,"LINESTRING (9.2732566 45.635147, 9.2731028 45.6350854, 9.2729499 45.6350216, 9.2722358 45.6347237)",,
124205695,False,,Via Guglielmo Marconi,residential,False,143.323,,"LINESTRING (9.2732566 45.635147, 9.2737569 45.6343249, 9.2740607 45.6339913)",,
207193022,True,2,,secondary,False,3.674,roundabout,"LINESTRING (9.2720535 45.6346023, 9.2720745 45.6346319)",,
30899037,False,2,Via Porta D'Arnolfo,secondary,False,93.242,,"LINESTRING (9.2722241 45.6342843, 9.2724774 45.6339441, 9.27269 45.6336078, 9.2727416 45.6335283)",,
207193028,True,1,Via Porta D'Arnolfo,secondary,False,37.766,,"LINESTRING (9.2722241 45.6342843, 9.2720795 45.6345538, 9.2720535 45.6346023)",,
309733910,False,2,Via Porta D'Arnolfo,secondary,True,25.149,,"LINESTRING (9.2731916 45.6328025, 9.2730562 45.6330079)",,
207068968,True,1,Via Porta D'Arnolfo,secondary,False,25.256,,"LINESTRING (9.2731916 45.6328025, 9.2732066 45.6326759, 9.2732119 45.6326291, 9.2732062 45.6325761)",,
1225886016,False,2,Via Cesana e Villa,secondary,True,55.923,,"LINESTRING (9.2748999 45.6274766, 9.2751013 45.6269938)",50,
60560519,False,,Via Pietro Verri,living_street,False,70.768,,"LINESTRING (9.2748999 45.6274766, 9.275017 45.6275456, 9.2750476 45.627584, 9.2750834 45.6276289, 9.2752041 45.6280546)",,
255970948,False,2,Via Antonio Locatelli,residential,False,142.39600000000002,,"LINESTRING (9.2748999 45.6274766, 9.2747118 45.6274307, 9.2742766 45.6273245, 9.2731709 45.6270548)",50,
1225886016,False,2,Via Cesana e Villa,secondary,False,199.83,,"LINESTRING (9.2748999 45.6274766, 9.2748443 45.627663, 9.2745889 45.6286069, 9.2744301 45.6291322, 9.2744008 45.6292394)",50,
1225886016,False,2,Via Cesana e Villa,secondary,False,55.923,,"LINESTRING (9.2751013 45.6269938, 9.2748999 45.6274766)",50,
207068975,True,1,Via Porta D'Arnolfo,secondary,False,20.84,,"LINESTRING (9.2734447 45.632316, 9.2734327 45.6324049, 9.2734196 45.6325026)",50,
309724410,False,2,Via Porta D'Arnolfo,secondary,True,198.567,,"LINESTRING (9.2734447 45.632316, 9.2735915 45.6318715, 9.2736806 45.6315853, 9.2737762 45.6312769, 9.2738356 45.6311065, 9.273985 45.6306779, 9.2740185 45.630576)",50,
30927905,True,1,Via Porta D'Arnolfo,secondary,False,15.002,,"LINESTRING (9.2733338 45.6324264, 9.2734447 45.632316)",50,
207068941,True,2,,secondary,False,11.321,roundabout,"LINESTRING (9.2733338 45.6324264, 9.2733839 45.6324486, 9.2734089 45.6324744, 9.2734196 45.6325026)",,
83376990,True,,Via Umberto Primo,residential,False,100.711,,"LINESTRING (9.275504 45.630004, 9.2767561 45.6302357)",,
60560519,False,,Via Pietro Verri,living_street,False,98.292,,"LINESTRING (9.275504 45.630004, 9.2753589 45.6304699, 9.2751866 45.6308588)",,
60560519,False,,Via Pietro Verri,living_street,True,58.193,,"LINESTRING (9.275504 45.630004, 9.2755511 45.6297914, 9.2755738 45.6294836)",,
30928153,True,,Via Roma,residential,False,105.755,,"LINESTRING (9.2767561 45.6302357, 9.2765451 45.6305771, 9.2763638 45.6311099, 9.2763731 45.6311407)",,
48492255,True,,Via al Parco,residential,False,143.213,,"LINESTRING (9.2767561 45.6302357, 9.276923 45.629933, 9.2770681 45.6297438, 9.2772218 45.6296033, 9.2776059 45.6293997, 9.2778246 45.6293283, 9.2779112 45.6293018)",,
207068955,True,1,Via Ansperto da Biassono,residential,False,91.39600000000002,,"LINESTRING (9.2744433 45.6322853, 9.2743652 45.6323594, 9.274301 45.6324049, 9.2742352 45.6324499, 9.2741616 45.6324809, 9.2740951 45.6324998, 9.27403 45.6325132, 9.2739765 45.6325228, 9.2735778 45.6325593, 9.273522 45.6325593, 9.2734669 45.6325564, 9.2734005 45.6325569)",,
220534600,True,,Via Piave,residential,False,92.255,,"LINESTRING (9.2744433 45.6322853, 9.2748151 45.6324031, 9.2749123 45.6324417, 9.2750122 45.6325097, 9.2750818 45.6326172, 9.2751672 45.6327338, 9.2752966 45.632812)",,
