osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,ref,access
363807846,True,Via Palmiro Togliatti,tertiary,False,79.598,"LINESTRING (12.8839965 42.4103055, 12.8831141 42.4106021)",,,,
363807846,True,Via Palmiro Togliatti,tertiary,False,88.379,"LINESTRING (12.8811187 42.4107812, 12.880715 42.4107471, 12.8800526 42.410672)",,,,
419107198,True,,tertiary_link,False,58.614,"LINESTRING (12.8811187 42.4107812, 12.8808895 42.4108746, 12.8807761 42.4109657, 12.8806182 42.4111405)",,,,
419107204,True,Via Palmiro Togliatti,tertiary,False,123.551,"LINESTRING (12.8825584 42.4106328, 12.8828849 42.410562, 12.8839965 42.4103055)",50,,,
62079136,True,,tertiary_link,False,78.993,"LINESTRING (12.8806182 42.4111405, 12.8806231 42.410973, 12.8805738 42.4108892, 12.8804949 42.41082, 12.8803719 42.4107574, 12.8800526 42.410672)",,,,
69121470,False,Largo Alfredo Iacoboni,residential,False,70.615,"LINESTRING (12.8908617 42.4134471, 12.8902957 42.4129689)",,,,
69121470,False,Largo Alfredo Iacoboni,residential,True,64.737,"LINESTRING (12.8908617 42.4134471, 12.891441 42.4130521)",,,,
69121460,False,Largo Alfredo Iacoboni,residential,True,57.455,"LINESTRING (12.891441 42.4130521, 12.8919551 42.4127015)",,,,
69121470,False,Largo Alfredo Iacoboni,residential,False,64.737,"LINESTRING (12.891441 42.4130521, 12.8908617 42.4134471)",,,,
69121470,False,Largo Alfredo Iacoboni,residential,True,13.747,"LINESTRING (12.891441 42.4130521, 12.8913227 42.4129646)",,,,
69247671,False,Via Pier Luigi Mariani,residential,False,8.236,"LINESTRING (12.8878281 42.4139438, 12.8878019 42.4138723)",,,,
69247671,False,Via Pier Luigi Mariani,residential,True,29.248,"LINESTRING (12.8878281 42.4139438, 12.8879064 42.4142004)",,,,
69121462,False,Via Campanelli,residential,True,438.866,"LINESTRING (12.8878281 42.4139438, 12.8880379 42.4139219, 12.8882688 42.4139527, 12.8884051 42.4140044, 12.8885376 42.4141109, 12.8916306 42.4165749)",,,,
82188478,False,Via Terminillese,secondary,False,43.811,"LINESTRING (12.8914319 42.4162552, 12.8910634 42.4159702)",50,2,SR4 bis,
69121504,True,Via Renzo De Felice,residential,False,16.547,"LINESTRING (12.8912271 42.4157756, 12.8914144 42.4157206)",50,,,
69121447,True,Via Renzo De Felice,residential,False,42.087,"LINESTRING (12.891309 42.4158909, 12.8913043 42.4159289, 12.8913381 42.4160537, 12.8914319 42.4162552)",50,,,
69121538,True,Via Renzo De Felice,residential,False,22.487000000000002,"LINESTRING (12.891309 42.4158909, 12.8912087 42.4159429, 12.8911531 42.4159611, 12.8910634 42.4159702)",50,,,
69121470,False,Largo Alfredo Iacoboni,residential,True,70.615,"LINESTRING (12.8902957 42.4129689, 12.8908617 42.4134471)",,,,
69121470,False,Largo Alfredo Iacoboni,residential,False,87.3,"LINESTRING (12.8902957 42.4129689, 12.8903716 42.4129258, 12.8910776 42.4129043, 12.8912235 42.4129258, 12.8913227 42.4129646)",,,,
