osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,bridge
"[1116116000, 36837593, 1115779826, 1076046324]",3,Via Emilia,primary,False,False,104.358,"LINESTRING (11.4095709 44.4701946, 11.4093374 44.4702815, 11.4092056 44.47033, 11.409029 44.4703969, 11.4086807 44.4705286, 11.4084503 44.470617, 11.4084344 44.4706231, 11.4084086 44.4706337)",,
"[36772880, 993502725]",3,Via Caselle,tertiary,False,False,92.993,"LINESTRING (11.4095709 44.4701946, 11.4097003 44.4703245, 11.4100131 44.4706479, 11.410228 44.4708869)",,
27250427,,Via Gorizia,residential,False,False,86.795,"LINESTRING (11.4096027 44.4672554, 11.408708 44.4677044)",20,
112400600,2,Via Carlo Jussi,residential,True,False,71.97200000000001,"LINESTRING (11.4096027 44.4672554, 11.4100164 44.4676601, 11.4101395 44.4677771)",20,
27250427,,Via Gorizia,residential,False,False,73.278,"LINESTRING (11.408708 44.4677044, 11.4079626 44.4680934)",20,
27250427,,Via Gorizia,residential,False,True,86.795,"LINESTRING (11.408708 44.4677044, 11.4096027 44.4672554)",20,
97850900,2,Via Fratelli Canova,tertiary,False,True,12.388,"LINESTRING (11.4005188 44.4705379, 11.4004529 44.4704369)",30,
"[1227136056, 97850900]",2,Via Fratelli Canova,tertiary,False,False,305.0810000000001,"LINESTRING (11.4005188 44.4705379, 11.4006752 44.4707913, 11.4008276 44.4710382, 11.4011283 44.4715252, 11.401569 44.4722315, 11.4020031 44.4729377, 11.4020217 44.4729677, 11.4020384 44.4730054, 11.4020477 44.4730531)",30,
"[451714778, 1194336263]",2,Via Giuseppe Dozza,primary,True,False,100.194,"LINESTRING (11.4011357 44.4733987, 11.40088 44.4735074, 11.4005032 44.4736588, 11.4002314 44.4737689, 11.4000416 44.4738485)",50,
"[1118055530, 97937356, 1118069654, 98017418]",,"['Via Emilia', 'Via Giuseppe Dozza']",primary,False,True,81.95299999999999,"LINESTRING (11.4011357 44.4733987, 11.4011797 44.4733829, 11.4012664 44.4733516, 11.4013373 44.473326, 11.4016393 44.4732132, 11.4018603 44.4731307, 11.4018945 44.4731161, 11.4019328 44.4730997, 11.4020477 44.4730531)","['50', '30']",yes
232684549,2,Via Fornace,residential,False,False,56.58,"LINESTRING (11.4066924 44.4736699, 11.4063411 44.4732271)",20,
36772884,2,Via Gaetano Pollastri,residential,False,True,200.47400000000002,"LINESTRING (11.4066924 44.4736699, 11.4072809 44.4734386, 11.4073763 44.4733986, 11.4078561 44.4732085, 11.4079833 44.4731532, 11.4080751 44.4731161, 11.4084499 44.4729645, 11.4088936 44.4727851)",20,
"[232684549, 36772886]",2,Via Fornace,residential,False,True,224.396,"LINESTRING (11.4066924 44.4736699, 11.4067612 44.4737547, 11.4069162 44.4739458, 11.4069325 44.4739871, 11.4069347 44.4740234, 11.4069266 44.4740638, 11.4069068 44.474091, 11.4068751 44.4741279, 11.4068321 44.4741566, 11.4063173 44.4743728, 11.406155 44.4744464, 11.4062298 44.474531, 11.4064328 44.4747554, 11.4066203 44.4749872, 11.4066285 44.4750179, 11.4066172 44.4750557, 11.4065749 44.4750873, 11.4063907 44.4751625)",20,
36772887,,Via Antonio Gramsci,residential,False,False,59.286,"LINESTRING (11.4058723 44.4726615, 11.4065228 44.4723992)",20,
232684549,2,Via Fornace,residential,False,True,73.069,"LINESTRING (11.4058723 44.4726615, 11.4063411 44.4732271)",20,
232684549,2,Via Fornace,residential,False,False,102.996,"LINESTRING (11.4058723 44.4726615, 11.4052988 44.4719619, 11.4052188 44.4718612)",20,
36772880,,Via Caselle,tertiary,False,False,17.965,"LINESTRING (11.410228 44.4708869, 11.4103549 44.4710207)",,
"[36772880, 993502725]",3,Via Caselle,tertiary,False,True,92.993,"LINESTRING (11.410228 44.4708869, 11.4100131 44.4706479, 11.4097003 44.4703245, 11.4095709 44.4701946)",,
36772887,,Via Antonio Gramsci,residential,False,True,109.72,"LINESTRING (11.410228 44.4708869, 11.4099151 44.4710195, 11.4097745 44.4710758, 11.4097558 44.4710824, 11.4096103 44.4711339, 11.4091503 44.471325, 11.4090501 44.4713666, 11.4090275 44.471376)",20,
36772880,,Via Caselle,tertiary,False,True,17.965,"LINESTRING (11.4103549 44.4710207, 11.410228 44.4708869)",,
1115779822,,Via Emilia,primary,False,True,94.266,"LINESTRING (11.4064247 44.4714147, 11.4065508 44.4713666, 11.4073803 44.4710499, 11.4074722 44.4710148)",,
