osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,tunnel
367060613,2,,Via della Fonda,tertiary,30,False,False,100.30799999999999,"LINESTRING (12.0695777 45.5530567, 12.0700763 45.5530319, 12.0708627 45.5529928)",,,
150363909,,,Via Antonio Vivaldi,residential,,False,True,66.519,"LINESTRING (12.065827 45.5545567, 12.0657535 45.5539607)",,,
64032314,,,Via Ippolito Nievo,residential,,False,False,35.754,"LINESTRING (12.065827 45.5545567, 12.0659466 45.5545382, 12.0662754 45.5544874)",,,
64032314,,,Via Ippolito Nievo,residential,,False,True,47.315,"LINESTRING (12.0668688 45.5543957, 12.0665788 45.5544405, 12.0662754 45.5544874)",,,
309728873,,,Via Tommaso Albinoni,residential,,False,False,107.00099999999999,"LINESTRING (12.0668688 45.5543957, 12.0668667 45.5543498, 12.0668265 45.5534566, 12.0668254 45.5534339)",,,
64032316,,,Via Lorenzo Perosi,residential,,False,False,173.418,"LINESTRING (12.0696872 45.5546144, 12.0696621 45.5542569, 12.0696336 45.5538521, 12.0695777 45.5530567)",,,
150363998,,,Via Prà della Ziralda,residential,,False,False,104.366,"LINESTRING (12.0741326 45.5492794, 12.0740885 45.5492292, 12.0738461 45.5489527, 12.0734198 45.5484846)",,,
215454452,1,,Piazza XX Settembre,tertiary,,True,False,41.288,"LINESTRING (12.0741326 45.5492794, 12.0740389 45.5493451, 12.0740222 45.5493618, 12.074009 45.5493867, 12.0740105 45.5494097, 12.0740378 45.5495105, 12.0740407 45.5495833, 12.0740328 45.5496159)",,,
85553307,,,Via Bosco dell'Orco,residential,,False,True,87.367,"LINESTRING (12.0708627 45.5529928, 12.0708989 45.5537781)",,,
367060613,2,,Via della Fonda,tertiary,30,False,False,57.32,"LINESTRING (12.0708627 45.5529928, 12.0715977 45.5529639)",,,
367060613,2,,Via della Fonda,tertiary,30,False,True,100.30799999999999,"LINESTRING (12.0708627 45.5529928, 12.0700763 45.5530319, 12.0695777 45.5530567)",,,
150363998,,,Via Prà della Ziralda,residential,,False,False,47.082,"LINESTRING (12.0734198 45.5484846, 12.0731429 45.5481082)",,,
123575740,2,,Via del Tezzon,residential,,False,False,306.25800000000004,"LINESTRING (12.0734198 45.5484846, 12.0746342 45.547988, 12.0747629 45.5478903, 12.0747629 45.5478076, 12.07472 45.5476949, 12.0745484 45.5474996, 12.0744733 45.5473869, 12.0744733 45.5472817, 12.0745189 45.5471841, 12.0745701 45.5471495, 12.074661 45.5471314, 12.0747731 45.5471263, 12.0755759 45.5470963, 12.0757424 45.547079)",,,
150363998,,,Via Prà della Ziralda,residential,,False,True,104.366,"LINESTRING (12.0734198 45.5484846, 12.0738461 45.5489527, 12.0740885 45.5492292, 12.0741326 45.5492794)",,,
1132150261,,,Viale dei Tigli,residential,,False,True,60.105,"LINESTRING (12.0757424 45.547079, 12.0757966 45.5476182)",,,
123575740,2,,Via del Tezzon,residential,,False,True,306.258,"LINESTRING (12.0757424 45.547079, 12.0755759 45.5470963, 12.0747731 45.5471263, 12.074661 45.5471314, 12.0745701 45.5471495, 12.0745189 45.5471841, 12.0744733 45.5472817, 12.0744733 45.5473869, 12.0745484 45.5474996, 12.07472 45.5476949, 12.0747629 45.5478076, 12.0747629 45.5478903, 12.0746342 45.547988, 12.0734198 45.5484846)",,,
123575830,,,Viale dei Tigli,residential,,True,False,207.781,"LINESTRING (12.0757424 45.547079, 12.0757393 45.5470488, 12.0757397 45.5470238, 12.0757431 45.5470077, 12.0757619 45.5469767, 12.0781027 45.546327)",,,
123575756,2,,Viale dei Tigli,residential,,False,False,40.578,"LINESTRING (12.0781027 45.546327, 12.0779052 45.5459893)",,,
123575756,2,,Viale dei Tigli,residential,,False,True,40.578,"LINESTRING (12.0779052 45.5459893, 12.0781027 45.546327)",,,
150363909,,,Via Antonio Vivaldi,residential,,False,False,66.519,"LINESTRING (12.0657535 45.5539607, 12.065827 45.5545567)",,,
150363909,,,Via Antonio Vivaldi,residential,,False,True,111.287,"LINESTRING (12.0657535 45.5539607, 12.0656669 45.5535368, 12.0656146 45.5532038, 12.0655955 45.5530821, 12.0655999 45.5530194, 12.065638 45.5529743)",,,
150363998,,,Via Prà della Ziralda,residential,,False,True,47.082,"LINESTRING (12.0731429 45.5481082, 12.0734198 45.5484846)",,,
215454455,2,,Via Felice Polanzani,tertiary,,False,False,85.557,"LINESTRING (12.0762284 45.5482517, 12.0771328 45.5478148)",,,
1132150261,,,Viale dei Tigli,residential,,False,False,78.161,"LINESTRING (12.0762284 45.5482517, 12.0761685 45.5481675, 12.0758386 45.5477039, 12.0758112 45.5476586, 12.0757966 45.5476182)",,,
1132150262,1,,Via Felice Polanzani,tertiary,,True,False,199.262,"LINESTRING (12.0762284 45.5482517, 12.0754851 45.5485977, 12.0741326 45.5492794)",,,
123575844,,,Via Piave,residential,,False,False,110.034,"LINESTRING (12.0742303 45.5526956, 12.0743043 45.5536838)",,,
123575997,,,Via Piave,residential,,True,False,66.453,"LINESTRING (12.0742303 45.5526956, 12.0741655 45.5520997)",,,
134197617,2,,Via Sant'Andrea,secondary,,False,False,260.087,"LINESTRING (12.0742303 45.5526956, 12.0744506 45.5526785, 12.0752393 45.5526146, 12.0756722 45.5525786, 12.0758012 45.5525628, 12.0760424 45.5525128, 12.0767196 45.5523559, 12.0768872 45.5522766, 12.0769632 45.5521735, 12.0769402 45.5518764)",,,
150363963,2,,Via Matteotti,secondary,,False,True,150.882,"LINESTRING (12.0742303 45.5526956, 12.0726806 45.5528147, 12.0724876 45.5528313, 12.0724298 45.5528462, 12.0723144 45.5528754)",,,
123575844,,,Via Piave,residential,,False,True,110.034,"LINESTRING (12.0743043 45.5536838, 12.0742303 45.5526956)",,,
123575879,2,,Via Umberto Sailer,residential,,False,True,151.782,"LINESTRING (12.0743043 45.5536838, 12.0742348 45.5536861, 12.0723571 45.5537476)",,,
123575894,,,Via Umberto Sailer,residential,,False,False,38.959,"LINESTRING (12.0743043 45.5536838, 12.074484 45.5536708, 12.0745201 45.553664, 12.0745725 45.5536452, 12.0747713 45.5535738)",,,
309734191,,,Via della Fonda,residential,50,False,True,94.785,"LINESTRING (12.0722827 45.5522666, 12.0710676 45.5523178)",,,
26687073,2,SR515,Via G. Tempesta,primary,50,False,False,118.367,"LINESTRING (12.0722827 45.5522666, 12.0722837 45.5519417, 12.0722745 45.5517228, 12.0722723 45.5516784, 12.072249 45.5512025)",,,
26687073,2,SR515,Via G. Tempesta,primary,50,False,True,67.743,"LINESTRING (12.0722827 45.5522666, 12.0723069 45.5526702, 12.0723144 45.5528754)",,,
123575866,,,Piazzale Bastia,residential,,False,False,51.803,"LINESTRING (12.0722827 45.5522666, 12.0724112 45.5522491, 12.0724502 45.5522454, 12.0729408 45.5521991)",,,
123575866,,,Piazzale Bastia,residential,,False,True,14.666,"LINESTRING (12.0741655 45.5520997, 12.0739781 45.5521129)",,,
"[123575866, 215454453]",,,Piazzale Bastia,residential,,False,"[False, True]",81.30600000000001,"LINESTRING (12.0741655 45.5520997, 12.0743817 45.5521336, 12.0746034 45.5521324, 12.0746775 45.55255)",,,
367063264,2,SR515,Via G. Tempesta,primary,50,False,False,97.041,"LINESTRING (12.0723571 45.5537476, 12.0723144 45.5528754)",,,
123575879,2,,Via Umberto Sailer,residential,,False,False,151.782,"LINESTRING (12.0723571 45.5537476, 12.0742348 45.5536861, 12.0743043 45.5536838)",,,
123575894,,,Via Umberto Sailer,residential,,False,True,38.959,"LINESTRING (12.0747713 45.5535738, 12.0745725 45.5536452, 12.0745201 45.553664, 12.074484 45.5536708, 12.0743043 45.5536838)",,,
"[835464240, 835341052, 123575975]",,,Via della Fonda,residential,,False,True,143.57,"LINESTRING (12.0691171 45.5523765, 12.0690209 45.5523806, 12.0682813 45.5524118, 12.0675382 45.5524432, 12.0672766 45.5524542)",,,
64032313,2,,Via Francesco Petrarca,tertiary,30,False,True,27.237,"LINESTRING (12.0673207 45.5528967, 12.0669713 45.5529084)",,,
835341053,,,Via della Fonda,residential,,False,True,49.323,"LINESTRING (12.0673207 45.5528967, 12.0672766 45.5524542)",,,
410110589,1,,Via della Fonda,tertiary,,True,False,28.664,"LINESTRING (12.0673207 45.5528967, 12.0673659 45.5529725, 12.0674006 45.553009, 12.0674393 45.5530417, 12.0675343 45.5531013)",,,
506479993,,SP38,Via dei Novale,secondary,,False,False,22.762,"LINESTRING (12.077679 45.5492513, 12.0779637 45.5492049)",,,
506479993,,SP38,Via dei Novale,secondary,,False,True,32.107,"LINESTRING (12.077679 45.5492513, 12.0772774 45.5493167)",,,
995420211,1,SR515,Via Ubaldo Bregolini,primary,50,True,False,33.02,"LINESTRING (12.0710751 45.5464761, 12.0710349 45.546523, 12.070992 45.5465503, 12.0709585 45.5465907, 12.0709424 45.5466423, 12.070941 45.5466686, 12.0709182 45.5467071, 12.0708767 45.546725)",,roundabout,
123585244,2,,Via Coppadoro,unclassified,,False,False,35.538,"LINESTRING (12.0736917 45.5457502, 12.0734241 45.5458202, 12.0732636 45.5458609)",,,
123585244,2,,Via Coppadoro,unclassified,,False,False,162.60099999999997,"LINESTRING (12.0732636 45.5458609, 12.0726848 45.5460075, 12.0713422 45.5463478, 12.0713002 45.5463585)",,,
123585244,2,,Via Coppadoro,unclassified,,False,True,35.538,"LINESTRING (12.0732636 45.5458609, 12.0734241 45.5458202, 12.0736917 45.5457502)",,,
150363923,,,Via Coppadoro,residential,,False,True,297.262,"LINESTRING (12.0732636 45.5458609, 12.0732808 45.545902, 12.0732872 45.5459173, 12.0734221 45.546923, 12.0734164 45.5470004, 12.0733689 45.5470642, 12.0732715 45.5470927, 12.0727743 45.5471561, 12.0726821 45.5472045, 12.0726276 45.547256, 12.0725587 45.5473807, 12.0724742 45.547451, 12.0723304 45.5475149, 12.0721931 45.5475657, 12.0718954 45.5476551, 12.0716253 45.5477256)",,,
123585244,2,,Via Coppadoro,unclassified,,False,True,162.601,"LINESTRING (12.0713002 45.5463585, 12.0713422 45.5463478, 12.0726848 45.5460075, 12.0732636 45.5458609)",,,
