osmid,ref,highway,oneway,reversed,length,geometry,maxspeed,name,bridge,junction
384539125,SP2.1,secondary,False,True,3.665,"LINESTRING (11.0434426 44.7268037, 11.0434122 44.7267788)",,,,
464423940,SP2.1,secondary,False,False,44.719,"LINESTRING (11.0434426 44.7268037, 11.0436571 44.7269041, 11.0437328 44.7269238, 11.0438274 44.7269323, 11.0439605 44.7269283)",,,,
200438637,SP1,secondary,True,False,29.325000000000003,"LINESTRING (11.0439605 44.7269283, 11.0440211 44.727002, 11.0440359 44.7270668, 11.0440117 44.7271782)",50,,,
200438641,SP1,secondary,False,False,48.933,"LINESTRING (11.0439605 44.7269283, 11.0440882 44.7269315, 11.0442169 44.7269629, 11.0445119 44.7271039)",,,,
464423940,SP2.1,secondary,False,True,44.718999999999994,"LINESTRING (11.0439605 44.7269283, 11.0438274 44.7269323, 11.0437328 44.7269238, 11.0436571 44.7269041, 11.0434426 44.7268037)",,,,
200438638,SP1,secondary,True,False,43.03,"LINESTRING (11.0445119 44.7271039, 11.0443604 44.7270734, 11.0442303 44.7270896, 11.0441324 44.7271125, 11.0440117 44.7271782)",50,,,
200438641,SP1,secondary,False,True,48.933,"LINESTRING (11.0445119 44.7271039, 11.0442169 44.7269629, 11.0440882 44.7269315, 11.0439605 44.7269283)",,,,
118106679,,residential,False,True,173.427,"LINESTRING (11.0375653 44.733232, 11.0374226 44.7332498, 11.0364711 44.7333687, 11.0355227 44.7334872, 11.035403 44.7335022)",,Via Arno,,
185271771,SP1,secondary,False,False,95.947,"LINESTRING (11.0375653 44.733232, 11.0376614 44.7336419, 11.0376834 44.7337358, 11.0377693 44.7340826)",50,Via Ravarino Carpi,,
185271771,SP1,secondary,False,True,84.586,"LINESTRING (11.0375653 44.733232, 11.0374588 44.7327682, 11.0373906 44.7324815)",50,Via Ravarino Carpi,,
185271771,SP1,secondary,False,False,25.182,"LINESTRING (11.0373418 44.7322577, 11.0373906 44.7324815)",50,Via Ravarino Carpi,,
185271771,SP1,secondary,False,True,72.16,"LINESTRING (11.0373418 44.7322577, 11.0371865 44.7316182)",50,Via Ravarino Carpi,,
118106689,,residential,False,True,89.036,"LINESTRING (11.0373418 44.7322577, 11.037187 44.7322765, 11.036359 44.7323768, 11.0362307 44.7323923)",,Via Adige,,
117427395,,unclassified,False,True,21.311,"LINESTRING (11.037694 44.7299147, 11.0376396 44.7299018, 11.0375964 44.7298969, 11.0374328 44.7299261)",,Via Ravarino Carpi,,
185271771,SP1,secondary,False,False,105.77600000000001,"LINESTRING (11.037694 44.7299147, 11.0376013 44.729966, 11.0373726 44.7301124, 11.0372257 44.7302798, 11.0371806 44.7303394, 11.0371385 44.7304023, 11.0370842 44.7305033, 11.0370497 44.7306122, 11.0370281 44.7307057)",50,Via Ravarino Carpi,,
185271771,SP1,secondary,False,True,40.567,"LINESTRING (11.037694 44.7299147, 11.0378135 44.7298585, 11.0379962 44.7297957, 11.0381524 44.7297532)",50,Via Ravarino Carpi,,
185271771,SP1,secondary,False,False,35.209,"LINESTRING (11.0407151 44.7290442, 11.0403082 44.7291734)",50,Via Ravarino Carpi,,
185271771,SP1,secondary,False,True,9.017,"LINESTRING (11.0407151 44.7290442, 11.0408182 44.7290094)",50,Via Ravarino Carpi,,
117427362,,unclassified,True,False,152.91699999999997,"LINESTRING (11.0407151 44.7290442, 11.0399123 44.7278759, 11.039861 44.7278102)",,Via Fabrizio de Andrè,,
185271771,SP1,secondary,False,False,90.191,"LINESTRING (11.0417172 44.7285144, 11.0412977 44.7287852, 11.041117 44.7288815, 11.0409569 44.7289541, 11.0408182 44.7290094)",50,Via Ravarino Carpi,,
"[200438640, 200438635, 200438636, 205563565]",SP1,secondary,False,True,116.76299999999999,"LINESTRING (11.0417172 44.7285144, 11.0422955 44.7281429, 11.0423473 44.7281135, 11.042395 44.7280887, 11.0425187 44.7280399, 11.0426661 44.7279868, 11.0428392 44.7279294, 11.0429073 44.7279068)",50,Via Ravarino Carpi,yes,
205563601,,unclassified,False,True,142.231,"LINESTRING (11.0417172 44.7285144, 11.0416289 44.7284226, 11.0415405 44.7283305, 11.0414384 44.7282386, 11.0407527 44.7277296, 11.0406004 44.7275212)",,Via Canale Naviglio,,
209287204,,residential,False,False,111.116,"LINESTRING (11.0385688 44.7275802, 11.0398371 44.7271482)",,Via Giuseppe Verdi,,
384505667,,residential,False,False,67.699,"LINESTRING (11.0385688 44.7275802, 11.0389505 44.7281253)",,Via Giuseppe Verdi,,
"[117427228, 384505671]",,residential,False,True,198.186,"LINESTRING (11.0385688 44.7275802, 11.0370756 44.7281114, 11.0374312 44.7286511)",,Via Giuseppe Verdi,,
185271771,SP1,secondary,False,True,45.731,"LINESTRING (11.0397668 44.729319, 11.0403082 44.7291734)",50,Via Ravarino Carpi,,
185271771,SP1,secondary,False,False,47.86,"LINESTRING (11.0397668 44.729319, 11.0393716 44.7294183, 11.0392005 44.7294713)",50,Via Ravarino Carpi,,
200438638,SP1,secondary,True,False,39.382999999999996,"LINESTRING (11.0440117 44.7271782, 11.0439873 44.7272258, 11.0439295 44.7273557, 11.0438273 44.7275064)",50,,,
117427350,,residential,False,True,53.564,"LINESTRING (11.0381524 44.7297532, 11.0383876 44.730205)",,Via Arturo Toscanini,,
185271771,SP1,secondary,False,True,43.553,"LINESTRING (11.0381524 44.7297532, 11.038668 44.7296145)",50,Via Ravarino Carpi,,
185271771,SP1,secondary,False,False,40.567,"LINESTRING (11.0381524 44.7297532, 11.0379962 44.7297957, 11.0378135 44.7298585, 11.037694 44.7299147)",50,Via Ravarino Carpi,,
209287205,,unclassified,True,False,56.711,"LINESTRING (11.0361902 44.7291729, 11.0361436 44.7291695, 11.0361002 44.7291571, 11.0360634 44.7291365, 11.0360361 44.7291095, 11.0360205 44.7290781, 11.0360177 44.7290449, 11.0360265 44.7290155, 11.0360455 44.7289885, 11.0360723 44.7289667, 11.0361057 44.72895, 11.0361438 44.7289397, 11.0361844 44.7289362, 11.0362248 44.7289399, 11.0362629 44.7289504, 11.0362854 44.7289608, 11.0363053 44.7289736, 11.036322 44.7289885, 11.0363351 44.7290051)",,,,roundabout
384501162,,unclassified,False,False,165.887,"LINESTRING (11.0361902 44.7291729, 11.0362051 44.7292592, 11.0361928 44.7293487, 11.0361533 44.7294118, 11.036103 44.7294543, 11.0360465 44.7294851, 11.0359897 44.7295039, 11.0359446 44.7295158, 11.0358383 44.7295345, 11.0345946 44.7296898, 11.0344751 44.7297047)",,Via Tevere,,
384501162,,unclassified,False,True,60.456,"LINESTRING (11.0321075 44.7300803, 11.032732 44.7300008, 11.0328608 44.7299844)",,Via Tevere,,
384485985,,residential,False,False,63.481,"LINESTRING (11.0377873 44.7312721, 11.0385416 44.7310752)",,Via Antonio Vivaldi,,
384485985,,residential,False,True,54.144,"LINESTRING (11.0377873 44.7312721, 11.0371473 44.7314464)",,Via Antonio Vivaldi,,
