osmid,name,highway,junction,oneway,reversed,length,geometry,lanes,ref,maxspeed,access
665576372,Piazza San Francesco,secondary,roundabout,True,False,17.151,"LINESTRING (14.2543259 41.0818784, 14.2543743 41.0818909, 14.2544148 41.0819145, 14.2544429 41.0819467, 14.2544558 41.081984)",,,,
665581589,Corso Aldo Moro,secondary,,True,False,53.987,"LINESTRING (14.2544558 41.081984, 14.2550999 41.0819869)",2,SS7,30,
665576372,Piazza San Francesco,secondary,roundabout,True,False,20.446999999999996,"LINESTRING (14.2544558 41.081984, 14.2544526 41.0820207, 14.2544345 41.0820548, 14.2544033 41.0820831, 14.2543621 41.0821028, 14.2543148 41.0821119)",,,,
28875501,Piazza San Francesco,secondary,roundabout,True,False,21.338,"LINESTRING (14.2543148 41.0821119, 14.254264 41.0821093, 14.2542171 41.0820945, 14.2541789 41.0820691, 14.2541536 41.0820358, 14.2541438 41.0819981)",,,,
261072181,Via Galatina,secondary,,False,True,212.499,"LINESTRING (14.2543148 41.0821119, 14.2541786 41.0833995, 14.2541133 41.0840169)",2,SP4,30,
28875501,Piazza San Francesco,secondary,roundabout,True,False,23.068,"LINESTRING (14.2541438 41.0819981, 14.2541491 41.0819638, 14.2541675 41.0819321, 14.2541973 41.0819058, 14.2542359 41.0818871, 14.2542801 41.0818777, 14.2543259 41.0818784)",,,,
579168403,Corso Aldo Moro,secondary,,False,True,262.9,"LINESTRING (14.2541438 41.0819981, 14.2533522 41.0819603, 14.2526881 41.0819417, 14.2524354 41.0819578, 14.252262 41.0819847, 14.2521097 41.082016, 14.2515263 41.0821407, 14.2510654 41.0822521)",2,SS7,30,
665581589,Corso Aldo Moro,secondary,,True,False,114.921,"LINESTRING (14.2550999 41.0819869, 14.2564707 41.0819648)",2,SS7,30,
1130838220,,residential,,False,False,66.411,"LINESTRING (14.2550999 41.0819869, 14.2551175 41.082584)",,,,
665576424,Corso Aldo Moro,secondary,,True,False,164.809,"LINESTRING (14.2602782 41.0818356, 14.2622424 41.0819046)",2,SS7,30,
665576375,Via Galatina,residential,,False,True,33.523,"LINESTRING (14.2541133 41.0840169, 14.2540699 41.0843166)",,SP4,30,
261072181,Via Galatina,secondary,,False,False,212.499,"LINESTRING (14.2541133 41.0840169, 14.2541786 41.0833995, 14.2543148 41.0821119)",2,SP4,30,
