osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,tunnel
400185486,Salita di San Giacomo,secondary,False,False,42.711,,"LINESTRING (13.7466973 37.5772164, 13.7463158 37.5769795)",,
400185484,Via Leonardo da Vinci,secondary,False,True,285.197,SP100,"LINESTRING (13.7466973 37.5772164, 13.7467785 37.5772338, 13.7468537 37.5772403, 13.7472837 37.5772538, 13.7474671 37.577242, 13.7475437 37.5772329, 13.7477877 37.5771832, 13.7479117 37.577121, 13.7480229 37.5770266, 13.748162 37.57683, 13.7482901 37.5766866, 13.748507 37.5765871, 13.749531 37.5763513)",,
1120445683,,residential,False,True,196.608,,"LINESTRING (13.7466973 37.5772164, 13.7466942 37.5772675, 13.7466926 37.5772915, 13.7467031 37.5773195, 13.7467204 37.5773492, 13.7467441 37.5773725, 13.7468042 37.5774283, 13.7469838 37.5775406, 13.7475707 37.5779077, 13.7476554 37.577921, 13.7477159 37.5779162, 13.7479876 37.5778322, 13.7481209 37.5777461, 13.7482896 37.5775117)",,
400185484,Via Leonardo da Vinci,secondary,False,True,88.493,SP100,"LINESTRING (13.7510503 37.5759167, 13.7517376 37.5753365)",,
1120612590,Via Michelello,residential,False,False,9.009,,"LINESTRING (13.7510503 37.5759167, 13.7511513 37.5759292)",,
400185484,Via Leonardo da Vinci,secondary,False,False,142.583,SP100,"LINESTRING (13.7510503 37.5759167, 13.7506767 37.5760579, 13.749531 37.5763513)",,
400185484,Via Leonardo da Vinci,secondary,False,False,88.493,SP100,"LINESTRING (13.7517376 37.5753365, 13.7510503 37.5759167)",,
400185484,Via Leonardo da Vinci,secondary,False,True,91.856,SP100,"LINESTRING (13.7517376 37.5753365, 13.7519782 37.5749043, 13.7521361 37.5745735)",,
1120559082,,residential,False,False,42.584,,"LINESTRING (13.7517376 37.5753365, 13.7517653 37.5754024, 13.7518208 37.5755698, 13.7518651 37.5756536, 13.7518946 37.5756973)",,
400185484,Via Leonardo da Vinci,secondary,False,False,91.856,SP100,"LINESTRING (13.7521361 37.5745735, 13.7519782 37.5749043, 13.7517376 37.5753365)",,
400185484,Via Leonardo da Vinci,secondary,False,True,101.027,SP100,"LINESTRING (13.7521361 37.5745735, 13.7522757 37.5743384, 13.7524547 37.5741301, 13.7526497 37.5739697, 13.7528244 37.5738644)",,
400185484,Via Leonardo da Vinci,secondary,False,False,101.027,SP100,"LINESTRING (13.7528244 37.5738644, 13.7526497 37.5739697, 13.7524547 37.5741301, 13.7522757 37.5743384, 13.7521361 37.5745735)",,
400185484,Via Leonardo da Vinci,secondary,False,True,170.672,SP100,"LINESTRING (13.7528244 37.5738644, 13.753016 37.573809, 13.7531778 37.5738103, 13.7533921 37.5738615, 13.7538447 37.574035, 13.7539028 37.5740573, 13.7539787 37.5740751, 13.7540447 37.5740835, 13.7542452 37.5740919, 13.7545881 37.5740906, 13.7546776 37.5740982)",,
94578574,,residential,True,False,23.653,,"LINESTRING (13.7539709 37.5785979, 13.7540764 37.5787935)",,
94578578,Via Principe di Scalea,residential,False,False,10.135,,"LINESTRING (13.7539709 37.5785979, 13.754065 37.5785455)",,
1180628049,Via Principe di Scalea,residential,False,True,28.359,,"LINESTRING (13.7539709 37.5785979, 13.753671 37.5786904)",,
52484399,Via Madonna del Riparo,tertiary,False,False,59.42699999999999,SP16,"LINESTRING (13.7472027 37.5810551, 13.7471303 37.581186, 13.7469552 37.5815521)",,
499340766,Viale Peppe Sorce,tertiary,False,False,71.042,SP16,"LINESTRING (13.7472027 37.5810551, 13.7471922 37.5812626, 13.7472202 37.5815643, 13.7472294 37.5816928)",,
499339938,Via Caltanissetta,tertiary,False,False,164.038,,"LINESTRING (13.7546428 37.5794219, 13.7549678 37.5793213, 13.7557014 37.5790943, 13.7563767 37.5788852)",,
"[1180628048, 563927584]","['Via Dalmazia', 'Via Caltanissetta']",tertiary,False,True,36.886,,"LINESTRING (13.7546428 37.5794219, 13.7545359 37.5794871, 13.7545037 37.5795254, 13.7545534 37.5796998)",,
499340764,,residential,False,True,51.072,,"LINESTRING (13.7524029 37.5791113, 13.7525833 37.5794286, 13.7526349 37.5795321)",,
1120208726,,residential,False,False,37.506,,"LINESTRING (13.7524029 37.5791113, 13.7523308 37.5791329, 13.7521496 37.579242, 13.7520689 37.5793134)",,
1180628049,Via Principe di Scalea,residential,False,False,60.663,,"LINESTRING (13.7524029 37.5791113, 13.7524997 37.5790881, 13.7528403 37.5789686, 13.7530374 37.578901)",,
401958120,Via Santa Croce,residential,False,False,10.202,,"LINESTRING (13.753186 37.5813552, 13.7533016 37.5813502)",,
499336484,Via Palermo,tertiary,False,False,82.467,SP16,"LINESTRING (13.753186 37.5813552, 13.7529814 37.5806315)",,
499336484,Via Palermo,tertiary,False,True,16.681,SP16,"LINESTRING (13.753186 37.5813552, 13.7532184 37.581503)",,
499503858,Via Vittime di Nassirya,residential,False,True,27.459,,"LINESTRING (13.753186 37.5813552, 13.7528792 37.5813984)",,
499503857,Via Giosuè Carducci,residential,False,True,15.724,,"LINESTRING (13.7507454 37.5810477, 13.7508185 37.5811767)",,
499340766,Viale Peppe Sorce,tertiary,False,False,66.444,SP16,"LINESTRING (13.7507454 37.5810477, 13.7509343 37.5809805, 13.7511491 37.5809382, 13.7514696 37.5808926)",,
499340766,Viale Peppe Sorce,tertiary,False,True,49.81999999999999,SP16,"LINESTRING (13.7507454 37.5810477, 13.7505118 37.581169, 13.7504028 37.5812416, 13.7502939 37.5813159)",,
499336484,Via Palermo,tertiary,False,False,13.759,SP16,"LINESTRING (13.7522337 37.5819884, 13.7523639 37.5820567)",,
559539216,,residential,False,False,75.71,,"LINESTRING (13.7522337 37.5819884, 13.7513761 37.5820295)",,
499336484,Via Palermo,tertiary,False,True,56.543,SP16,"LINESTRING (13.7522337 37.5819884, 13.7518075 37.581794, 13.7517447 37.5817747, 13.7516624 37.5817697)",,
499336484,Via Palermo,tertiary,False,False,12.041,SP16,"LINESTRING (13.7511161 37.58195, 13.7512149 37.5818752)",,
499503856,,residential,False,True,52.013000000000005,,"LINESTRING (13.7511161 37.58195, 13.7510509 37.5819126, 13.7505825 37.582072)",,
499336484,Via Palermo,tertiary,False,False,16.681,SP16,"LINESTRING (13.7532184 37.581503, 13.753186 37.5813552)",,
