osmid,oneway,name,highway,reversed,length,geometry,maxspeed,junction,lanes,tunnel,width
1148522302,True,Via Quattro Novembre,tertiary,False,14.264,"LINESTRING (11.4733976 45.5077202, 11.4732175 45.5076973)",,,,,
151149102,False,Via Quattro Novembre,tertiary,True,46.513,"LINESTRING (11.4733976 45.5077202, 11.4735974 45.5077944, 11.4739275 45.5079127)",,,,,
151107421,False,Via Guglielmo Marconi,tertiary,False,19.442,"LINESTRING (11.4700299 45.5082158, 11.4698338 45.5083239)",,,,,
60734544,False,Via Ernesto Monico,tertiary,False,177.54,"LINESTRING (11.4700299 45.5082158, 11.4699312 45.5080829, 11.4697346 45.5079279, 11.4696173 45.5078518, 11.469112 45.5075386, 11.4690568 45.5075115, 11.4682981 45.5072178)",30,,,,
151135991,False,Via Roma,tertiary,True,124.23,"LINESTRING (11.4700299 45.5082158, 11.4701159 45.5082095, 11.470256 45.5082233, 11.4704213 45.5082395, 11.4705062 45.5082507, 11.4706764 45.5082894, 11.4708263 45.5083546, 11.4714812 45.5086215)",,,,,
151135924,True,Via Firenze,tertiary,False,7.473000000000001,"LINESTRING (11.4732175 45.5076973, 11.473188 45.507706, 11.4731563 45.5077087, 11.4731247 45.5077053)",,roundabout,,,
468275371,True,Via Firenze,tertiary,False,14.120999999999999,"LINESTRING (11.4730515 45.5076605, 11.4730411 45.5076296, 11.4730482 45.5075982, 11.4730717 45.5075711, 11.4731082 45.5075523)",,roundabout,,,
1148522304,True,Via Firenze,unclassified,False,24.520000000000003,"LINESTRING (11.4731082 45.5075523, 11.4731772 45.5075006, 11.4733089 45.5073827)",,,,,
"[1148522305, 151135924]",True,Via Firenze,tertiary,False,17.202,"LINESTRING (11.4731082 45.5075523, 11.4731385 45.5075456, 11.4731703 45.5075449, 11.4732012 45.5075502, 11.4732367 45.5075656, 11.4732622 45.5075888, 11.4732745 45.5076168)",,roundabout,,,
151135924,True,Via Firenze,tertiary,False,2.905,"LINESTRING (11.4732745 45.5076168, 11.473273 45.5076429)",,roundabout,,,
30056416,False,Piazza della Libertà,residential,False,13.441,"LINESTRING (11.4650948 45.5128822, 11.4650766 45.512762)",,,2,,
30056416,False,Piazza della Libertà,residential,False,102.488,"LINESTRING (11.4650948 45.5128822, 11.4652508 45.5128773, 11.4652849 45.5132205, 11.4651167 45.5132317, 11.4650948 45.5128822)",,,2,,
30056416,False,Piazza della Libertà,residential,True,102.488,"LINESTRING (11.4650948 45.5128822, 11.4651167 45.5132317, 11.4652849 45.5132205, 11.4652508 45.5128773, 11.4650948 45.5128822)",,,2,,
34906352,False,Viale Morosini,tertiary,True,45.179,"LINESTRING (11.4667355 45.5118381, 11.4667521 45.5120977, 11.4667614 45.512244)",,,,,
496631971,False,Viale Morosini,tertiary,False,192.089,"LINESTRING (11.4667355 45.5118381, 11.4666751 45.5109745, 11.4666676 45.5108628, 11.466617 45.5101126)",,,,,
