osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,width,junction,tunnel
389953436,2,SS38,Via Stelvio,secondary,False,True,218.757,"LINESTRING (10.3681176 46.4726509, 10.3681748 46.472544, 10.3681767 46.4724612, 10.3681351 46.472405, 10.3680534 46.472353, 10.3679595 46.4723307, 10.3678643 46.472331, 10.367636 46.4724114, 10.3663074 46.47292, 10.3662163 46.4729473, 10.3661252 46.472956, 10.366005 46.4729329, 10.3659373 46.4729023)",,,,
537938632,,,Via Monte Braulio,residential,False,False,7.577,"LINESTRING (10.3681176 46.4726509, 10.3681606 46.4726641, 10.3682098 46.4726754)",30,,,
389953436,2,SS38,Via Stelvio,secondary,False,False,218.757,"LINESTRING (10.3659373 46.4729023, 10.366005 46.4729329, 10.3661252 46.472956, 10.3662163 46.4729473, 10.3663074 46.47292, 10.367636 46.4724114, 10.3678643 46.472331, 10.3679595 46.4723307, 10.3680534 46.472353, 10.3681351 46.472405, 10.3681767 46.4724612, 10.3681748 46.472544, 10.3681176 46.4726509)",,,,
469045636,2,SS38,Via Stelvio,secondary,False,True,30.917,"LINESTRING (10.3659373 46.4729023, 10.3658801 46.4728372, 10.3658649 46.4727624, 10.3658882 46.4726844, 10.3659125 46.4726407)",50,,,
469045636,2,SS38,Via Stelvio,secondary,False,False,30.917,"LINESTRING (10.3659125 46.4726407, 10.3658882 46.4726844, 10.3658649 46.4727624, 10.3658801 46.4728372, 10.3659373 46.4729023)",50,,,
469045637,2,SS38,Via Stelvio,secondary,False,True,146.487,"LINESTRING (10.3659125 46.4726407, 10.3663589 46.4717378, 10.3665089 46.4714826, 10.3665608 46.4714019)",50,,,
27109174,,,Via Santa Barbara,residential,False,False,76.53399999999999,"LINESTRING (10.3717981 46.4685482, 10.3714839 46.4685063, 10.3712526 46.4684483, 10.3708467 46.4683442)",,,,
37139860,,,Via San Lorenzo,unclassified,False,False,115.83699999999999,"LINESTRING (10.3717981 46.4685482, 10.3720098 46.4684846, 10.372321 46.4682482, 10.372531 46.4680967, 10.3726007 46.4680627, 10.372709 46.4680286, 10.3729941 46.4679454)",,,,
37197216,,,Via al Forte,unclassified,False,False,115.083,"LINESTRING (10.3717981 46.4685482, 10.3719171 46.4685657, 10.3719745 46.4685741, 10.3726406 46.4686886, 10.3732612 46.4687837)",,,,
277722620,2,SS38,Via Stelvio,secondary,False,False,76.63,"LINESTRING (10.3717981 46.4685482, 10.3717775 46.4686158, 10.3717273 46.4686959, 10.371623 46.4688055, 10.3713907 46.4690419, 10.3712914 46.469136)",50,,,
468795403,2,SS38,Via Milano,secondary,False,True,56.021,"LINESTRING (10.3717981 46.4685482, 10.371849 46.468361, 10.3718553 46.4682934, 10.3718542 46.4681308, 10.3718329 46.4680491)",50,,,
62116281,,,,unclassified,False,True,63.598,"LINESTRING (10.3718329 46.4680491, 10.3715812 46.4680258, 10.3710159 46.4679481)",,,,
370517295,,,Via San Vitale,unclassified,False,False,94.614,"LINESTRING (10.3718329 46.4680491, 10.3720207 46.467856, 10.3720949 46.4677569, 10.3722977 46.4675823, 10.3725008 46.4673991, 10.3725587 46.4673644)",,,,
397847629,2,SS38,Via Milano,secondary,False,True,96.00999999999999,"LINESTRING (10.3718329 46.4680491, 10.3717917 46.4679593, 10.371686 46.4677714, 10.3715716 46.467584, 10.3713615 46.4672495)",50,,,
468795403,2,SS38,Via Milano,secondary,False,False,56.021,"LINESTRING (10.3718329 46.4680491, 10.3718542 46.4681308, 10.3718553 46.4682934, 10.371849 46.468361, 10.3717981 46.4685482)",50,,,
819859713,,,Via Roma,residential,True,False,6.319,"LINESTRING (10.3714652 46.4665965, 10.37143 46.4666479)",,,,
32487361,2,SS300,Via Don Evaristo Peccedi,secondary,False,True,46.855000000000004,"LINESTRING (10.3714652 46.4665965, 10.3714044 46.4665928, 10.3713397 46.4665802, 10.3712734 46.4665524, 10.370953 46.4663808)",,,,
1087921682,2,SS300,Via Don Evaristo Peccedi,secondary,False,True,73.241,"LINESTRING (10.3714652 46.4665965, 10.3715138 46.4665872, 10.3716436 46.4665546, 10.3718352 46.4665026, 10.3723565 46.4663584)",,,,
25568794,,,Via Monte Braulio,residential,False,False,55.168,"LINESTRING (10.3706858 46.4715023, 10.3713952 46.471416)",30,,,
25568794,,,Via Monte Braulio,residential,False,True,21.775,"LINESTRING (10.3706858 46.4715023, 10.3704061 46.4715375)",30,,,
38330726,,,Via Rovinaccia,residential,False,False,25.727,"LINESTRING (10.3706858 46.4715023, 10.3707132 46.4717329)",,,,
37139864,,,Vicolo Piazzi,residential,True,False,66.994,"LINESTRING (10.3753208 46.4694002, 10.375166 46.4692123, 10.3749352 46.4690074, 10.3747839 46.4689346)",,,,
217363739,,,Via Vittoria,residential,False,False,68.62100000000001,"LINESTRING (10.3753208 46.4694002, 10.3754723 46.4692815, 10.3755865 46.4691768, 10.3759221 46.4689439)",,,,
1085839225,,,Via Monte Braulio,residential,False,True,83.771,"LINESTRING (10.3753208 46.4694002, 10.3753044 46.4694815, 10.3750991 46.4697418, 10.3748842 46.4699285, 10.3747337 46.4700178)",30,,,
73490012,,,Via al Forte,unclassified,False,False,7.331,"LINESTRING (10.376094 46.4687833, 10.3761897 46.4687819)",,,,
62142330,,,Via Giasone Foliani,residential,True,False,96.39,"LINESTRING (10.376094 46.4687833, 10.3760324 46.4684981, 10.376047 46.4682754, 10.3760574 46.468203, 10.3760773 46.4679205)",,,,
73490012,,,Via al Forte,unclassified,False,True,102.257,"LINESTRING (10.376094 46.4687833, 10.3755036 46.4688276, 10.3751861 46.4688505, 10.3749322 46.4688902, 10.3747839 46.4689346)",,,,
27108840,,,Via Roma,residential,False,False,5.614,"LINESTRING (10.3748652 46.4670744, 10.3747924 46.4670803)",,,,
27108840,,,Via Roma,residential,False,True,80.734,"LINESTRING (10.3748652 46.4670744, 10.3752779 46.4670721, 10.3755727 46.4670813, 10.3757842 46.4670888, 10.3758817 46.4670901, 10.3759043 46.4670907, 10.3759187 46.467091)",,,,
373870533,,,Vicolo Piave,residential,False,False,34.521,"LINESTRING (10.3748652 46.4670744, 10.3748333 46.4668903, 10.3747538 46.4668703, 10.3746625 46.4668479)",,,,
27108840,,,Via Roma,residential,False,True,11.336,"LINESTRING (10.3734803 46.467126, 10.3736282 46.467122)",,,,
27108840,,,Via Roma,residential,False,False,46.205,"LINESTRING (10.3734803 46.467126, 10.3732424 46.4671308, 10.3729667 46.4671493, 10.3728811 46.4671642)",,,,
