osmid,oneway,name,highway,reversed,length,geometry,lanes,bridge,junction,maxspeed
78800741,True,Via Circonvallazione B,residential,False,30.717999999999996,"LINESTRING (9.5544008 45.4065633, 9.5543554 45.4066049, 9.5542881 45.4066583, 9.5542194 45.406699, 9.5541015 45.4067329)",,,,
289015516,False,Via della Zecca,residential,False,122.21900000000001,"LINESTRING (9.5544008 45.4065633, 9.5544719 45.406584, 9.5545664 45.4066124, 9.5546364 45.4066589, 9.5546593 45.4067129, 9.5546728 45.4067854, 9.5546776 45.4072429, 9.5546905 45.4074237, 9.5547275 45.4075585)",,,,
289015516,False,Via della Zecca,residential,True,12.679,"LINESTRING (9.554767 45.4076691, 9.5547275 45.4075585)",,,,
934711675,True,Via della Zecca,residential,False,23.116,"LINESTRING (9.554767 45.4076691, 9.5549154 45.407849)",,,,
78797120,True,Via Circonvallazione D,residential,False,22.789,"LINESTRING (9.5497828 45.4040557, 9.5498361 45.4039576, 9.5499137 45.4038738)",,,,
289013985,False,Via Circonvallazione D,residential,True,75.886,"LINESTRING (9.5497828 45.4040557, 9.5497157 45.4041794, 9.5496505 45.4042571, 9.5495687 45.4043355, 9.5494679 45.4044067, 9.5493874 45.404451, 9.5492843 45.4045089, 9.5491625 45.4045564)",,,,
288970428,False,Via Milano,residential,True,42.056,"LINESTRING (9.5491625 45.4045564, 9.5489995 45.4045861, 9.5488202 45.4046067, 9.5486317 45.4046021)",,,,
289013985,False,Via Circonvallazione D,residential,False,75.886,"LINESTRING (9.5491625 45.4045564, 9.5492843 45.4045089, 9.5493874 45.404451, 9.5494679 45.4044067, 9.5495687 45.4043355, 9.5496505 45.4042571, 9.5497157 45.4041794, 9.5497828 45.4040557)",,,,
"[107688123, 1148284108]",True,Via Milano,residential,False,86.29,"LINESTRING (9.5491625 45.4045564, 9.549144 45.4046402, 9.5491656 45.4046912, 9.5492181 45.4047261, 9.5495098 45.4047867, 9.5497971 45.4048463, 9.550018 45.4048976)",1,,,
78812274,False,Via Palazzetto,residential,False,146.053,"LINESTRING (9.5483374 45.4081304, 9.5497462 45.408137, 9.5501352 45.4083121)",,,,
78812274,False,Via Palazzetto,residential,True,145.618,"LINESTRING (9.5483374 45.4081304, 9.547331 45.4081444, 9.5464728 45.408166)",,,,
"[289018482, 289018483, 78797118]",False,Via Virgilio,residential,True,126.257,"LINESTRING (9.5483374 45.4081304, 9.5484594 45.4074979, 9.5485037 45.4073343, 9.5485865 45.4070088)",,yes,,
78812294,False,Via della Vignola,residential,True,140.408,"LINESTRING (9.5454803 45.4069883, 9.5457466 45.4057395)",,,,
78812294,False,Via della Vignola,residential,False,134.00900000000001,"LINESTRING (9.5454803 45.4069883, 9.5454555 45.4071165, 9.5456618 45.4081825)",,,,
288973775,False,Via Francesco Petrarca,residential,True,70.053,"LINESTRING (9.5454803 45.4069883, 9.5461104 45.4069779, 9.5463774 45.4069734)",,,,
78797123,True,,residential,False,8.979,"LINESTRING (9.5500203 45.403793, 9.5500586 45.4037925, 9.5500955 45.4037999, 9.5501276 45.4038146)",,,roundabout,
289016753,True,Via Cesare Battisti,residential,False,57.411,"LINESTRING (9.5500203 45.403793, 9.5500332 45.4036692, 9.550067 45.4035529, 9.5501103 45.4034728, 9.5501875 45.4033951, 9.5502801 45.4033285)",,,,
78797118,False,Via Virgilio,residential,True,91.789,"LINESTRING (9.5485865 45.4070088, 9.5487454 45.4061909)",,,,
"[289018482, 289018483, 78797118]",False,Via Virgilio,residential,False,126.257,"LINESTRING (9.5485865 45.4070088, 9.5485037 45.4073343, 9.5484594 45.4074979, 9.5483374 45.4081304)",,yes,,
