osmid,oneway,name,highway,reversed,length,geometry,lanes,tunnel,junction,maxspeed
27192405,True,Via Adua,unclassified,False,15.053999999999998,"LINESTRING (9.2354937 45.5386145, 9.2355718 45.5385871, 9.2356765 45.5385758)",,,,
27655534,True,Viale Antonio Gramsci,secondary,False,123.062,"LINESTRING (9.2354937 45.5386145, 9.2355592 45.5386883, 9.2359812 45.5391283, 9.2363175 45.5394856, 9.2363654 45.5395375)",2,,,
140582860,True,Piazza Quattro Novembre,secondary,False,38.385,"LINESTRING (9.2312986 45.5345635, 9.2314083 45.5345318, 9.2315488 45.5345384, 9.2316645 45.5345562, 9.2317726 45.5345834)",,,,
186340802,True,Via Giuseppe Garibaldi,residential,False,116.77799999999999,"LINESTRING (9.2359902 45.5355745, 9.2359313 45.5355787, 9.2356019 45.5354909, 9.2352372 45.5354307, 9.2351463 45.5354207, 9.2350518 45.5354143, 9.2348758 45.5354264, 9.2348461 45.5354284, 9.2345304 45.535462)",2,,,
22885056,True,Via Piave,unclassified,False,17.941,"LINESTRING (9.234108 45.5355078, 9.2339503 45.5353902)",1,,,
"[15474154, 30833836, 27654829]",True,Via Giuseppe Garibaldi,"['unclassified', 'residential']",False,111.44800000000001,"LINESTRING (9.234108 45.5355078, 9.2340442 45.5355351, 9.2339893 45.5355492, 9.2335667 45.5356128, 9.2329936 45.5356625, 9.2328946 45.5356655, 9.2327059 45.5356702)",1,yes,,
15243084,True,Via Giuseppe Garibaldi,tertiary,False,63.148,"LINESTRING (9.2327059 45.5356702, 9.2325376 45.5356832, 9.2319791 45.53575, 9.2319063 45.5357622)",2,,,
"[140576476, 4907550]",True,"['Viale Antonio Gramsci', 'Piazza Quattro Novembre']",secondary,False,171.481,"LINESTRING (9.2327059 45.5356702, 9.2325791 45.5355829, 9.2322881 45.5352588, 9.2320902 45.5350443, 9.2317527 45.5346784, 9.2316954 45.5346456, 9.2316078 45.5346276, 9.2314991 45.5346147, 9.2313863 45.5345961, 9.2312986 45.5345635)","['1', '2']",,,
"[186340807, 186340806, 186340791]",True,Via Giuseppe Garibaldi,"['residential', 'unclassified']",False,109.57999999999997,"LINESTRING (9.2327059 45.5356702, 9.2328702 45.5356261, 9.2335152 45.535566, 9.2339296 45.535486, 9.2339513 45.5354694, 9.2339639 45.5354524, 9.2339641 45.5354209, 9.2339503 45.5353902)",1,yes,,
380148894,False,Viale Antonio Gramsci,secondary,False,19.8,"LINESTRING (9.2327059 45.5356702, 9.2327877 45.5357548, 9.232845 45.5358192)",2,,,
196204248,True,Via Giuseppe Mazzini,unclassified,False,10.991999999999999,"LINESTRING (9.2422768 45.5385981, 9.2423077 45.5385861, 9.2423422 45.538581, 9.2423773 45.5385832, 9.24241 45.5385925)",1,,roundabout,
28814108,True,Via Santa Giovanna d'Arco,residential,False,109.666,"LINESTRING (9.2380247 45.5380909, 9.2381239 45.5380435, 9.2384501 45.5378837, 9.2390469 45.5375623, 9.2391556 45.5375038)",2,,,
209110938,True,Piazza Armando Diaz,unclassified,False,31.619,"LINESTRING (9.2380247 45.5380909, 9.2379586 45.5380286, 9.2377821 45.5378629)",,,,
379943853,True,Piazza Armando Diaz,unclassified,False,26.279999999999998,"LINESTRING (9.2380247 45.5380909, 9.2379435 45.5381493, 9.2378286 45.5382124, 9.2377692 45.5382445)",1,,,
325437175,True,Via Zara,unclassified,False,51.573,"LINESTRING (9.2364857 45.5389923, 9.2365096 45.5394558)",2,,,
27192511,True,Via Zara,unclassified,False,28.031999999999996,"LINESTRING (9.2365096 45.5394558, 9.2365221 45.5395376, 9.2365339 45.5396143, 9.2365255 45.5397068)",1,,,
196204284,True,Via Zara,unclassified,False,14.494,"LINESTRING (9.2365096 45.5394558, 9.2364524 45.539495, 9.2363654 45.5395375)",2,,,
29331478,True,Via Davide Campari,residential,False,9.658,"LINESTRING (9.2363654 45.5395375, 9.2362634 45.5395869)",1,,,
27655534,True,Viale Antonio Gramsci,secondary,False,22.582,"LINESTRING (9.2363654 45.5395375, 9.2364195 45.539593, 9.2365255 45.5397068)",2,,,
15495356,True,Via Adua,unclassified,False,44.329,"LINESTRING (9.2351861 45.5383735, 9.2355104 45.5385073, 9.2355571 45.5385253, 9.2356765 45.5385758)",,,,
27655534,True,Viale Antonio Gramsci,secondary,False,36.021,"LINESTRING (9.2351861 45.5383735, 9.2354368 45.538557, 9.2354937 45.5386145)",2,,,
140582502,False,Viale Antonio Gramsci,secondary,True,337.57300000000004,"LINESTRING (9.2351861 45.5383735, 9.2347755 45.537942, 9.2343871 45.5375275, 9.2339839 45.5371102, 9.2337597 45.5368581, 9.2331617 45.5361855, 9.232845 45.5358192)",2,,,
27192931,True,Via Adua,unclassified,False,20.723,"LINESTRING (9.2363615 45.5388344, 9.2364208 45.5388755, 9.2364476 45.5389008, 9.2364606 45.5389131, 9.2364857 45.5389923)",1,,,
325437174,True,Via Santa Giovanna d'Arco,unclassified,False,26.331000000000003,"LINESTRING (9.2363615 45.5388344, 9.2364307 45.5388434, 9.236482 45.5388426, 9.2365342 45.538834, 9.2365847 45.538813, 9.236682 45.5387872)",1,,,
15495400,True,Via Santa Giovanna d'Arco,unclassified,False,28.819000000000003,"LINESTRING (9.236682 45.5387872, 9.2365233 45.5388886, 9.2364939 45.5389308, 9.2364857 45.5389923)",1,,,
"[27655052, 27655053, 26272806]",False,Via Santa Giovanna d'Arco,unclassified,False,61.27,"LINESTRING (9.236682 45.5387872, 9.2367594 45.538747, 9.2371265 45.5385539, 9.2373106 45.5384559)",2,yes,,
28814108,True,Via Santa Giovanna d'Arco,residential,False,68.001,"LINESTRING (9.2409802 45.5365945, 9.241015 45.5365394, 9.2413333 45.5360352)",2,,,
51730597,False,Via Alessandro Volta,residential,False,75.70700000000001,"LINESTRING (9.2409802 45.5365945, 9.241052 45.5366179, 9.2418615 45.5368817)",2,,,
191690023,True,Viale Italia,primary,False,83.51,"LINESTRING (9.2427385 45.5340996, 9.2428784 45.5342426, 9.2432149 45.534566, 9.2433642 45.5347094)",2,,,
196204235,True,Via Generale Cantore,tertiary,False,14.85,"LINESTRING (9.2438806 45.5352161, 9.2436921 45.5352361)",,,,
27459180,True,Via Piave,residential,False,30.572999999999997,"LINESTRING (9.2328223 45.5342982, 9.232803 45.5342322, 9.2328008 45.5342097, 9.2328018 45.5341833, 9.2328072 45.5341617, 9.2328148 45.5341384, 9.2328246 45.5341194, 9.2328377 45.5341011, 9.2328511 45.5340886, 9.2328685 45.534078, 9.2328923 45.534068, 9.2329184 45.5340579)",1,,,
186489047,True,Via Piave,residential,False,52.479,"LINESTRING (9.2328223 45.5342982, 9.2325056 45.5339878, 9.2324306 45.5339142)",2,,,
15474479,True,Via Fante d'Italia,unclassified,False,111.736,"LINESTRING (9.2365203 45.5346499, 9.2364807 45.5347316, 9.2363965 45.5349055, 9.2363437 45.5350045, 9.2362394 45.5352001, 9.2360911 45.5354783, 9.2360285 45.5355607, 9.2359902 45.5355745)",1,,,
51729298,True,Via Cesare da Sesto,living_street,False,34.563,"LINESTRING (9.2365203 45.5346499, 9.2366231 45.5346483, 9.2369639 45.5346419)",1,,,20
209110937,False,Via Dante Alighieri,residential,False,75.65899999999999,"LINESTRING (9.2374474 45.5368971, 9.2374369 45.5368226, 9.2374841 45.5367305, 9.237547 45.5366045, 9.237618 45.536464, 9.2377091 45.5363099, 9.2377177 45.5362786, 9.2377191 45.5362521)",2,,,
240953197,True,Via Giorgio Enrico Falck,residential,False,34.274,"LINESTRING (9.2374474 45.5368971, 9.2376598 45.5369778, 9.2378387 45.5370379)",1,,,
51729294,True,Via Barnaba Oriani,residential,False,49.27499999999999,"LINESTRING (9.2384533 45.5337949, 9.2383485 45.5337741, 9.2382936 45.5337643, 9.2381952 45.5337582, 9.23801 45.5337466, 9.2379441 45.5337291, 9.237886 45.5337024, 9.2378506 45.5336861)",1,,,
434851484,True,Via Cavour,residential,False,18.543,"LINESTRING (9.2384533 45.5337949, 9.2384893 45.533693, 9.2385189 45.5336348)",1,,,
25941315,True,Viale Italia,primary,False,79.945,"LINESTRING (9.2425909 45.5341742, 9.242006 45.5335834)",2,,,
28814108,True,Via Santa Giovanna d'Arco,residential,False,14.177,"LINESTRING (9.2425909 45.5341742, 9.2427385 45.5340996)",2,,,
36895015,True,Viale Rimembranze,tertiary,False,14.067,"LINESTRING (9.2401873 45.5318047, 9.2402423 45.5316842)",,,,
191704659,True,Piazza della Repubblica,residential,False,28.613,"LINESTRING (9.2329036 45.5336573, 9.2329129 45.5336942, 9.2329158 45.5337138, 9.2329164 45.5337366, 9.2329151 45.533755, 9.2329116 45.5337766, 9.2329052 45.5337958, 9.23289 45.5338303, 9.2328725 45.5338664, 9.2328474 45.5339059)",2,,roundabout,
186489045,True,Piazza della Repubblica,residential,False,20.924,"LINESTRING (9.2324306 45.5339142, 9.2324016 45.5338849, 9.2322711 45.5337628)",2,,roundabout,
25941318,True,Piazza della Repubblica,residential,False,25.671,"LINESTRING (9.2323922 45.5335667, 9.2325134 45.53357, 9.2326179 45.533574, 9.2327214 45.5335774)",2,,roundabout,
25941319,True,Via Domenico Fiorani,residential,False,117.746,"LINESTRING (9.2327214 45.5335774, 9.2327317 45.5334607, 9.2328099 45.5325872, 9.2328145 45.5325205)",1,,,
