osmid,name,highway,oneway,reversed,length,geometry,bridge,tunnel,junction
39389800,Via Emanuele Filiberto,tertiary,False,False,40.999,"LINESTRING (14.8791485 37.2291745, 14.879058 37.2288129)",,,
213446189,Via Giovanni Bovio,residential,False,True,14.076,"LINESTRING (14.8791485 37.2291745, 14.879305 37.2291968)",,,
333932907,Via Mario Rapisardi,residential,False,False,17.03,"LINESTRING (14.8791485 37.2291745, 14.8789577 37.2291551)",,,
39389800,Via Emanuele Filiberto,tertiary,False,True,48.754000000000005,"LINESTRING (14.8791485 37.2291745, 14.8791866 37.2293301, 14.8792149 37.229444, 14.8792654 37.2296028)",,,
81943113,Via Galileo Galilei,residential,False,False,20.422,"LINESTRING (14.8787189 37.2266186, 14.8784883 37.2266228)",,,
333640139,Via Emanuele Filiberto,tertiary,True,False,8.306,"LINESTRING (14.8787189 37.2266186, 14.8787184 37.2266933)",,,
80723572,Via Marmolada,residential,False,False,82.661,"LINESTRING (14.8836791 37.2264981, 14.8846127 37.2264958)",,,
80723572,Via Marmolada,residential,False,True,51.813,"LINESTRING (14.8836791 37.2264981, 14.8830939 37.2264995)",,,
80723653,Via Monfalcone,residential,True,False,23.509,"LINESTRING (14.8836791 37.2264981, 14.8836829 37.2267095)",,,
80723535,Via Commendator Francesco Belfiore,tertiary,False,False,52.121,"LINESTRING (14.8837006 37.22765, 14.8836289 37.2276412, 14.8831188 37.2275785)",,,
80723535,Via Commendator Francesco Belfiore,tertiary,False,True,81.488,"LINESTRING (14.8837006 37.22765, 14.8837877 37.2276609, 14.8846098 37.2277639)",,,
80723653,Via Monfalcone,residential,True,False,29.77,"LINESTRING (14.8837006 37.22765, 14.8837015 37.2277048, 14.8837051 37.2279177)",,,
80723632,Via dei Villini,residential,False,False,20.887,"LINESTRING (14.8840344 37.2270804, 14.8842703 37.2270792)",,,
80723632,Via dei Villini,residential,False,True,30.538,"LINESTRING (14.8840344 37.2270804, 14.8836895 37.2270822)",,,
80723647,Traversa Nicola Ricciotti,residential,False,False,19.982,"LINESTRING (14.8840344 37.2270804, 14.8840329 37.2269007)",,,
80723519,Via dei Martiri,residential,True,False,44.967,"LINESTRING (14.8846098 37.2277639, 14.884609 37.2273595)",,,
80723535,Via Commendator Francesco Belfiore,tertiary,False,False,81.488,"LINESTRING (14.8846098 37.2277639, 14.8837877 37.2276609, 14.8837006 37.22765)",,,
80723535,Via Commendator Francesco Belfiore,tertiary,False,True,54.211999999999996,"LINESTRING (14.8846098 37.2277639, 14.8851249 37.2278278, 14.8852148 37.227839)",,,
80723521,Via Giuseppe Cesare Abba,residential,False,True,51.663,"LINESTRING (14.8831028 37.2269056, 14.8836863 37.2269025)",,,
80723544,Via Luigi Rizzo,residential,False,False,21.831,"LINESTRING (14.8831028 37.2269056, 14.8830985 37.2267093)",,,
80723544,Via Luigi Rizzo,residential,False,True,19.985,"LINESTRING (14.8831028 37.2269056, 14.8831068 37.2270853)",,,
80723519,Via dei Martiri,residential,True,False,8.152,"LINESTRING (14.884611 37.2267099, 14.8846125 37.2266366)",,,
80723609,Via Giuseppe La Farina,residential,False,True,30.44,"LINESTRING (14.884611 37.2267099, 14.8842672 37.2267098)",,,
80723544,Via Luigi Rizzo,residential,False,True,24.222,"LINESTRING (14.8830891 37.2262817, 14.8830939 37.2264995)",,,
80723654,Via Volturno,residential,False,False,51.903,"LINESTRING (14.8830891 37.2262817, 14.8836753 37.2262844)",,,
80723544,Via Luigi Rizzo,residential,False,False,19.985,"LINESTRING (14.8831068 37.2270853, 14.8831028 37.2269056)",,,
80723544,Via Luigi Rizzo,residential,False,True,17.171,"LINESTRING (14.8831068 37.2270853, 14.8831102 37.2272397)",,,
80723632,Via dei Villini,residential,False,False,51.592,"LINESTRING (14.8831068 37.2270853, 14.8836895 37.2270822)",,,
291494458,Via Regione Siciliana,tertiary,False,True,20.09,"LINESTRING (14.8847448 37.2305162, 14.8847548 37.2303357)",,,
291494458,Via Regione Siciliana,tertiary,False,False,99.345,"LINESTRING (14.8847448 37.2305162, 14.8847807 37.2308633, 14.8847905 37.2309901, 14.8848144 37.2311083, 14.8848881 37.2312415, 14.8849582 37.2313095, 14.8850141 37.2313567)",,,
334059248,,residential,False,True,15.283,"LINESTRING (14.8847448 37.2305162, 14.884619 37.2305166, 14.8845769 37.2305003)",,,
80723544,Via Luigi Rizzo,residential,False,False,23.332,"LINESTRING (14.8830985 37.2267093, 14.8830939 37.2264995)",,,
80723544,Via Luigi Rizzo,residential,False,True,21.831,"LINESTRING (14.8830985 37.2267093, 14.8831028 37.2269056)",,,
