osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,junction,access
"[24059091, 30423678]",True,"['Via Furio Anziate', 'Riviera Vittorio Mallozzi']",residential,False,215.50199999999998,"LINESTRING (12.6227357 41.4459581, 12.6227195 41.4459119, 12.6227034 41.4458661, 12.6226913 41.4458348, 12.6226763 41.4458022, 12.6226603 41.4457699, 12.6226491 41.4457494, 12.6225949 41.4456621, 12.6225732 41.4456235, 12.6225562 41.4455859, 12.6225436 41.4455474, 12.6225357 41.44551, 12.6225116 41.4453556, 12.6231329 41.4453192, 12.6234115 41.4453043, 12.6239326 41.4452746, 12.6242525 41.4452617)",,,,
31014089,False,Via del Faro,tertiary,False,68.539,"LINESTRING (12.6227357 41.4459581, 12.6228641 41.4459308, 12.622953 41.4459137, 12.6230465 41.4458971, 12.6231404 41.4458807, 12.6232179 41.445868, 12.6232957 41.4458555, 12.6233897 41.4458421, 12.6235379 41.4458248)",2,50,,
31014089,False,Via del Faro,tertiary,True,71.201,"LINESTRING (12.6251462 41.4457136, 12.6249963 41.445713, 12.6248458 41.4457144, 12.6247075 41.4457186, 12.6245684 41.4457247, 12.6242932 41.4457412)",2,50,,
44658044,True,Via del Faro,tertiary,False,40.835,"LINESTRING (12.6251462 41.4457136, 12.6254376 41.4457206, 12.6254974 41.4457231, 12.6255511 41.4457273, 12.6256018 41.4457321, 12.6256346 41.4457368)",1,50,,
24059059,False,Viale Claudio Paolini,tertiary,False,33.136,"LINESTRING (12.6295553 41.4515601, 12.6296964 41.4512815)",2,50,,
24059071,True,,tertiary,False,6.2330000000000005,"LINESTRING (12.6259802 41.4458543, 12.6259913 41.4458231, 12.626008 41.4458029)",1,50,roundabout,
30423843,True,Via del Faro,tertiary,False,71.289,"LINESTRING (12.6259802 41.4458543, 12.6258894 41.4458333, 12.6257258 41.4458031, 12.625601 41.4457826, 12.6255058 41.445767, 12.6251462 41.4457136)",1,50,,
24059071,True,,tertiary,False,2.594,"LINESTRING (12.626008 41.4458029, 12.626033 41.445789)",1,50,roundabout,
24059089,False,Via del Faro,residential,False,10.221,"LINESTRING (12.6262016 41.4458536, 12.6263176 41.4458834)",,,,
24059071,True,,tertiary,False,5.915,"LINESTRING (12.6262016 41.4458536, 12.6261969 41.445881, 12.6261841 41.4459047)",1,50,roundabout,
24059083,False,Piazza Giovanni Pollastrini,tertiary,True,8.728,"LINESTRING (12.6261841 41.4459047, 12.6262606 41.4459583)",2,50,,
