osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction,bridge,tunnel
585081345,Strada per Pianazzola,residential,False,True,33.314,"LINESTRING (9.3999109 46.3227003, 9.399787 46.3227298, 9.3996504 46.3226964, 9.3996305 46.3227155, 9.3996453 46.3227813, 9.3996453 46.3228002)",,,,,,
1085583290,Viale Maloggia,primary,False,True,76.875,"LINESTRING (9.3999109 46.3227003, 9.3990776 46.3223752, 9.3990386 46.3223611)",2,SS37,50,,,
1085583291,Viale Maloggia,primary,False,False,14.836,"LINESTRING (9.3999109 46.3227003, 9.4000021 46.3227357, 9.400081 46.3227635)",2,SS37,50,,,
995436327,Corso Risorgimento,unclassified,True,False,8.384,"LINESTRING (9.3999375 46.3184922, 9.4000396 46.3185189)",,,,,,
71286036,Piazza Giuseppe Verdi,primary,True,False,12.546,"LINESTRING (9.3999375 46.3184922, 9.3999463 46.3185197, 9.3999421 46.3185478, 9.3999252 46.3185735, 9.3998975 46.3185942)",,SS36,,roundabout,,
995436326,Corso Risorgimento,unclassified,True,False,25.362,"LINESTRING (9.4002248 46.3185638, 9.3998975 46.3185942)",,,,,,
71079963,Corso Risorgimento,unclassified,False,False,134.67899999999997,"LINESTRING (9.4002248 46.3185638, 9.4009811 46.3186559, 9.4016759 46.3187408, 9.4019517 46.3187748)",,,,,,
71079963,Corso Risorgimento,unclassified,False,True,121.616,"LINESTRING (9.4045692 46.3198503, 9.4044826 46.3197832, 9.4042415 46.3195962, 9.4041563 46.3195224, 9.4038368 46.3192457, 9.4036359 46.3190897, 9.4035274 46.3190291)",,,,,,
122050117,Viale Giacomo Matteotti,residential,False,True,121.41399999999999,"LINESTRING (9.4045692 46.3198503, 9.4044606 46.3199396, 9.4041536 46.3201937, 9.4035496 46.3206848)",,,,,,
"[34912408, 1085583292, 103519598]","['Via Paolo Bossi', 'Ponte di San Giovanni', 'Piazza Rodolfo Pestalozzi']",living_street,False,"[False, True]",80.32900000000001,"LINESTRING (9.4009899 46.3200699, 9.4009333 46.3201063, 9.4008681 46.3201387, 9.400837 46.3201462, 9.4005537 46.3201868, 9.4003677 46.3202093, 9.4002504 46.3202184, 9.4001115 46.3202307, 9.4000027 46.3202643)",,,,,yes,
"[995436321, 300703606]","['Via Carlo Pedretti', 'Piazza Rodolfo Pestalozzi']",living_street,False,False,96.839,"LINESTRING (9.4009899 46.3200699, 9.4008109 46.3199722, 9.4006136 46.319852, 9.4004908 46.3197067, 9.4004807 46.3196951, 9.4003287 46.3195119, 9.4002885 46.319376)",,,,,,
"[1085583289, 442572289]","['Via Francesco Dolzino', 'Piazza Rodolfo Pestalozzi']",living_street,False,"[False, True]",77.55600000000001,"LINESTRING (9.4009899 46.3200699, 9.4010665 46.320109, 9.4011296 46.3201516, 9.4011549 46.3201667, 9.4013583 46.3202881, 9.4016063 46.3204352, 9.4016529 46.3204628, 9.4017219 46.3205037, 9.401756 46.3205239)",,,,,,
71079961,Via Paolo Bossi,living_street,False,False,21.267,"LINESTRING (9.3997616 46.3203584, 9.4000027 46.3202643)",,,,,,
71079961,Via Paolo Bossi,living_street,False,True,6.4879999999999995,"LINESTRING (9.3997616 46.3203584, 9.3997735 46.3203863, 9.399769 46.3204154)",,,,,,
993737815,Via Santa Rosalia,living_street,False,False,107.225,"LINESTRING (9.3997616 46.3203584, 9.3996049 46.3202345, 9.399412 46.3201281, 9.3992932 46.3200879, 9.3992047 46.3200538, 9.39911 46.3200158, 9.3990022 46.3199565, 9.3989141 46.3199287, 9.3988227 46.3199039, 9.3987198 46.3198442, 9.3986592 46.3197886)",,,,,,
103519550,Via ai Raschi,residential,False,False,34.792,"LINESTRING (9.3955267 46.3172653, 9.3953284 46.3171287, 9.3952293 46.3170308)",,,,,,
