osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,tunnel
189694270,2,SS29,Via Torino,primary,50,False,False,115.301,"LINESTRING (7.7403925 44.9842234, 7.7402766 44.9842414, 7.7402659 44.9842431, 7.7402367 44.9842466, 7.7400411 44.9842652, 7.7399011 44.9842714, 7.7393318 44.9842783, 7.7390277 44.9842721, 7.7389322 44.9842701)",,
372522138,,,Viale della Resistenza,residential,,False,False,51.706,"LINESTRING (7.7403925 44.9842234, 7.7404109 44.984275, 7.7404324 44.9843354, 7.7404664 44.9844308, 7.7405532 44.9846743)",,
410012470,2,SS29,Via Torino,primary,50,False,True,127.032,"LINESTRING (7.7403925 44.9842234, 7.7405287 44.9842041, 7.7412781 44.9840943, 7.741369 44.98408, 7.7414917 44.9840519, 7.7416044 44.9840112, 7.7418993 44.9838623)",,
594133123,2,SS29,Via Torino,primary,30,False,False,36.515,"LINESTRING (7.7493059 44.9811266, 7.7488582 44.9812135)",,
49429124,,,Via Esperanto,residential,,False,False,132.797,"LINESTRING (7.7493059 44.9811266, 7.7493204 44.9811658, 7.7493272 44.9811952, 7.7493472 44.9813373, 7.7493413 44.9815102, 7.7492934 44.9817034, 7.7492443 44.9818318, 7.7490674 44.9822942)",,
594133123,2,SS29,Via Torino,primary,30,False,True,44.681,"LINESTRING (7.7493059 44.9811266, 7.7494781 44.9810804, 7.7495698 44.9810453, 7.7497921 44.9809253)",,
460075557,,,,residential,,True,False,10.545,"LINESTRING (7.7424622 44.9817151, 7.7424549 44.9817295, 7.7424347 44.9817483, 7.742406 44.9817621, 7.7423642 44.9817726)",roundabout,
777649824,,,Via Ventiquattro Maggio,residential,,False,True,65.08500000000001,"LINESTRING (7.7424622 44.9817151, 7.7431303 44.9816515, 7.7432266 44.9816426, 7.7432824 44.9816375)",,
178168335,,,Via Cesare Battisti,residential,,False,False,28.856,"LINESTRING (7.7410929 44.9816774, 7.7410047 44.9814255)",,
178168335,,,Via Cesare Battisti,residential,,False,True,35.829,"LINESTRING (7.7410929 44.9816774, 7.7411448 44.9819445, 7.7411529 44.9819968)",,
460075556,,,Via Ventiquattro Maggio,residential,,False,True,90.404,"LINESTRING (7.7410929 44.9816774, 7.7415588 44.9817008, 7.7419911 44.9817226, 7.7422397 44.9817318)",,
178168335,,,Via Cesare Battisti,residential,,False,True,28.856,"LINESTRING (7.7410047 44.9814255, 7.7410929 44.9816774)",,
38321118,,,Via Ventiquattro Maggio,residential,,False,False,78.131,"LINESTRING (7.7410047 44.9814255, 7.7405032 44.9814557, 7.7400159 44.9814924)",,
178168335,,,Via Cesare Battisti,residential,,False,False,43.67999999999999,"LINESTRING (7.7410047 44.9814255, 7.7408901 44.9810874, 7.740873 44.9810439)",,
203445216,,,Via Evangelista Torricelli,residential,,True,False,37.317,"LINESTRING (7.7403613 44.9797331, 7.7407377 44.9795288)",,
203615615,,,Via Cesare Battisti,residential,,False,False,53.616,"LINESTRING (7.7403613 44.9797331, 7.7400991 44.9793068, 7.7400858 44.9792923)",,
203615623,,,Via Cesare Battisti,residential,,True,False,73.729,"LINESTRING (7.7403613 44.9797331, 7.7404854 44.9798116, 7.7405686 44.9799121, 7.7406218 44.9800104, 7.7406299 44.9802001, 7.7406722 44.9803305)",,
24166453,,,Via Cesare Battisti,residential,,True,False,104.727,"LINESTRING (7.7418993 44.9838623, 7.7417976 44.9837174, 7.7416497 44.9833088, 7.7414498 44.9829796)",,
49589828,,,Via Giuseppe Romita,residential,,False,False,69.377,"LINESTRING (7.7418993 44.9838623, 7.7419357 44.9838993, 7.742403 44.9843745)",,
410012470,2,SS29,Via Torino,primary,50,False,False,127.032,"LINESTRING (7.7418993 44.9838623, 7.7416044 44.9840112, 7.7414917 44.9840519, 7.741369 44.98408, 7.7412781 44.9840943, 7.7405287 44.9842041, 7.7403925 44.9842234)",,
