osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,tunnel,maxspeed,bridge,access,width,junction,est_width
37736273,2,SP109,Via Fratelli Divina,secondary,False,False,69.921,"LINESTRING (11.4605097 46.0522319, 11.4596317 46.0520766)",,,,,,,
"[37736273, 93614572]",2,SP109,"['Via Hippoliti', 'Via Fratelli Divina']",secondary,False,True,18.966,"LINESTRING (11.4605097 46.0522319, 11.4606196 46.0522536, 11.4607467 46.052277)",,,,,,,
47130764,,,Via Francesco Corradi,residential,False,True,44.029,"LINESTRING (11.4605097 46.0522319, 11.4604532 46.0522534, 11.4604329 46.0522611, 11.4600533 46.0524447, 11.4600364 46.0524525)",,,,,,,
39338917,,,Via Puisle,residential,False,True,76.997,"LINESTRING (11.4513631 46.0508647, 11.4514103 46.0508621, 11.4514826 46.0508581, 11.451538 46.0508623, 11.4515882 46.0508789, 11.4516425 46.050909, 11.4517485 46.0509804, 11.4518631 46.0510829, 11.4519294 46.0511678, 11.4519631 46.0512418, 11.451976 46.0513186)",,,,,,,
42610377,,SP244,Via Puisle,secondary,False,False,40.298,"LINESTRING (11.4513631 46.0508647, 11.451285 46.0507608, 11.4512089 46.0506982, 11.4511153 46.0506484, 11.4510133 46.0506081)",,,,,,,
"[224272176, 42610377, 42610378]",,"['SP244', 'SP224']",Via Puisle,secondary,False,"[False, True]",160.24199999999996,"LINESTRING (11.4513631 46.0508647, 11.4513742 46.0509059, 11.451394 46.0509789, 11.4514398 46.051568, 11.4514612 46.0518682, 11.4513515 46.052273, 11.4513539 46.0522954)",yes,,,,,,
39338917,,,Via Puisle,residential,False,False,33.312000000000005,"LINESTRING (11.4521683 46.0515267, 11.4521076 46.0515291, 11.4520804 46.0515291, 11.4520547 46.0515232, 11.4520329 46.0515119, 11.4519982 46.0514692, 11.4519834 46.0514212, 11.451976 46.0513186)",,,,,,,
42610377,,SP244,Via Puisle,secondary,False,True,40.298,"LINESTRING (11.4510133 46.0506081, 11.4511153 46.0506484, 11.4512089 46.0506982, 11.451285 46.0507608, 11.4513631 46.0508647)",,,,,,,
422980720,,,Via Armentera,unclassified,False,True,131.25300000000001,"LINESTRING (11.4510133 46.0506081, 11.4510331 46.0505597, 11.4510491 46.0505217, 11.4511071 46.0502592, 11.4511577 46.0500203, 11.4511607 46.049954, 11.4511589 46.049896, 11.4511406 46.0498348, 11.4511116 46.0497825, 11.4510759 46.0497315, 11.451013 46.0496633, 11.4509535 46.0496185, 11.4509009 46.0495907, 11.4508559 46.0495704, 11.4508223 46.0495577, 11.4507784 46.0495471)",,,,,,,
"[149071169, 88678506]",,,Via Fratelli,residential,False,False,30.232999999999997,"LINESTRING (11.4578337 46.0536204, 11.4578548 46.053495, 11.4578672 46.0534639, 11.4578998 46.0534225, 11.4579257 46.0533588)",,,,,,,
