osmid,name,highway,oneway,reversed,length,geometry,bridge,ref,width,maxspeed,lanes,junction
15805207,Viale alla Madonna,tertiary,False,False,82.458,"LINESTRING (9.1345127 45.7356586, 9.1338149 45.7362178)",,,,,,
60256366,Viale alla Madonna,tertiary,True,False,23.5,"LINESTRING (9.1345127 45.7356586, 9.1345578 45.7355754, 9.1345766 45.7355379, 9.1346282 45.7354635)",,,,,,
15805207,Viale alla Madonna,tertiary,False,True,65.57,"LINESTRING (9.1332599 45.7366624, 9.1338149 45.7362178)",,,,,,
200486967,Viale alla Madonna,tertiary,True,False,13.921000000000001,"LINESTRING (9.1332599 45.7366624, 9.1331953 45.7367211, 9.1331711 45.7367454, 9.1331515 45.7367621)",,,,,,
27354472,Via Vittorio Vergani,tertiary,False,False,37.706,"LINESTRING (9.1292747 45.743648, 9.1292763 45.7439871)",,,,,,
201153373,Via Vittorio Vergani,tertiary,True,False,28.375,"LINESTRING (9.1292747 45.743648, 9.129277 45.7434575, 9.1292846 45.743432, 9.1293071 45.7433967)",,,,,,
27354472,Via Vittorio Vergani,tertiary,False,True,4.797,"LINESTRING (9.129279 45.7440302, 9.1292763 45.7439871)",,,,,,
478575982,Piazza Sirtori,residential,True,False,21.882,"LINESTRING (9.1270312 45.740959, 9.1267898 45.7410607)",,,,,,
99702065,Piazza Giuseppe Garibaldi,tertiary,True,False,31.546,"LINESTRING (9.1288545 45.7393014, 9.1285888 45.7395161)",,,,,,
99702064,Piazza Giuseppe Garibaldi,tertiary,True,False,49.448,"LINESTRING (9.1288545 45.7393014, 9.1290934 45.7392197, 9.1294389 45.7391251)",,,,,,
1187042770,Via Cavour,residential,False,True,10.48,"LINESTRING (9.1274243 45.7375906, 9.1275057 45.7375154)",,,,,,
"[191454460, 27354558, 191454495]",,secondary,True,False,73.393,"LINESTRING (9.1274243 45.7375906, 9.1271375 45.7374177, 9.1270266 45.7373508, 9.1267087 45.7371591)",yes,,,,,
70741939,Via Roma,tertiary,True,False,131.672,"LINESTRING (9.1274243 45.7375906, 9.127796 45.7377978, 9.1279076 45.7379074, 9.1280278 45.738047, 9.1281637 45.7382906, 9.1282946 45.7385251, 9.1283063 45.7385461, 9.1283074 45.7385481, 9.1283163 45.738564)",,,,,,
27354651,Corso Unità d'Italia,secondary,True,False,128.257,"LINESTRING (9.1257408 45.7366083, 9.1244753 45.7358665)",,SP35,,,,
39344969,Via Unione,residential,True,False,106.995,"LINESTRING (9.1257408 45.7366083, 9.1253179 45.736974, 9.1246881 45.7371956)",,,,,,
72516629,Via Unione,secondary,True,False,97.176,"LINESTRING (9.1257408 45.7366083, 9.1259755 45.7364386, 9.1262974 45.7362364, 9.1266595 45.7360153)",,,,,,
97396876,Via Cesare Battisti,tertiary,True,False,170.84,"LINESTRING (9.1332043 45.7386444, 9.1352452 45.7380686)",,,,,,
70741935,Via Alberto da Giussano,tertiary,True,False,179.36100000000002,"LINESTRING (9.1332043 45.7386444, 9.1331754 45.7385113, 9.1330655 45.7377138, 9.1329921 45.7372507, 9.1329585 45.7370407)",,,5,,,
99702062,Piazza Giuseppe Garibaldi,tertiary,False,True,21.806,"LINESTRING (9.1285888 45.7395161, 9.1286697 45.7397039)",,,,,,
35829832,Via Alessandro Manzoni,tertiary,True,False,43.686,"LINESTRING (9.1285888 45.7395161, 9.1285034 45.7395219, 9.1283144 45.7395355, 9.128029 45.7395574)",,,,,,
429576223,Via Damiani,secondary,True,False,15.452,"LINESTRING (9.127484 45.7365427, 9.1273437 45.7366413)",,SP35,,,,
27354651,Corso Unità d'Italia,secondary,True,False,96.92899999999999,"LINESTRING (9.1267087 45.7371591, 9.1266035 45.737095, 9.1257408 45.7366083)",,SP35,,,,
