osmid,oneway,lanes,ref,name,highway,reversed,length,junction,geometry,tunnel,access,maxspeed
295379591,True,2,SS7ter,Viale Nino Di Palma Medaglia d'Oro,primary,False,8.398,,"LINESTRING (18.0241487 40.3986047, 18.0241913 40.3985365)",,,
295379593,False,2,SS7ter,Viale Nino Di Palma Medaglia d'Oro,primary,False,57.862,,"LINESTRING (18.0241487 40.3986047, 18.0237524 40.3990286)",,,
38714610,True,,SS7ter,,primary,False,6.515000000000001,roundabout,"LINESTRING (18.0213108 40.4018585, 18.0212901 40.4018832, 18.0212614 40.4019027)",,,
38714610,True,,SS7ter,,primary,False,9.975999999999999,roundabout,"LINESTRING (18.0211055 40.4019014, 18.0210768 40.401881, 18.0210568 40.4018553, 18.021047 40.4018263)",,,
43779825,True,2,SS7ter,,primary,False,14.331,,"LINESTRING (18.0211055 40.4019014, 18.0210051 40.4019211, 18.0209422 40.4019352)",,,
38714610,True,,SS7ter,,primary,False,3.26,roundabout,"LINESTRING (18.021047 40.4018263, 18.0210482 40.401797)",,,
38714609,True,2,SS7ter,,primary,False,27.667,,"LINESTRING (18.0207912 40.4019811, 18.021047 40.4018263)",,,
53513624,False,2,SS7ter,,primary,False,111.03899999999999,,"LINESTRING (18.0207912 40.4019811, 18.0206493 40.4020435, 18.0199443 40.4023445, 18.0196457 40.4024671)",,,
38714610,True,,SS7ter,,primary,False,10.678,roundabout,"LINESTRING (18.0211795 40.4017095, 18.0212212 40.4017132, 18.0212596 40.4017263, 18.0212911 40.4017475)",,,
295379587,True,2,SS7ter,Viale Nino Di Palma Medaglia d'Oro,primary,False,26.311,,"LINESTRING (18.0211795 40.4017095, 18.0212723 40.4016531, 18.0214075 40.4015493)",,,
75129984,False,,,Via Diaz,unclassified,True,49.004,,"LINESTRING (18.0217623 40.3941268, 18.0212974 40.3943892)",,,
261104019,False,,,Via Diaz,unclassified,False,33.942,,"LINESTRING (18.0217623 40.3941268, 18.0219133 40.3940531, 18.0220531 40.3941839)",,,
295379595,False,2,,Corso Italia,unclassified,True,35.325,,"LINESTRING (18.0228239 40.3970963, 18.0231219 40.3973186)",,,
295379595,False,2,,Corso Italia,unclassified,False,121.53999999999999,,"LINESTRING (18.0228239 40.3970963, 18.0219399 40.3964267, 18.0218063 40.3963255)",,,
474619437,False,,,Via Pirelli,residential,False,63.016000000000005,,"LINESTRING (18.0228239 40.3970963, 18.022884 40.3970628, 18.0234243 40.3967615)",,,
