osmid,name,highway,oneway,reversed,length,tunnel,lanes,geometry,ref,width
"[37896874, 37896944, 696211158, 205589882, 681748156, 681995165]",Via Cristoforo Colombo,tertiary,False,False,617.4520000000001,yes,2,"LINESTRING (13.85598 40.7360734, 13.8558287 40.7362327, 13.8557742 40.7363127, 13.8557426 40.7363592, 13.8557257 40.7363841, 13.8557076 40.7364106, 13.8555898 40.7365257, 13.8555562 40.7365585, 13.8553398 40.7367629, 13.8553059 40.736801, 13.8552792 40.7368507, 13.8552616 40.7369083, 13.8552526 40.7369971, 13.855256 40.7371821, 13.8552786 40.7373271, 13.8553543 40.7375982, 13.8553937 40.7376842, 13.8554411 40.7377388, 13.8554978 40.7377806, 13.8555651 40.7378156, 13.8556305 40.7378369, 13.8557013 40.7378501, 13.8558147 40.73786, 13.85593 40.7378627, 13.8562477 40.7378692, 13.8564127 40.7378725, 13.8569003 40.7378919, 13.8569624 40.7378942, 13.8570212 40.7378964, 13.8571296 40.7379002, 13.8572607 40.7379072, 13.8576542 40.7379219, 13.8577316 40.7379213, 13.8578106 40.737916, 13.8580841 40.7378821, 13.858175 40.7378718, 13.8583629 40.7378672, 13.8583941 40.7378672, 13.8586004 40.7378667, 13.8588068 40.7378717, 13.8589082 40.7378771, 13.8589826 40.7378844, 13.8590095 40.7378871, 13.8590855 40.7379026, 13.8591591 40.737924, 13.8592504 40.7379514, 13.8592945 40.7379658, 13.859334 40.7379847, 13.8593458 40.7379907, 13.8594033 40.7380199, 13.8594369 40.7380331, 13.8594736 40.7380408, 13.8594969 40.7380423, 13.8595108 40.7380432, 13.8596917 40.7380359, 13.8598362 40.7380133, 13.8598754 40.7380083, 13.8599097 40.7380074, 13.8599396 40.7380112, 13.8599721 40.7380183, 13.860088 40.738056, 13.8601818 40.7380855, 13.8601935 40.7380892)",,
42566095,,residential,False,False,14.594999999999999,,,"LINESTRING (13.85598 40.7360734, 13.8560227 40.7360942, 13.856135 40.7361312)",,
415572234,Via Giovanni Mazzella,tertiary,False,False,270.97499999999997,,2,"LINESTRING (13.85598 40.7360734, 13.8559422 40.7360484, 13.8558948 40.7360049, 13.8558006 40.7359198, 13.855699 40.7358204, 13.8555217 40.7356809, 13.8553448 40.7355595, 13.8551944 40.7354541, 13.8551132 40.7354003, 13.8550666 40.7353544, 13.8550226 40.7352868, 13.8549941 40.7352135, 13.8549805 40.735133, 13.8549881 40.7350456, 13.8550012 40.7349714, 13.8550127 40.7348327, 13.8550226 40.7347293, 13.8550364 40.7346018, 13.8550401 40.7344032, 13.8550408 40.7343654, 13.855046 40.7339315)",,
83179532,,living_street,False,True,73.918,,,"LINESTRING (13.8605873 40.7347549, 13.8605466 40.734761, 13.8602341 40.734808, 13.859727 40.7348851)",,
699231626,Via S. Vito,residential,True,False,51.098,,1,"LINESTRING (13.8605873 40.7347549, 13.8606981 40.734988, 13.8607636 40.7350619, 13.8608208 40.7351077, 13.8608769 40.7351496)",,
"[696752472, 652376611]","['Via Cardinale Luigi Lavitrano', 'Via Roma']",residential,True,False,199.53199999999998,,1,"LINESTRING (13.8608769 40.7351496, 13.860872 40.7351786, 13.8608616 40.7352081, 13.8608509 40.7352347, 13.8608371 40.7352613, 13.8607588 40.7353632, 13.8606649 40.7355117, 13.8606281 40.7356082, 13.8605973 40.735686, 13.8605756 40.7357262, 13.860511 40.7358163, 13.8603123 40.7359395, 13.8602464 40.7359814, 13.8602308 40.7359948, 13.8602203 40.7360114, 13.8602042 40.7360695, 13.8601648 40.7362434, 13.8601214 40.7364225, 13.8600517 40.7367172, 13.860039 40.7367711)",,
766100044,Via Gaetano Morgera,residential,False,True,123.744,,,"LINESTRING (13.8608769 40.7351496, 13.8609205 40.7351503, 13.8609604 40.7351556, 13.8609988 40.7351644, 13.8610975 40.7352214, 13.8611102 40.7352396, 13.8611182 40.7352604, 13.8611224 40.7353075, 13.8611245 40.7353302, 13.861132 40.7353534, 13.8611449 40.735372, 13.8611705 40.7353858, 13.8611995 40.735394, 13.8612412 40.7353935, 13.8613493 40.7353861, 13.8614858 40.7353937, 13.8615305 40.7353947, 13.8617367 40.7353441, 13.8617487 40.7353352, 13.8617813 40.735311, 13.8618114 40.7352839, 13.861826 40.7352627, 13.8618332 40.7352368, 13.8618392 40.73521, 13.8618412 40.7351753, 13.8618393 40.7351443, 13.8618333 40.7351142, 13.8618137 40.7350684)",,
"[152627664, 696681545, 83179405]",Corso Matteo Verde,residential,True,False,241.85300000000004,,1,"LINESTRING (13.860039 40.7367711, 13.8601794 40.7367853, 13.860231 40.7367935, 13.8603595 40.7368131, 13.8606262 40.7368617, 13.8606758 40.7368713, 13.8607607 40.7368877, 13.860867 40.7369065, 13.8609584 40.736919, 13.8610458 40.7369286, 13.8611585 40.7369378, 13.8612698 40.7369426, 13.8614378 40.7369465, 13.861504 40.7369477, 13.8615512 40.736949, 13.8616385 40.7369509, 13.8617139 40.7369512, 13.8617306 40.7369508, 13.861864 40.7369408, 13.8619605 40.7369278, 13.8620322 40.7369156, 13.8621751 40.7368759, 13.8623909 40.736822, 13.8625626 40.7367754, 13.8626336 40.7367561, 13.8626424 40.7367537, 13.862836 40.7367057)",,
215314087,Via San Francesco,residential,True,False,21.353,,,"LINESTRING (13.8573203 40.7365457, 13.8572916 40.7367365)",SP487,
215314088,Via Avv. F. Regine,living_street,True,False,44.525999999999996,,,"LINESTRING (13.8573203 40.7365457, 13.8573643 40.7365483, 13.8575612 40.7365619, 13.8576757 40.7365688, 13.8578465 40.7365825)",,
698276456,Via San Giovanni,living_street,False,True,98.56299999999999,,,"LINESTRING (13.8594547 40.73326, 13.8589736 40.7333107, 13.8588398 40.7333991, 13.858744 40.733539, 13.8587157 40.7335507, 13.8586795 40.7335544, 13.8585938 40.7335499, 13.8584515 40.7335339)",,
699231626,Via S. Vito,residential,True,False,143.95899999999997,,1,"LINESTRING (13.8594547 40.73326, 13.8595494 40.733555, 13.8596349 40.733683, 13.8598089 40.7339152, 13.8599787 40.7341133, 13.8601954 40.7341836, 13.8603195 40.7342239, 13.8603614 40.7342788)",,
