osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,lanes,junction,width,est_width,tunnel,access
44098446,Via Monte Sabotino,residential,False,False,84.621,"LINESTRING (16.5016365 41.2370146, 16.5007396 41.2373671)",,,,,,,,,
26660551,Via Ventiquattro Maggio,residential,True,False,56.167,"LINESTRING (16.5016365 41.2370146, 16.5014927 41.2367738, 16.5013509 41.2365575)",,,,,,,,,
26660551,Via Ventiquattro Maggio,residential,True,False,56.548,"LINESTRING (16.5032785 41.2397007, 16.5030023 41.2392365)",,,,,,,,,
38290048,Via Matteo Renato Imbriani,secondary,False,False,25.114,"LINESTRING (16.5032785 41.2397007, 16.5035346 41.2395827)",SS16,,,,,,,,
38290048,Via Matteo Renato Imbriani,secondary,False,True,38.364999999999995,"LINESTRING (16.5032785 41.2397007, 16.5029437 41.2398591, 16.5029211 41.2398698, 16.5028901 41.2398844)",SS16,,,,,,,,
44607000,Via Matteo Renato Imbriani,secondary,False,False,23.428,"LINESTRING (16.5058831 41.2382402, 16.5060595 41.2380765)",SS16,,,,,,,,
44607000,Via Matteo Renato Imbriani,secondary,False,True,28.914,"LINESTRING (16.5058831 41.2382402, 16.5056533 41.2384345)",SS16,,,,,,,,
27378997,Via Pendio Misericordia,residential,False,False,48.797,"LINESTRING (16.5058831 41.2382402, 16.5059008 41.2384101, 16.5059287 41.2386777)",,,,,,,,,
43578038,Via Maggiore Calò,residential,True,False,127.093,"LINESTRING (16.5058831 41.2382402, 16.5058375 41.2381462, 16.5058249 41.2380494, 16.505863 41.2378187, 16.5059986 41.2372731, 16.5060074 41.2371151)",,,,,,,,,
368808440,Largo Misericordia,residential,False,False,12.622,"LINESTRING (16.5059521 41.2392829, 16.5059327 41.2393498, 16.5059199 41.2393938)",,,,,,,,,
"[368808440, 27378997]","['Via Pendio Misericordia', 'Largo Misericordia']",residential,False,True,24.715,"LINESTRING (16.5059521 41.2392829, 16.5059616 41.2392346, 16.5059643 41.2391778, 16.5059514 41.2390616)",,,,,,,,,
368808481,Vico Alighieri,living_street,False,True,81.259,"LINESTRING (16.5059521 41.2392829, 16.5058451 41.2392716, 16.5057385 41.239263, 16.5050483 41.239496)",,,,,,,,,
368808439,Corso Umberto I,residential,True,False,6.008,"LINESTRING (16.5058842 41.2396605, 16.505819 41.2396832)",,,,,,,,,
"[180429995, 180429998]","['Via Nazario Sauro', 'Via La Marina']","['living_street', 'residential']",False,"[False, True]",142.347,"LINESTRING (16.5048639 41.2432502, 16.5042975 41.2436047, 16.5041252 41.2437493, 16.5040544 41.2437646, 16.5039819 41.2437622, 16.5037531 41.2437057, 16.5035504 41.2435192)",,20,,,,,,,
"[180430001, 27379085, 180429998]","['Via della Repubblica', 'Via Nazario Sauro']","['living_street', 'residential']",False,True,165.014,"LINESTRING (16.5048639 41.2432502, 16.5050796 41.2431781, 16.5053992 41.2430935, 16.5059387 41.2429869, 16.5062605 41.2429162, 16.5064732 41.2428854, 16.5067622 41.2428896)",,20,,,,,,,
368808485,Largo porta di mare,residential,False,False,42.818,"LINESTRING (16.5048639 41.2432502, 16.5048359 41.2432164, 16.5047956 41.2431639, 16.5046061 41.2429175)",,,,,,,,,
28601351,Via La Marina,residential,False,True,78.55199999999999,"LINESTRING (16.5035504 41.2435192, 16.5033968 41.2434293, 16.5027624 41.2431358)",,,,,,,,,
"[180429995, 180429998]","['Via Nazario Sauro', 'Via La Marina']","['residential', 'living_street']",False,"[False, True]",142.347,"LINESTRING (16.5035504 41.2435192, 16.5037531 41.2437057, 16.5039819 41.2437622, 16.5040544 41.2437646, 16.5041252 41.2437493, 16.5042975 41.2436047, 16.5048639 41.2432502)",,20,,,,,,,
28601355,Largo De La Penne,residential,True,False,60.509,"LINESTRING (16.5034459 41.2430376, 16.5033994 41.2430995, 16.503384 41.2431468, 16.5034035 41.2431933, 16.5035549 41.2433249, 16.5035818 41.2433758, 16.5035778 41.2434252, 16.5035537 41.2434736, 16.5035504 41.2435192)",,,,,,,,,
180430006,Via Trento,residential,False,False,16.572,"LINESTRING (16.5034459 41.2430376, 16.5035701 41.2429417, 16.5035893 41.2429464)",,,,,,,,,
