osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,access,lanes,junction,tunnel
114011305,False,SP239,Via Don Francesco Gigante,residential,True,59.471,"LINESTRING (17.2329959 40.7830702, 17.2322968 40.7829938)",,,,,
79796314,False,,Largo La Sorte,residential,False,91.843,"LINESTRING (17.2329959 40.7830702, 17.2329823 40.7831244, 17.2329367 40.7832462, 17.2328871 40.7833366, 17.2327771 40.7834707, 17.2327501 40.7835629, 17.2327052 40.7837738, 17.2326785 40.7838516)",,,,,
114011305,False,SP239,Via Don Francesco Gigante,residential,False,88.417,"LINESTRING (17.2329959 40.7830702, 17.233217 40.7830959, 17.2340236 40.7832322)",,,,,
113503233,False,,Via Due Macelli,residential,False,247.337,"LINESTRING (17.2414324 40.7882424, 17.2416038 40.7878203, 17.2418577 40.7873962, 17.2423012 40.7869023, 17.24302 40.7873735)",50,yes,,,
"[114208264, 113920530]",False,,"['Viale Bari', 'Viale Putignano']",tertiary,False,104.89599999999999,"LINESTRING (17.2414324 40.7882424, 17.2413576 40.7881951, 17.2413252 40.7881656, 17.2413014 40.7881415, 17.2412913 40.7881158, 17.2412857 40.7880955, 17.2412847 40.788066, 17.2413009 40.7880253, 17.2413242 40.7879793, 17.24135 40.7879172, 17.2413787 40.787846, 17.2413845 40.7877635, 17.2413758 40.7876882, 17.2413599 40.787613, 17.2412512 40.7873681)",50,yes,,,
113920531,False,,Via Col di Lana,residential,False,118.569,"LINESTRING (17.2410959 40.7882394, 17.2397907 40.7878388)",,,,,
47913262,False,,Viale Aldo Moro,residential,True,99.91799999999999,"LINESTRING (17.2410959 40.7882394, 17.2411425 40.7880724, 17.2411854 40.7878612, 17.2411318 40.7876581, 17.2411747 40.7874794, 17.2412512 40.7873681)",,,,,
113919556,True,,Via Margherita,residential,False,66.123,"LINESTRING (17.2408649 40.7864975, 17.2400886 40.7864073)",,,,,
113920530,False,,Viale Bari,tertiary,True,102.124,"LINESTRING (17.2408649 40.7864975, 17.2412512 40.7873681)",50,yes,,,
113919555,False,,Viale Bari,tertiary,True,119.864,"LINESTRING (17.2408649 40.7864975, 17.2402799 40.7855822, 17.2402529 40.7855246)",50,yes,,,
114341772,False,SP239,Via Indipendenza,residential,False,129.056,"LINESTRING (17.2412671 40.7811894, 17.2426136 40.7808738, 17.2427312 40.7808459)",,,,,
"[1104123560, 114341772]",False,SP239,"['Largo Martellotta', 'Via Indipendenza']",residential,True,353.52000000000004,"LINESTRING (17.2412671 40.7811894, 17.241197 40.7812143, 17.2403326 40.7815455, 17.2400892 40.7816555, 17.2399732 40.781708, 17.2392448 40.7820583, 17.2391616 40.7821238, 17.2391176 40.7821689, 17.239087 40.7822021, 17.2388103 40.782507, 17.2387456 40.7825492, 17.2386071 40.7826305, 17.238436 40.7827255, 17.2382375 40.7828315, 17.2380104 40.7828935, 17.2378386 40.7829282)",,,,,
114344281,False,,Via Cristoforo Colombo,residential,False,117.62200000000001,"LINESTRING (17.2412671 40.7811894, 17.2413772 40.7816883, 17.2413982 40.7821348, 17.2414283 40.7822375)",,,,,
114341773,False,SP239,Largo Martellotta,residential,False,19.825,"LINESTRING (17.2369535 40.7831104, 17.237179 40.7830591)",,,,,
40031854,False,,Via Monte Sabotino,residential,False,68.34100000000001,"LINESTRING (17.2369535 40.7831104, 17.2369394 40.7830578, 17.2369033 40.782955, 17.2365806 40.7825717)",,,,,
114341773,False,SP239,Largo Martellotta,residential,True,29.0,"LINESTRING (17.2369535 40.7831104, 17.236764 40.7831613, 17.2367122 40.7831739, 17.2366275 40.7831945)",,,,,
40031854,False,,Via Monte Sabotino,residential,False,23.666,"LINESTRING (17.2365806 40.7825717, 17.2364261 40.7823939)",,,,,
40031854,False,,Via Monte Sabotino,residential,True,68.34100000000001,"LINESTRING (17.2365806 40.7825717, 17.2369033 40.782955, 17.2369394 40.7830578, 17.2369535 40.7831104)",,,,,
40031861,False,,Via Monte Cucco,residential,False,18.762999999999998,"LINESTRING (17.2365806 40.7825717, 17.2364473 40.7826338, 17.236381 40.7826357)",,,,,
40031861,False,,Via Monte Cucco,residential,True,18.762999999999998,"LINESTRING (17.236381 40.7826357, 17.2364473 40.7826338, 17.2365806 40.7825717)",,,,,
40031870,False,,Via Monte Cucco,residential,False,86.96499999999999,"LINESTRING (17.236381 40.7826357, 17.2355926 40.7823892, 17.2354322 40.7823275)",,,,,
173353037,False,,Via Monte Cucco,residential,True,25.663999999999998,"LINESTRING (17.236381 40.7826357, 17.2362954 40.7826885, 17.2362158 40.7828228)",,,,,
40031880,False,,Via Cadore,residential,False,53.489,"LINESTRING (17.2344181 40.7819223, 17.2345564 40.7814528)",,,,,
40031870,False,,Via Monte Cucco,residential,True,96.549,"LINESTRING (17.2344181 40.7819223, 17.2346152 40.7820027, 17.235069 40.7821877, 17.2354322 40.7823275)",,,,,
40031880,False,,Via Cadore,residential,True,149.394,"LINESTRING (17.2344181 40.7819223, 17.2342357 40.7825278, 17.2340236 40.7832322)",,,,,
40031880,False,,Via Cadore,residential,True,29.905,"LINESTRING (17.2346467 40.7811927, 17.2345564 40.7814528)",,,,,
73215016,False,,Via Isonzo,residential,False,6.498,"LINESTRING (17.2346467 40.7811927, 17.2346631 40.7811356)",,,,,
"[40031921, 40032391]",False,,"['Via Monte San Michele', 'Via Monte Pertica']",residential,False,112.397,"LINESTRING (17.2346467 40.7811927, 17.2346862 40.7812021, 17.2348726 40.781246, 17.2352596 40.781338, 17.2358319 40.781474, 17.2359196 40.7814971)",,,,,
40032277,False,,Via Monte Nero,residential,False,39.563,"LINESTRING (17.2381251 40.782079, 17.2378866 40.7821591, 17.2376986 40.7822282)",,,,,
40032277,False,,Via Monte Nero,residential,True,5.941,"LINESTRING (17.2376317 40.7822452, 17.2376986 40.7822282)",,,,,
40032322,False,,Via Monte San Gabriele,residential,False,8.99,"LINESTRING (17.2376317 40.7822452, 17.237596 40.782169)",,,,,
73215022,False,,Via Monte San Gabriele,residential,True,61.08,"LINESTRING (17.2376317 40.7822452, 17.2375388 40.782393, 17.2374614 40.7825836, 17.2374343 40.7826705, 17.2373669 40.7827529)",,,,,
40032355,False,,Via Duca d'Aosta,residential,True,26.02,"LINESTRING (17.2367936 40.7818773, 17.2370752 40.7817809)",,,,,
