osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,ref,maxspeed,width,tunnel
"[62170826, 426988835]","['Via Vego Scocco', 'Via Scocco']",unclassified,False,False,122.78,"LINESTRING (12.0784284 45.42197, 12.0784162 45.4220264, 12.078433 45.4220583, 12.0786407 45.4221918, 12.0786535 45.4221999, 12.0786736 45.4222127, 12.0794914 45.4227472)",,,,,,
121287607,Via Argine Sinistro,secondary,False,False,90.94800000000001,"LINESTRING (12.0784284 45.42197, 12.0784914 45.4219772, 12.0785838 45.4219703, 12.0786839 45.4219408, 12.0789507 45.4218387, 12.0791895 45.4217436, 12.079471 45.4216345)",2,,,,,
"[374093635, 426987957]",,secondary,False,True,41.395,"LINESTRING (12.0784284 45.42197, 12.0783056 45.4219536, 12.0781828 45.4219135, 12.0780904 45.421878, 12.0779524 45.421815)",,,,,,
"[40127044, 27782230, 48253775]","['Via Destro Zinelli', 'Ponte del Vaso']",secondary,False,"[False, True]",63.743,"LINESTRING (12.0779524 45.421815, 12.0778976 45.4219112, 12.0778402 45.4219983, 12.0777192 45.4222053, 12.0776746 45.4223097, 12.0776669 45.4223503)",,yes,SP19,,,
33186760,Via del Vaso,secondary,False,True,119.45599999999999,"LINESTRING (12.0779524 45.421815, 12.0780529 45.4216775, 12.0780916 45.4216241, 12.0785117 45.4211921, 12.0787771 45.4209115)",,,SP19,,,
"[374093635, 426987957]",,secondary,False,False,41.395,"LINESTRING (12.0779524 45.421815, 12.0780904 45.421878, 12.0781828 45.4219135, 12.0783056 45.4219536, 12.0784284 45.42197)",,,,,,
484776007,Via San Giacomo,residential,False,False,69.158,"LINESTRING (12.0779524 45.421815, 12.0777595 45.4217456, 12.0776724 45.4217303, 12.0773861 45.4216833, 12.0772259 45.4216556, 12.0771055 45.4216515)",2,,,50,,
40127077,Via San Giacomo,residential,False,False,200.818,"LINESTRING (12.0771055 45.4216515, 12.0768651 45.4216468, 12.0765741 45.4216227, 12.0760037 45.4215565, 12.0757573 45.4215215, 12.0755481 45.4214678, 12.0746346 45.421205)",,,,50,5,
47353832,Via Marzabotto,residential,False,True,11.632000000000001,"LINESTRING (12.0771055 45.4216515, 12.0771071 45.4216243, 12.0771168 45.421577, 12.0771372 45.4215511)",,,,,,
484776007,Via San Giacomo,residential,False,True,69.158,"LINESTRING (12.0771055 45.4216515, 12.0772259 45.4216556, 12.0773861 45.4216833, 12.0776724 45.4217303, 12.0777595 45.4217456, 12.0779524 45.421815)",2,,,50,,
"[137119699, 1233435780]",Via Arino,tertiary,False,False,42.275,"LINESTRING (12.0733344 45.4256171, 12.0736098 45.4256122, 12.0737199 45.4256106, 12.0738759 45.4256146)","['2', '3']",,,,,
137119699,Via Arino,tertiary,False,True,49.08,"LINESTRING (12.0733344 45.4256171, 12.0731603 45.4256186, 12.0730227 45.4256205, 12.0727056 45.4256251)",2,,,,,
