osmid,name,highway,junction,oneway,reversed,length,geometry,ref,lanes,maxspeed
8560076,Piazza Cirio,residential,roundabout,True,False,16.133,"LINESTRING (14.6149472 40.7473155, 14.6149168 40.7473316, 14.6148898 40.7473381, 14.6148526 40.747338, 14.6148055 40.747322, 14.6147806 40.747301)",,,
107668803,Via Corallo,residential,,False,False,79.343,"LINESTRING (14.6149472 40.7473155, 14.6149899 40.7475064, 14.615033 40.7478292, 14.6150259 40.7480246)",,,
8560055,Via Sant'Erasmo,residential,,False,True,246.073,"LINESTRING (14.6112061 40.7473441, 14.6082903 40.747477)",,,
40029617,Via Arcivescovo Carmine Cesarano,residential,,False,False,69.824,"LINESTRING (14.6112061 40.7473441, 14.6112603 40.7479707)",SP103,,
40029617,Via Arcivescovo Carmine Cesarano,residential,,False,True,188.98,"LINESTRING (14.6112061 40.7473441, 14.6110945 40.7465035, 14.6110914 40.7464725, 14.6110301 40.7456502)",SP103,,
284139879,Via Barbazzano,residential,,True,False,292.199,"LINESTRING (14.6112061 40.7473441, 14.6116302 40.7472942, 14.6120728 40.7473003, 14.6125073 40.7473064, 14.6141648 40.7473185, 14.6145666 40.7473306, 14.6146684 40.7473217)",,,
42784333,Via San Rocco,residential,,True,False,172.714,"LINESTRING (14.6171754 40.7487956, 14.6151321 40.7489237)",,,
8561363,,residential,,False,True,81.89,"LINESTRING (14.6171754 40.7487956, 14.617113 40.7481042, 14.6171032 40.7480614)",,,
40032001,Via Nazionale,primary,roundabout,True,False,12.115,"LINESTRING (14.6192379 40.7485588, 14.6192117 40.7484898, 14.6192215 40.7484534)",SR ex SS18,,
144506024,Via Mangioni,tertiary,,True,False,28.001,"LINESTRING (14.6192557 40.7504254, 14.619158 40.7506661)",,2,
708233853,Via Mangioni,tertiary,,True,False,16.779,"LINESTRING (14.6192557 40.7504254, 14.619171 40.7504208, 14.6190833 40.7503653)",,,
8560068,Via Alcide De Gasperi,primary,,False,False,24.938,"LINESTRING (14.6187383 40.7480962, 14.6184427 40.7480841)",SR ex SS18,2,
388403172,Via Alcide De Gasperi,secondary_link,,True,False,37.9,"LINESTRING (14.6187383 40.7480962, 14.6191882 40.748097)",,,
171767967,Via Nazionale,primary,,True,False,33.742,"LINESTRING (14.6187383 40.7480962, 14.6189431 40.7481222, 14.6191291 40.7481609)",SR ex SS18,,
144504380,Via Mangioni,tertiary,,False,True,100.37800000000001,"LINESTRING (14.6190165 40.7518038, 14.619005 40.7519814, 14.6190922 40.7526621, 14.6190976 40.7527029)",SP379,,
160669914,Via Mangioni,tertiary,,True,False,29.990000000000002,"LINESTRING (14.6190165 40.7518038, 14.6189499 40.7516561, 14.6189466 40.7515425)",,2,
8560076,Piazza Cirio,residential,roundabout,True,False,22.171,"LINESTRING (14.6148288 40.7471837, 14.614865 40.7471771, 14.6149064 40.7471814, 14.614939 40.7471951, 14.6149633 40.7472164, 14.6149718 40.7472296, 14.6149775 40.7472697, 14.6149659 40.7472964)",,,
8560068,Via Alcide De Gasperi,primary,,False,False,148.744,"LINESTRING (14.6150259 40.7480246, 14.6132605 40.7479993)",SR ex SS18,2,
8560068,Via Alcide De Gasperi,primary,,False,True,175.04,"LINESTRING (14.6150259 40.7480246, 14.6171032 40.7480614)",SR ex SS18,2,
369977234,Via Coralli,unclassified,,False,False,97.696,"LINESTRING (14.6150259 40.7480246, 14.6151293 40.7488997)",SP328,,
107668803,Via Corallo,residential,,False,True,79.343,"LINESTRING (14.6150259 40.7480246, 14.615033 40.7478292, 14.6149899 40.7475064, 14.6149472 40.7473155)",,,
369977234,Via Coralli,unclassified,,False,True,42.668,"LINESTRING (14.61521 40.7495833, 14.6151649 40.7492011)",SP328,,
578130648,,residential,,False,False,50.336,"LINESTRING (14.61521 40.7495833, 14.6158075 40.7495775)",,,
