osmid,bridge,oneway,lanes,ref,name,highway,access,reversed,length,geometry,maxspeed,junction,tunnel
22923844,viaduct,False,2,SS67,Strada Statale 67 Toscoromagnola,primary,yes,True,94.35,"LINESTRING (11.4402813 43.7705698, 11.4392291 43.7701921)",,,
"[172817650, 155030806]",viaduct,True,,,,primary_link,,False,218.39600000000007,"LINESTRING (11.4402813 43.7705698, 11.44002 43.7705225, 11.4396804 43.7704043, 11.4393478 43.770292, 11.439085 43.7702029, 11.438924 43.7701622, 11.4388306 43.7701485, 11.4387388 43.7701436, 11.4386563 43.7701454, 11.4385673 43.7701603, 11.4384589 43.7701932, 11.4383621 43.7702513, 11.4382953 43.7703365, 11.4382749 43.7703737, 11.4382551 43.770445, 11.4382524 43.7704985, 11.4382589 43.7705593, 11.4382636 43.7705728, 11.4382792 43.7706302, 11.4382965 43.7706941)",,,
22923844,viaduct,False,2,SS67,Strada Statale 67 Toscoromagnola,primary,yes,False,94.35,"LINESTRING (11.4392291 43.7701921, 11.4402813 43.7705698)",,,
"[172817627, 22923844]",viaduct,False,2,SS67,Strada Statale 67 Toscoromagnola,primary,yes,"[False, True]",222.944,"LINESTRING (11.4392291 43.7701921, 11.438694 43.7700077, 11.4385314 43.7699516, 11.4379819 43.769773, 11.4376017 43.7696605, 11.4372088 43.7695637, 11.4366522 43.7694601)",90,,
303405789,,True,,,,tertiary,,False,10.117,"LINESTRING (11.4394129 43.7700238, 11.4394496 43.769997, 11.4394756 43.7699883, 11.4395165 43.7699745)",,,
"[172817642, 303405791]",viaduct,True,,,,primary_link,,False,138.17000000000002,"LINESTRING (11.4394129 43.7700238, 11.4393904 43.7699685, 11.4393347 43.7699185, 11.4389466 43.7697541, 11.4388323 43.769751, 11.4387462 43.7697839, 11.4386827 43.7698442, 11.4386802 43.769911, 11.4387147 43.7699557, 11.4388937 43.770024, 11.4391794 43.7701317, 11.4392291 43.7701921)",,,
173739924,,False,,,Via di Rosano,unclassified,,False,128.039,"LINESTRING (11.4290078 43.7714888, 11.4294211 43.7714496, 11.4295256 43.7714399, 11.4301131 43.7713888, 11.4302667 43.7713754, 11.4305922 43.7713632)",,,
"[282878307, 414946845]",,True,,,Via Giuseppe Di Vittorio,residential,,False,534.521,"LINESTRING (11.4290078 43.7714888, 11.4290258 43.7716562, 11.4293104 43.7728626, 11.4293368 43.7729663, 11.4293494 43.7730041, 11.4293795 43.7730244, 11.4294254 43.7730249, 11.4295312 43.7730103, 11.4295796 43.7730299, 11.4295989 43.7730761, 11.4296593 43.7732965, 11.4311979 43.7731688, 11.4316267 43.7731326, 11.4335336 43.7729632)",,,
30713944,,True,,,Via di Rosano,unclassified,,False,15.707,"LINESTRING (11.4305922 43.7713632, 11.4305952 43.7713286, 11.4306334 43.7712854, 11.4307048 43.7712653)",,roundabout,
173739924,,False,,,Via di Rosano,unclassified,,True,128.03900000000002,"LINESTRING (11.4305922 43.7713632, 11.4302667 43.7713754, 11.4301131 43.7713888, 11.4295256 43.7714399, 11.4294211 43.7714496, 11.4290078 43.7714888)",,,
