osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,junction,access
62297245,False,Via Giuseppe Parini,unclassified,True,52.953,"LINESTRING (9.0234036 45.5031854, 9.0235007 45.5032115, 9.0237404 45.5032828, 9.0240315 45.5033673)",,,,,
289984043,False,Via Cascina Croce,unclassified,False,64.987,"LINESTRING (9.0234036 45.5031854, 9.02334 45.503174, 9.0226023 45.5030237)",,,,,
289984050,True,Via Quattro Novembre,unclassified,False,187.674,"LINESTRING (9.0234036 45.5031854, 9.0234383 45.5031063, 9.0236356 45.5024019, 9.023659 45.5022993, 9.0237194 45.5021253, 9.0237639 45.5019955, 9.0239414 45.5017335, 9.023994 45.5016599, 9.0240064 45.5016361, 9.0240188 45.5016103, 9.0240189 45.5015902, 9.0240155 45.5015646)",,,,,
197574742,False,Strada Provinciale 130,tertiary,True,94.366,"LINESTRING (9.019438 45.5017665, 9.019734 45.5009436)",2,SP130,70,,
441630204,True,Strada Provinciale 130,tertiary,False,31.916000000000004,"LINESTRING (9.019438 45.5017665, 9.019422 45.5019152, 9.0194221 45.5019293, 9.0194224 45.5019888, 9.0194228 45.5020531)",1,SP130,70,,
30549110,True,Strada Provinciale 130,tertiary,False,15.176000000000002,"LINESTRING (9.0194228 45.5020531, 9.0194688 45.5020852, 9.0194991 45.5021254, 9.0195106 45.5021702)",,SP130,,roundabout,
30549110,True,Strada Provinciale 130,tertiary,False,19.833,"LINESTRING (9.0195106 45.5021702, 9.0195027 45.5022144, 9.0194766 45.5022551, 9.0194345 45.5022885, 9.0193802 45.5023118)",,SP130,,roundabout,
197574701,True,Via Cascina Croce,unclassified,False,37.411,"LINESTRING (9.0195106 45.5021702, 9.0195599 45.5022224, 9.0196437 45.5023089, 9.0197464 45.5023799, 9.0198127 45.5024298)",,,,,
70224179,False,Via San Carlo,residential,False,68.783,"LINESTRING (9.0269074 45.5043569, 9.0273907 45.5038393)",2,,,,yes
62297245,False,Via Giuseppe Parini,unclassified,False,99.505,"LINESTRING (9.0269074 45.5043569, 9.026291 45.5041263, 9.0258527 45.5039705, 9.0257761 45.5039421)",,,,,
70224179,False,Via San Carlo,residential,True,63.059000000000005,"LINESTRING (9.0269074 45.5043569, 9.0265106 45.5047809, 9.0264636 45.5048311)",2,,,,yes
70224179,False,Via San Carlo,residential,False,145.52300000000002,"LINESTRING (9.0254394 45.5059254, 9.0255117 45.5058482, 9.0260295 45.5052949, 9.0263789 45.5049232, 9.0264237 45.5048745, 9.0264636 45.5048311)",2,,,,yes
"[217781251, 289984044]",False,Via Aristotele,residential,False,167.244,"LINESTRING (9.0254394 45.5059254, 9.0252554 45.5058618, 9.0248335 45.5057144, 9.0243303 45.5055385, 9.0235145 45.5052604)",,,,,
238866754,False,Via Gallarate,residential,False,42.43600000000001,"LINESTRING (9.0254394 45.5059254, 9.0255354 45.50596, 9.0259236 45.5061)",,,,,
289984044,False,Via Aristotele,residential,True,87.40899999999999,"LINESTRING (9.0225116 45.5049084, 9.0225411 45.5049188, 9.0225606 45.5049256, 9.0235145 45.5052604)",,,,,
289984047,True,Via Vanzago,unclassified,False,203.814,"LINESTRING (9.0225116 45.5049084, 9.0226998 45.5045445, 9.0231336 45.5037058, 9.0233844 45.5032269, 9.0234036 45.5031854)",,,,,
211135165,False,,unclassified,True,96.39000000000001,"LINESTRING (9.025754 45.4986986, 9.026185 45.4988171, 9.0262795 45.4988355, 9.0263388 45.4988409, 9.0263985 45.4988378, 9.0264636 45.4988298, 9.0265086 45.4988265, 9.0265495 45.4988277, 9.0265946 45.4988326, 9.0268386 45.4989126, 9.0269181 45.4989402)",,,,,
374332279,False,Via Giuseppe Garibaldi,residential,False,19.347,"LINESTRING (9.025754 45.4986986, 9.0257265 45.4987545, 9.0257015 45.4988229, 9.025686 45.4988658)",2,,30,,
374332279,False,Via Giuseppe Garibaldi,residential,True,144.546,"LINESTRING (9.025754 45.4986986, 9.0258281 45.4985525, 9.026354 45.4974686)",2,,30,,
46698912,True,Via Roma,residential,False,96.039,"LINESTRING (9.0251271 45.5003061, 9.02508 45.5002634, 9.0248237 45.5000309, 9.0245749 45.4998042, 9.0243675 45.4996261)",,,,,
