osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,junction,maxspeed,access,tunnel
72447195,SP42,Via San Giovanni Bosco,tertiary,False,True,86.84700000000001,"LINESTRING (9.8972878 45.8096047, 9.8980084 45.8099443, 9.8982182 45.8100399)",,,,,
144470783,,Via Cà dell'Agro,unclassified,False,False,41.137,"LINESTRING (9.898805 45.8115611, 9.8990215 45.8115622, 9.8992436 45.8115963, 9.8993278 45.8116111)",,,,,
144470783,,Via Cà dell'Agro,unclassified,False,True,60.321,"LINESTRING (9.898805 45.8115611, 9.8980921 45.8116064, 9.8980302 45.811612)",,,,,
224003003,,Via San Carlo,unclassified,False,False,133.585,"LINESTRING (9.898805 45.8115611, 9.8987909 45.8115931, 9.8982365 45.8126952)",,,,,
329897836,,Via Cà dell'Agro,unclassified,False,True,124.596,"LINESTRING (9.9008404 45.8119148, 9.9005746 45.811913, 9.900369 45.8119183, 9.900246 45.8119017, 9.9000923 45.8118709, 9.8999327 45.8118237, 9.8996851 45.8117359, 9.8993278 45.8116111)",,,,,
953523471,,Via Cà dell'Agro,unclassified,True,False,20.281,"LINESTRING (9.9008404 45.8119148, 9.9010266 45.8119091, 9.9010997 45.8119217)",,,,,
1062610724,,Via Sentiero Lungo,unclassified,False,False,14.357,"LINESTRING (9.9042876 45.8127224, 9.9042331 45.8128458)",,,,,
67051484,SP45,Via Cavalieri di Vittorio Veneto,unclassified,False,True,137.623,"LINESTRING (9.9042876 45.8127224, 9.903723 45.8124861, 9.9029676 45.8122415, 9.9027011 45.8121727)",,,,,
1062610720,SP45,Via Giovanni Pascoli,unclassified,False,False,251.95100000000002,"LINESTRING (9.9042876 45.8127224, 9.9044207 45.8127853, 9.9046051 45.8128725, 9.9058114 45.813443, 9.9069777 45.8139946)",,,,,
48998157,,Via Portone Fosco,unclassified,True,False,150.468,"LINESTRING (9.8993278 45.8116111, 9.8993477 45.8115026, 9.8993631 45.8114411, 9.8994822 45.8113152, 9.8995091 45.8112691, 9.8995047 45.8112341, 9.8993718 45.8110521, 9.899222 45.8108565, 9.8992021 45.810839, 9.8989224 45.8105926, 9.89896 45.8104113)",,,,,
144470783,,Via Cà dell'Agro,unclassified,False,True,41.137,"LINESTRING (9.8993278 45.8116111, 9.8992436 45.8115963, 9.8990215 45.8115622, 9.898805 45.8115611)",,,,,
