osmid,name,highway,oneway,reversed,length,geometry,junction,ref,lanes,bridge,maxspeed,tunnel
26949257,Via Genova,secondary,False,True,84.622,"LINESTRING (8.2152876 44.0490782, 8.2150148 44.049284, 8.2145457 44.0496211)",,,,,,
153418166,Via Genova,secondary,False,False,80.061,"LINESTRING (8.2152876 44.0490782, 8.2150118 44.0484486, 8.2149756 44.0483946)",,,,,,
238685127,Via Leonardo da Vinci,primary,True,False,22.441,"LINESTRING (8.2088358 44.05117, 8.2091032 44.0511084)",,,,,,
209893037,Via Leonardo da Vinci,primary,False,True,64.47,"LINESTRING (8.2088358 44.05117, 8.20842 44.0512784, 8.2080858 44.0513828)",,,,,,
238685130,Via Leonardo da Vinci,secondary,True,False,27.044,"LINESTRING (8.2091744 44.051084, 8.2093211 44.0510371, 8.2094948 44.0510097)",,,,,,
238685134,,primary,True,False,12.764999999999999,"LINESTRING (8.2091744 44.051084, 8.2092142 44.0510861, 8.2092507 44.0510977, 8.2092796 44.0511175, 8.2092975 44.0511432)",roundabout,,,,,
153756583,Via Fratelli Viziano,secondary,False,False,3.902,"LINESTRING (8.2113279 44.0506473, 8.2113747 44.0506573)",,,,,,
238685131,Via Leonardo da Vinci,secondary,False,True,142.647,"LINESTRING (8.2113279 44.0506473, 8.2112912 44.0506402, 8.2111598 44.0506248, 8.2110786 44.0506223, 8.2110369 44.0506257, 8.2108965 44.0506536, 8.2105597 44.0507555, 8.2102887 44.0508207, 8.2101796 44.0508465, 8.2099977 44.0508927, 8.2099494 44.0509062, 8.2096289 44.0509739)",,,,,,
146702539,Piazza Pietro Nenni,residential,False,False,20.892,"LINESTRING (8.2116729 44.050769, 8.2116298 44.0508132, 8.211563 44.0508818, 8.211548 44.0509308)",,,,,,
153756583,Via Fratelli Viziano,secondary,False,False,18.91,"LINESTRING (8.2116729 44.050769, 8.2117237 44.0507766, 8.2117675 44.0507779, 8.2119068 44.0507627)",,,,,,
153756583,Via Fratelli Viziano,secondary,False,True,17.099,"LINESTRING (8.2116729 44.050769, 8.2115675 44.0507371, 8.2114993 44.0507068, 8.2114833 44.0506989)",,,,,,
153756616,Viale Pontelungo,tertiary,False,True,15.508,"LINESTRING (8.2132109 44.0526524, 8.213181 44.0525146)",,,,,,
26949265,Via Dalmazia,residential,False,False,121.992,"LINESTRING (8.2132109 44.0526524, 8.2132888 44.0526384, 8.2140881 44.0524514, 8.2146634 44.0523154)",,,,,,
153756616,Viale Pontelungo,tertiary,False,False,78.076,"LINESTRING (8.2132109 44.0526524, 8.2132258 44.052779, 8.2132514 44.0533538)",,,,,,
26949265,Via Dalmazia,residential,False,False,32.826,"LINESTRING (8.2146634 44.0523154, 8.2147788 44.0522924, 8.2150558 44.0522283)",,,,,,
26949265,Via Dalmazia,residential,False,True,121.992,"LINESTRING (8.2146634 44.0523154, 8.2140881 44.0524514, 8.2132888 44.0526384, 8.2132109 44.0526524)",,,,,,
