osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,junction,geometry,access
34401181,2,Via Roma,secondary,30,False,False,119.541,,,"LINESTRING (17.3546351 40.3857478, 17.3560464 40.3857598)",
34401181,2,Via Roma,secondary,30,False,True,108.379,,,"LINESTRING (17.3546351 40.3857478, 17.3533555 40.3857443)",
401175682,,Via Costantinopoli,tertiary,,False,False,69.967,SP109,,"LINESTRING (17.3546351 40.3857478, 17.354574 40.3863753)",
832941372,,Via Costantinopoli,tertiary,,True,False,51.002,SP109,,"LINESTRING (17.3546351 40.3857478, 17.3546623 40.3852896)",
300074381,,,unclassified,,False,False,30.049,,,"LINESTRING (17.3572918 40.3865347, 17.3573162 40.3862651)",
300074381,,,unclassified,,False,True,74.189,,,"LINESTRING (17.3572918 40.3865347, 17.3572519 40.3872012)",
401176429,,via Dante Alighieri,residential,,False,True,85.782,,,"LINESTRING (17.3572918 40.3865347, 17.3562806 40.3864911)",
131014996,,,unclassified,,False,False,309.467,,,"LINESTRING (17.3605573 40.3835831, 17.3608163 40.3863592)",
131014984,,,secondary,,True,False,16.526,,roundabout,"LINESTRING (17.3605573 40.3835831, 17.3605361 40.3836166, 17.3604957 40.3836373, 17.360447 40.3836396, 17.3604034 40.3836229)",
131014996,,,unclassified,,False,True,74.218,,,"LINESTRING (17.3608657 40.3870256, 17.3608163 40.3863592)",
166131188,,,unclassified,,False,True,72.975,,,"LINESTRING (17.3608657 40.3870256, 17.3600375 40.3868446)",
441626897,,Piazza Trigna,secondary,,True,False,36.63,,,"LINESTRING (17.3566982 40.385993, 17.3571234 40.3860532)",
1152993946,,Piazza Trigna,secondary,,False,True,34.5,,,"LINESTRING (17.3566982 40.385993, 17.356319 40.3858797)",
34401181,2,Via Roma,secondary,30,False,False,86.124,,,"LINESTRING (17.3516107 40.3857065, 17.3526272 40.3857265)",
34401181,2,Via Roma,secondary,30,False,True,66.391,,,"LINESTRING (17.3516107 40.3857065, 17.3508272 40.3857246)",
131014986,,,residential,,False,False,105.382,,,"LINESTRING (17.3516107 40.3857065, 17.3516306 40.3847589)",
173643196,,Via Bari / Piazza Limongelli,residential,,False,True,100.00999999999999,,,"LINESTRING (17.3516107 40.3857065, 17.3516146 40.3860994, 17.3516148 40.3866059)",
34401181,2,Via Roma,secondary,30,False,False,108.379,,,"LINESTRING (17.3533555 40.3857443, 17.3546351 40.3857478)",
34401181,2,Via Roma,secondary,30,False,True,61.717,,,"LINESTRING (17.3533555 40.3857443, 17.3526272 40.3857265)",
173643210,,,residential,,False,False,46.419,,,"LINESTRING (17.3533555 40.3857443, 17.3533466 40.3853269)",
