osmid,oneway,name,highway,reversed,length,geometry,maxspeed,bridge,junction,lanes,tunnel,access,ref
118189686,True,Via Eustachio,residential,False,91.14,"LINESTRING (13.1801201 43.2299602, 13.180018 43.229713, 13.1798687 43.2294664, 13.1796668 43.2292142)",,,,,,,
123771202,True,Viale Eustachio,tertiary,False,54.255,"LINESTRING (13.1801201 43.2299602, 13.1801803 43.2302279, 13.1802284 43.2304417)",50,,,,,,
118206443,True,Piazza del Popolo,residential,False,14.54,"LINESTRING (13.1771258 43.2290554, 13.1772904 43.2290033)",,,,,,,
"[123771144, 141232097, 123771114]",False,Via Giuseppe Collio,residential,"[False, True]",93.599,"LINESTRING (13.1758417 43.2296134, 13.1758047 43.2298227, 13.175761 43.2300189, 13.1757068 43.2302824, 13.1756476 43.2304422)",,yes,,,,,
383585731,False,Viale Bigioli,tertiary,False,137.852,"LINESTRING (13.1758417 43.2296134, 13.1757135 43.2295726, 13.1754695 43.2294524, 13.1752899 43.2293674, 13.1750847 43.2292514, 13.1748836 43.2291378, 13.1747036 43.2290349, 13.1745535 43.2289511, 13.1744586 43.2288966)",,,,,,,
383585731,False,Viale Bigioli,tertiary,True,191.07,"LINESTRING (13.1758417 43.2296134, 13.1766318 43.2297294, 13.1769713 43.2297815, 13.1772753 43.2297999, 13.1776781 43.2298157, 13.1781751 43.2298176)",,,,,,,
384500007,True,Via Giuseppe Collio,residential,False,55.843,"LINESTRING (13.1758417 43.2296134, 13.1758592 43.229556, 13.1758819 43.2291129)",,,,,,,
141232096,True,Via Giuseppe Garibaldi,residential,False,73.729,"LINESTRING (13.1758819 43.2291129, 13.1761797 43.2291348, 13.1764418 43.2291358, 13.1767876 43.2291036)",,,,,,,
384500018,False,Via Nazario Sauro,residential,False,55.32999999999999,"LINESTRING (13.1758819 43.2291129, 13.175882 43.2289624, 13.1758616 43.2287201, 13.1758293 43.2286888, 13.1757602 43.2286474)",,,,,,,
118227234,False,Via Lorenzo D'Alessandro,residential,False,70.606,"LINESTRING (13.1755259 43.2305369, 13.1746586 43.2304747)",,,,,,,
123771114,False,Via Giuseppe Collio,residential,True,14.426,"LINESTRING (13.1755259 43.2305369, 13.1756476 43.2304422)",,,,,,,
123771114,False,Via Giuseppe Collio,residential,False,120.40699999999998,"LINESTRING (13.1755259 43.2305369, 13.1754517 43.2305971, 13.1753565 43.2306665, 13.1752508 43.2307647, 13.175205 43.2308511, 13.1751179 43.2312693, 13.1750681 43.2315302)",,,,,,,
141231792,True,Piazza del Popolo,residential,False,47.904,"LINESTRING (13.1792796 43.2289833, 13.1791873 43.228986, 13.1790821 43.2289866, 13.1789792 43.2289917, 13.1788673 43.2290051, 13.1786973 43.2290414)",,,,,,,
141231794,False,Piazza del Popolo,residential,True,23.476,"LINESTRING (13.1792796 43.2289833, 13.179466 43.2290224, 13.1795314 43.2290734)",,,,,,,
118189686,True,Via Eustachio,residential,False,15.684,"LINESTRING (13.1796454 43.2291874, 13.1795314 43.2290734)",,,,,,,
465418179,False,Via San Giovanni,residential,False,39.869,"LINESTRING (13.1796454 43.2291874, 13.1794638 43.229242, 13.179203 43.2293107, 13.179186 43.2293157)",,,,,,,
118227222,False,Piazza Alessandro Luzio,residential,False,76.74,"LINESTRING (13.1756476 43.2304422, 13.1765011 43.2307415)",,,,,,,
123771114,False,Via Giuseppe Collio,residential,False,14.426,"LINESTRING (13.1756476 43.2304422, 13.1755259 43.2305369)",,,,,,,
