osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,bridge,tunnel,width,junction
27124902,Via Roma,residential,False,False,52.542,,,,"LINESTRING (10.1709165 46.2160926, 10.170352 46.2158267)",,,,
74486962,Strada Statale dello Stelvio,primary,False,False,63.86,2,SS38,50,"LINESTRING (10.1709165 46.2160926, 10.1708091 46.2161159, 10.170589 46.2161425, 10.1703782 46.2161556, 10.1700975 46.2161768)",,,,
"[1086250157, 132049471]",,residential,True,False,74.107,,,,"LINESTRING (10.1709165 46.2160926, 10.1711023 46.2161993, 10.1713478 46.2163434, 10.1716552 46.2165076, 10.1716643 46.2165124)",,,,
1106143909,Strada Statale dello Stelvio,primary,False,True,59.192,2,SS38,50,"LINESTRING (10.1709165 46.2160926, 10.1710257 46.2160539, 10.1714428 46.215712)",,,,
27292703,Lungo Adda Battaglione Tirano,residential,False,True,137.644,,,,"LINESTRING (10.1717173 46.2154777, 10.1730672 46.21629)",,,,
260420110,Strada Statale dello Stelvio,primary,False,True,16.377,2,SS38,,"LINESTRING (10.1717173 46.2154777, 10.1718557 46.2153658)",,,,
"[74486963, 464983774, 464983775]",Strada Statale dello Stelvio,primary,False,False,33.539,2,SS38,,"LINESTRING (10.1717173 46.2154777, 10.1716823 46.2155065, 10.1714944 46.2156686, 10.1714428 46.215712)",yes,,,
26005976,Via Lungo Adda Quinto Alpini,tertiary,False,False,63.519,,,,"LINESTRING (10.1714428 46.215712, 10.1708208 46.2153364)",,,,
27292702,,unclassified,True,False,72.578,,,,"LINESTRING (10.1714428 46.215712, 10.1721656 46.2161314)",,,,
"[74486963, 464983774, 464983775]",Strada Statale dello Stelvio,primary,False,True,33.539,2,SS38,,"LINESTRING (10.1714428 46.215712, 10.1714944 46.2156686, 10.1716823 46.2155065, 10.1717173 46.2154777)",yes,,,
1106143909,Strada Statale dello Stelvio,primary,False,False,59.192,2,SS38,50,"LINESTRING (10.1714428 46.215712, 10.1710257 46.2160539, 10.1709165 46.2160926)",,,,
260420110,Strada Statale dello Stelvio,primary,False,False,16.377,2,SS38,,"LINESTRING (10.1718557 46.2153658, 10.1717173 46.2154777)",,,,
260420110,Strada Statale dello Stelvio,primary,False,True,2.117,2,SS38,,"LINESTRING (10.1718557 46.2153658, 10.1718737 46.2153514)",,,,
26006013,Via Venti Settembre,residential,False,False,66.332,,,30,"LINESTRING (10.1718557 46.2153658, 10.1720101 46.2154558, 10.1725768 46.2156902)",,,,
593682646,Piazza Cavour,residential,True,False,36.384,1,,30,"LINESTRING (10.1725768 46.2156902, 10.1728248 46.2154116)",,,,
26006013,Via Venti Settembre,residential,False,False,55.378,,,30,"LINESTRING (10.1725768 46.2156902, 10.1729138 46.2158039, 10.1732342 46.2158921)",,,,
26006013,Via Venti Settembre,residential,False,True,66.332,,,30,"LINESTRING (10.1725768 46.2156902, 10.1720101 46.2154558, 10.1718557 46.2153658)",,,,
663668873,Via Venti Settembre,residential,True,False,49.364,1,,30,"LINESTRING (10.1732342 46.2158921, 10.1738756 46.2158816)",,,,
