osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed
114106787,True,,Via Giampietro Zullo,residential,False,51.418,"LINESTRING (17.8131041 40.561181, 17.8125323 40.5610225)",,
114106771,True,,Via Gorizia,residential,False,102.611,"LINESTRING (17.8129766 40.5620569, 17.8137398 40.561339)",,
114106804,False,,Via Silvio Pellico,residential,True,54.931,"LINESTRING (17.8129766 40.5620569, 17.8124747 40.5617428)",,
114106804,False,,Via Silvio Pellico,residential,False,107.03999999999999,"LINESTRING (17.8129766 40.5620569, 17.8134296 40.5623541, 17.813612 40.5624356, 17.8140205 40.5625912)",,
114106804,False,,Via Silvio Pellico,residential,False,54.931,"LINESTRING (17.8124747 40.5617428, 17.8129766 40.5620569)",,
760054799,True,,Via Diaz,residential,False,82.033,"LINESTRING (17.8124747 40.5617428, 17.8131041 40.561181)",1,
114106804,False,,Via Silvio Pellico,residential,True,48.421,"LINESTRING (17.8124747 40.5617428, 17.8121143 40.5615071, 17.812038 40.5614608)",,
108912820,False,,Via Carlo Goldoni,residential,False,24.663,"LINESTRING (17.8046404 40.5553922, 17.8049117 40.5553103)",,
114106805,True,,Via Bandello,residential,False,10.598,"LINESTRING (17.8046404 40.5553922, 17.8045192 40.5553676)",,
108912820,False,,Via Carlo Goldoni,residential,True,71.001,"LINESTRING (17.8046404 40.5553922, 17.8043293 40.5554894, 17.8038661 40.5556404)",,
114152208,False,,Corte Centrale Elettrica,residential,True,67.601,"LINESTRING (17.8049722 40.5587019, 17.8043108 40.5583597)",,
114152221,True,,Via Centrale Elettrica,residential,False,37.809,"LINESTRING (17.8049722 40.5587019, 17.8047267 40.5589862)",1,
114152208,False,,Corte Centrale Elettrica,residential,False,67.601,"LINESTRING (17.8043108 40.5583597, 17.8049722 40.5587019)",,
608972943,False,,Via Guglielmo Marconi,secondary,False,35.84,"LINESTRING (17.8057922 40.5604468, 17.8053723 40.5604007)",2,
608972943,False,,Via Guglielmo Marconi,secondary,True,70.89099999999999,"LINESTRING (17.8057922 40.5604468, 17.8059353 40.5604636, 17.8066233 40.5605349)",2,
114152216,True,,Via Duca Asparra,residential,False,77.368,"LINESTRING (17.8058811 40.5597543, 17.8057922 40.5604468)",,
