osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,width,bridge,junction
199350409,2,Viale Giuseppe Mazzini,tertiary,False,True,83.314,"LINESTRING (14.0220825 38.0352905, 14.0212067 38.034998)",,,,
199350409,2,Viale Giuseppe Mazzini,tertiary,False,False,59.153999999999996,"LINESTRING (14.0220825 38.0352905, 14.0221458 38.0353093, 14.0222121 38.0353193, 14.0222797 38.0353203, 14.0223464 38.0353122, 14.0224104 38.0352952, 14.0224698 38.03527, 14.022523 38.0352371, 14.0225682 38.0351977, 14.0225987 38.0351608, 14.02263 38.0351035)",,,,
526488118,,Via Gibilmanna,tertiary,True,False,25.314,"LINESTRING (14.0233535 38.0342922, 14.023313 38.0343627, 14.0232683 38.0344349, 14.023197 38.0344766)",,,,
526488164,,Via Gibilmanna,tertiary,False,False,97.845,"LINESTRING (14.0233535 38.0342922, 14.0234559 38.0341981, 14.0235202 38.0341336, 14.0240121 38.0335821)",,,,
27488076,,Via Maestro Vincenzo Pintorno,tertiary,True,False,7.471,"LINESTRING (14.0190921 38.035538, 14.0190186 38.0355039)",,,,
199350299,,Corso Ruggero,residential,True,False,40.126,"LINESTRING (14.0219813 38.0388264, 14.0220379 38.0391845)",,,,
27488083,,Via Nicola Botta,residential,True,False,162.294,"LINESTRING (14.0219813 38.0388264, 14.0219613 38.0388241, 14.0201403 38.0386595)",,,,
24787775,,Via Vittorio Emanuele,residential,True,False,25.894,"LINESTRING (14.0201231 38.0381115, 14.0201304 38.0383443)",,,,
251497825,,Via Spinuzza,residential,True,False,15.817,"LINESTRING (14.0201231 38.0381115, 14.0199477 38.0381454)",,,,
27482182,,Via dei Pescatori,unclassified,False,True,13.034,"LINESTRING (14.027751 38.033623, 14.027885 38.033674)",,,,
238215120,,Via Giuseppe Antonio Borgese,residential,False,False,293.43,"LINESTRING (14.027751 38.033623, 14.0277664 38.0335906, 14.0277306 38.0335374, 14.0276995 38.0335103, 14.0274527 38.0333193, 14.0274248 38.0332986, 14.0274145 38.0332702, 14.0274279 38.0332174, 14.0274567 38.0331677, 14.0274959 38.032995, 14.0275021 38.0328374, 14.0275433 38.0325857, 14.0275454 38.0324899, 14.0275124 38.0323844, 14.0274671 38.0323015, 14.0273764 38.0322398, 14.0270729 38.0321829, 14.0270176 38.0321651, 14.0269949 38.032131, 14.0269569 38.0320307, 14.0269145 38.0319881, 14.0268568 38.031967, 14.0266465 38.0319264, 14.0265046 38.0318626, 14.026428 38.0318209, 14.0263726 38.0317562, 14.0262948 38.0316772)",,,,
238320213,,Via Santa Barbara,unclassified,False,False,211.769,"LINESTRING (14.027751 38.033623, 14.0276769 38.0335861, 14.0275024 38.0334633, 14.0273026 38.0332921, 14.027103 38.0331199, 14.0267425 38.032814, 14.0267132 38.0327841, 14.0266627 38.0327259, 14.0265856 38.0326231, 14.0264046 38.0322847, 14.0263113 38.0321279)",,,,
