osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,junction,tunnel,access
"[441621627, 5988932]",SP123,Strada Provinciale 123 Caudina - II Tronco,tertiary,50,False,"[False, True]",486.69199999999995,"LINESTRING (14.508457 41.0878221, 14.5084098 41.0877308, 14.50836 41.0876096, 14.5083305 41.0875497, 14.5082964 41.0874958, 14.5082525 41.0874486, 14.5082177 41.0874197, 14.508183 41.087392, 14.5081263 41.0873618, 14.5080601 41.0873376, 14.5079485 41.0873052, 14.5077909 41.0872667, 14.5077253 41.0872505, 14.5076644 41.0872346, 14.5075822 41.0872116, 14.5075226 41.0871945, 14.5074661 41.0871739, 14.5074097 41.0871508, 14.5073493 41.087118, 14.5072942 41.0870826, 14.5072454 41.0870472, 14.5071574 41.0869784, 14.5070659 41.0869064, 14.5069225 41.0867935, 14.5068083 41.0867039, 14.5066888 41.0866112, 14.5065787 41.0865333, 14.5064892 41.086475, 14.5063872 41.0864215, 14.5060847 41.0863165, 14.5058648 41.0862666, 14.505488 41.0861787, 14.5048316 41.0860204, 14.5040958 41.0858362, 14.5038881 41.0857933, 14.5036948 41.0857779, 14.5036113 41.0857762)",,,,,
"[231998236, 30323397, 231998911]",SP111,"['Strada Provinciale 111 Via Parco', ""Strada Provinciale 111 Solopaca - Sant'Agata""]",secondary,"['60', '40']",False,False,458.3270000000001,"LINESTRING (14.5036113 41.0857762, 14.5036832 41.0858005, 14.503943 41.0859029, 14.5041189 41.0859713, 14.5042901 41.0860495, 14.5044004 41.0861094, 14.5047888 41.0863618, 14.5049532 41.0864767, 14.5050502 41.0865534, 14.5051364 41.086632, 14.5052132 41.0867106, 14.5052963 41.0868066, 14.5053723 41.0869116, 14.5054621 41.0870278, 14.5055018 41.087098, 14.505554 41.0871901, 14.5055803 41.0872495, 14.5056014 41.0872965, 14.5056222 41.0873615, 14.505637 41.08743, 14.5056436 41.0874958, 14.5056429 41.0875445, 14.5056375 41.087595, 14.5056207 41.0876365, 14.5055955 41.0876834, 14.505567 41.0877231, 14.505529 41.0877717, 14.5054728 41.087833, 14.5054279 41.0878784, 14.5053841 41.0879152, 14.5053466 41.0879593, 14.5053313 41.0879912, 14.5053239 41.088019, 14.5053253 41.0880603, 14.5053331 41.0880836, 14.5053435 41.088103, 14.5053813 41.0881679, 14.5054925 41.0883283, 14.5056675 41.0885895, 14.5056964 41.0886361, 14.5057237 41.0886758, 14.5058848 41.0889112, 14.5059641 41.0890337)",yes,,,,
53841922,SP123,Via Caudina,secondary,40,False,False,131.963,"LINESTRING (14.5036113 41.0857762, 14.5035631 41.0857748, 14.5035086 41.0857838, 14.5033992 41.0858282, 14.5032918 41.0858731, 14.503142 41.0859482, 14.5030924 41.0859758, 14.5029149 41.086092, 14.5028119 41.0861737, 14.5027144 41.0862766, 14.5026381 41.0863869, 14.5025855 41.0864932, 14.5025589 41.0865767)",,,,,
"[441621627, 5988932]",SP123,Strada Provinciale 123 Caudina - II Tronco,tertiary,50,False,"[False, True]",486.692,"LINESTRING (14.5036113 41.0857762, 14.5036948 41.0857779, 14.5038881 41.0857933, 14.5040958 41.0858362, 14.5048316 41.0860204, 14.505488 41.0861787, 14.5058648 41.0862666, 14.5060847 41.0863165, 14.5063872 41.0864215, 14.5064892 41.086475, 14.5065787 41.0865333, 14.5066888 41.0866112, 14.5068083 41.0867039, 14.5069225 41.0867935, 14.5070659 41.0869064, 14.5071574 41.0869784, 14.5072454 41.0870472, 14.5072942 41.0870826, 14.5073493 41.087118, 14.5074097 41.0871508, 14.5074661 41.0871739, 14.5075226 41.0871945, 14.5075822 41.0872116, 14.5076644 41.0872346, 14.5077253 41.0872505, 14.5077909 41.0872667, 14.5079485 41.0873052, 14.5080601 41.0873376, 14.5081263 41.0873618, 14.508183 41.087392, 14.5082177 41.0874197, 14.5082525 41.0874486, 14.5082964 41.0874958, 14.5083305 41.0875497, 14.50836 41.0876096, 14.5084098 41.0877308, 14.508457 41.0878221)",,,,,
231998236,SP111,Strada Provinciale 111 Solopaca - Sant'Agata,secondary,60,False,False,239.812,"LINESTRING (14.5059641 41.0890337, 14.5059848 41.0890712, 14.5060305 41.0891557, 14.5060791 41.0892467, 14.5061164 41.0893352, 14.5061643 41.0894799, 14.5061977 41.089594, 14.506303 41.0899421, 14.5063308 41.0900401, 14.5063757 41.090206, 14.5063939 41.0902911, 14.5063991 41.0903418, 14.5064006 41.0903939, 14.5063994 41.0904469, 14.5063874 41.0905501, 14.5063676 41.0906709, 14.5063005 41.0910105, 14.506276 41.0911397)",,,,,
"[231998236, 30323397, 231998911]",SP111,"['Strada Provinciale 111 Via Parco', ""Strada Provinciale 111 Solopaca - Sant'Agata""]",secondary,"['60', '40']",False,True,458.327,"LINESTRING (14.5059641 41.0890337, 14.5058848 41.0889112, 14.5057237 41.0886758, 14.5056964 41.0886361, 14.5056675 41.0885895, 14.5054925 41.0883283, 14.5053813 41.0881679, 14.5053435 41.088103, 14.5053331 41.0880836, 14.5053253 41.0880603, 14.5053239 41.088019, 14.5053313 41.0879912, 14.5053466 41.0879593, 14.5053841 41.0879152, 14.5054279 41.0878784, 14.5054728 41.087833, 14.505529 41.0877717, 14.505567 41.0877231, 14.5055955 41.0876834, 14.5056207 41.0876365, 14.5056375 41.087595, 14.5056429 41.0875445, 14.5056436 41.0874958, 14.505637 41.08743, 14.5056222 41.0873615, 14.5056014 41.0872965, 14.5055803 41.0872495, 14.505554 41.0871901, 14.5055018 41.087098, 14.5054621 41.0870278, 14.5053723 41.0869116, 14.5052963 41.0868066, 14.5052132 41.0867106, 14.5051364 41.086632, 14.5050502 41.0865534, 14.5049532 41.0864767, 14.5047888 41.0863618, 14.5044004 41.0861094, 14.5042901 41.0860495, 14.5041189 41.0859713, 14.503943 41.0859029, 14.5036832 41.0858005, 14.5036113 41.0857762)",yes,,,,
1267918055,,Via San Rocco,residential,,False,True,32.822,"LINESTRING (14.5059641 41.0890337, 14.5057345 41.0888645, 14.5057142 41.0888136)",,,,,
233127474,SP122,Via Sant'Antonio Abate,tertiary,40,False,False,78.081,"LINESTRING (14.5017787 41.0861196, 14.5016049 41.0859034, 14.5013462 41.0854985)",,,,,
233127474,SP122,Via Sant'Antonio Abate,tertiary,40,False,True,80.077,"LINESTRING (14.5017787 41.0861196, 14.5021649 41.086451, 14.5023369 41.0865626, 14.5024684 41.0866055)",,,,,
244936509,,Via Lea Garofalo,residential,,False,False,116.661,"LINESTRING (14.5017787 41.0861196, 14.5012825 41.0864878, 14.5007884 41.0868569)",,,,,
