osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,bridge,tunnel
22896337,True,Via Gioacchino Rossini,residential,False,58.79,"LINESTRING (11.1424792 43.8197936, 11.1425341 43.8198709, 11.1427319 43.8201616, 11.1428049 43.8202672)",,,,
576712244,False,Via Bruno Buozzi,residential,False,54.254,"LINESTRING (11.1424792 43.8197936, 11.1423105 43.8199159, 11.1421592 43.8200101, 11.1420326 43.8200813, 11.1419711 43.8201144)",,,,
14191605,True,Via Giacomo Puccini,residential,False,103.435,"LINESTRING (11.1419711 43.8201144, 11.1418917 43.8200277, 11.1415672 43.8196334, 11.1413306 43.8193077)",,,,
576712244,False,Via Bruno Buozzi,residential,True,54.254000000000005,"LINESTRING (11.1419711 43.8201144, 11.1420326 43.8200813, 11.1421592 43.8200101, 11.1423105 43.8199159, 11.1424792 43.8197936)",,,,
589218599,False,Via Bruno Buozzi,residential,False,49.684,"LINESTRING (11.1419711 43.8201144, 11.1419032 43.8201392, 11.1416069 43.8202536, 11.1414289 43.82033)",,,,
13976512,True,Via Risorgimento,residential,False,101.31,"LINESTRING (11.1414289 43.82033, 11.1414925 43.8204233, 11.1419146 43.8210378, 11.1419527 43.8210921, 11.1419903 43.8211461)",,,,
588183824,False,Via Bruno Buozzi,residential,False,38.469,"LINESTRING (11.1414289 43.82033, 11.1414013 43.8203397, 11.1409981 43.8204819)",,,,
589218599,False,Via Bruno Buozzi,residential,True,49.684000000000005,"LINESTRING (11.1414289 43.82033, 11.1416069 43.8202536, 11.1419032 43.8201392, 11.1419711 43.8201144)",,,,
13973232,True,Via dei Tintori,residential,False,95.983,"LINESTRING (11.1409981 43.8204819, 11.140956 43.8204233, 11.1409147 43.8203706, 11.1405288 43.8198976, 11.1404565 43.8197989, 11.1404051 43.8197324)",,,,
588183824,False,Via Bruno Buozzi,residential,True,38.469,"LINESTRING (11.1409981 43.8204819, 11.1414013 43.8203397, 11.1414289 43.82033)",,,,
11766933,True,Piazza della Resistenza,residential,False,169.394,"LINESTRING (11.1366175 43.8198984, 11.1367124 43.8198693, 11.1371348 43.8197318, 11.1371824 43.8197361, 11.1372227 43.8197478, 11.137253 43.8197651, 11.1372959 43.8198028, 11.13735 43.8198488, 11.1374174 43.8199, 11.1374657 43.8199321, 11.1375269 43.81996, 11.1375738 43.8199803, 11.1377884 43.8200625, 11.1378359 43.8200883, 11.1378944 43.8201263, 11.1379829 43.8201863, 11.1380241 43.8202219, 11.138117 43.8203034, 11.1381997 43.8203829, 11.1382391 43.8204176, 11.1382534 43.8204247, 11.1382732 43.8204288, 11.1382951 43.82043)",,,,
14191601,True,Via Venticinque Aprile,residential,False,58.45,"LINESTRING (11.1366175 43.8198984, 11.1360266 43.8200984, 11.1359581 43.8201219)",,,,
"[587733225, 587733211, 30500135]",False,"['Piazza Dante', 'Via Bencivenni Rucellai']",residential,False,145.25300000000001,"LINESTRING (11.1366175 43.8198984, 11.136821 43.8201637, 11.1371886 43.8206431, 11.137424 43.8209529, 11.1374396 43.8209747, 11.1374907 43.8210427)",,,,
30500137,False,Via Bencivenni Rucellai,residential,True,82.21600000000001,"LINESTRING (11.1366175 43.8198984, 11.1363408 43.8194993, 11.1361698 43.8192334)",,,,
14300381,True,Via Bencivenni Rucellai,residential,False,95.391,"LINESTRING (11.1361698 43.8192334, 11.1360726 43.8190785, 11.1357672 43.8185914, 11.1356797 43.8184518)",,,,
