osmid,oneway,lanes,name,highway,width,reversed,length,geometry,ref,junction,access,tunnel,maxspeed,bridge
68506145,True,1,Via Montegrappa,secondary,5.3,False,9.373,"LINESTRING (8.5746394 44.362572, 8.5746545 44.3624884)",,,,,,
1040174376,False,,Via Guglielmo Calcagno,residential,,True,22.779,"LINESTRING (8.5746394 44.362572, 8.5745807 44.3625657, 8.574356 44.3625418)",,,,,,
68487545,True,,Corso Giacomo Matteotti,primary,,False,30.921,"LINESTRING (8.5770194 44.3592109, 8.5772039 44.3592388, 8.5772916 44.3592667, 8.5773771 44.3593095)",,,,,,
366464632,False,2,Corso Giacomo Matteotti,primary,,True,222.31599999999997,"LINESTRING (8.5770194 44.3592109, 8.5769674 44.3591987, 8.5763689 44.3590888, 8.5758958 44.3589955, 8.5755056 44.3589281, 8.5752496 44.3588782, 8.575173 44.3588634, 8.5744024 44.3587144, 8.5743163 44.3586996)",SS1,,,,,
"[158887312, 68656955]",False,,Piazza Dante,"['unclassified', 'residential']",,False,75.04,"LINESTRING (8.5779126 44.3593766, 8.5779033 44.3594233, 8.5779133 44.3594608, 8.5779205 44.3595614, 8.5779252 44.3595819, 8.5779449 44.3596113, 8.5780728 44.3597171, 8.5780778 44.3598049, 8.5780622 44.3598717, 8.5780081 44.3600062)",,,,,,
"[208738746, 68656871]",False,2,"['Via Santa Caterina', 'Corso Giacomo Matteotti']",primary,,True,10.01,"LINESTRING (8.5779126 44.3593766, 8.5778734 44.3593728, 8.5778023 44.359367, 8.5777878 44.3593649)",,,,,,
68487562,True,1,Viale Nazioni Unite,secondary,,False,9.289,"LINESTRING (8.5763009 44.3602531, 8.5762367 44.3603229)",,,,,,
68487582,False,,Viale Nazioni Unite,secondary,,True,7.054,"LINESTRING (8.5763009 44.3602531, 8.576364 44.3602085)",,,,,,
59872268,True,,,secondary,,False,8.293,"LINESTRING (8.5757909 44.3605263, 8.5757897 44.3605014, 8.5757964 44.360477, 8.5758107 44.3604544)",,roundabout,,,,
68506140,True,1,Via Carlo Nocelli,secondary,,False,15.299,"LINESTRING (8.5757909 44.3605263, 8.5757437 44.3605031, 8.5756201 44.360464)",SS1var,,,,,
68506126,True,,Via Piave  SP542,secondary,,False,72.748,"LINESTRING (8.5756576 44.3609959, 8.5754789 44.3612001, 8.5754126 44.3612784, 8.5753493 44.3613604, 8.5752972 44.3614774, 8.5752687 44.3615808)",SP542,,,,,
68506132,True,,Via Alessandro Recagno,residential,,False,36.502,"LINESTRING (8.5756576 44.3609959, 8.5757851 44.361094, 8.5759701 44.3612364)",,,,,,
59872268,True,,,secondary,,False,11.036,"LINESTRING (8.5759957 44.3604088, 8.5760265 44.3604203, 8.5760527 44.3604365, 8.5760732 44.3604565, 8.5760867 44.3604794)",,roundabout,,,,
68487588,True,1,Viale Nazioni Unite,secondary,,False,30.011,"LINESTRING (8.5759957 44.3604088, 8.57605 44.3603874, 8.5761856 44.3602989, 8.5763009 44.3602531)",,,,,,
124055627,False,,Via Bernardo Pizzorno,residential,,False,37.661,"LINESTRING (8.5751024 44.3631343, 8.5753834 44.3631469, 8.5755355 44.3632309)",,,,,,
59872268,True,,,secondary,,False,16.855,"LINESTRING (8.5758107 44.3604544, 8.5758373 44.3604308, 8.575872 44.3604133, 8.5759121 44.3604035, 8.5759544 44.3604019, 8.5759957 44.3604088)",,roundabout,,,,
59872268,True,,,secondary,,False,1.712,"LINESTRING (8.5760867 44.3604794, 8.5760921 44.3604943)",,roundabout,,,,
68487569,True,,Viale Nazioni Unite,secondary_link,,False,26.797999999999995,"LINESTRING (8.5771234 44.3596187, 8.5771842 44.3595123, 8.5772281 44.3594601, 8.5772412 44.3594446, 8.5772688 44.3594019)",,,,,,
68487582,False,,Viale Nazioni Unite,secondary,,False,89.14,"LINESTRING (8.5771234 44.3596187, 8.5764244 44.3601621, 8.576364 44.3602085)",,,,,,
68506142,False,2,Via Carlo Nocelli,secondary,,False,15.019,"LINESTRING (8.575444 44.3604151, 8.575546 44.3604438, 8.5756201 44.360464)",SS1var,,,,,
"[732262553, 834253501]",False,2,Via Carlo Nocelli,secondary,,True,310.58799999999997,"LINESTRING (8.575444 44.3604151, 8.5752524 44.3603538, 8.5745499 44.3601296, 8.5744959 44.3601128, 8.5741742 44.360008, 8.5739944 44.3599495, 8.5736776 44.3598442, 8.5730127 44.359619, 8.5728902 44.3595775, 8.5727873 44.3595443, 8.5726095 44.3594808, 8.5723601 44.3593917, 8.5719407 44.3592298, 8.5719148 44.3592192)",SS1var,,,,,
68506138,True,1,Via Carlo Nocelli,secondary,,False,15.335999999999999,"LINESTRING (8.5756201 44.360464, 8.5757583 44.3604656, 8.5758107 44.3604544)",SS1var,,,,,
